2-gram for ar, word level, data size 66150 sentences
2-gram for de, word level, data size 53703 sentences
2-gram for en, word level, data size 104155 sentences
2-gram for es, word level, data size 75744 sentences
2-gram for fa, word level, data size 76793 sentences
2-gram for fr, word level, data size 128330 sentences
2-gram for hi, word level, data size 3850 sentences
2-gram for ja, word level, data size 112552 sentences
2-gram for ko, word level, data size 108666 sentences
2-gram for nl, word level, data size 72224 sentences
2-gram for ru, word level, data size 117477 sentences
2-gram for ta, word level, data size 2206 sentences
