con	함께
una	하나
categoría	분류
categoría	범주
categoría	카테고리
como	어떻게
más	기타
sus	그의
sus	그들의
también	또한
este	이거
este	동부
este	이스트
este	동쪽
pero	근데
pero	그러나
pero	하지만
pero	그런데
años	수년
dos	두두
dos	두분
sobre	봉투
sobre	대략
sobre	소개
año	연도
desde	언제부터
desde	출신
desde	이후
desde	이후부터
esta	이거
enlaces	링크
hasta	조차도
hasta	심지어
externos	외부
ciudad	마을
ciudad	도시
ciudad	시내
ciudad	타운
ciudad	시티
parte	파티
parte	부품
parte	부분
parte	파트
donde	어디
donde	어디서
donde	어디로
donde	어디에
san	세인트
nacional	내셔널
nacional	국립
nacional	국민
primera	우선
primera	처음
primera	퍼스트
primera	먼저
cuando	언제
cuando	언제쯤
nombre	이름
siglo	세기
después	나중에
españa	스페인
españa	스페인인
otros	다른
otros	기타
gran	그랜드
unidos	유나이티드
estado	국가
estado	조건
estado	상태
uno	하나
lugar	장소
lugar	위치
lugar	공연장
primer	우선
primer	처음
primer	퍼스트
primer	먼저
población	인구
población	인구순
muy	아주
muy	매우
mismo	똑같이
mismo	같은
mismo	동일
historia	내역
historia	이야기
historia	역사
historia	스토리
historia	소식
historia	기록
historia	히스토리
cual	어느
universidad	칼리지
universidad	대학교
universidad	대학생
universidad	대학
forma	형태
forma	양식
forma	형식
forma	모양
grupo	집단
grupo	그룹
guerra	전쟁
aunque	비록
familia	패밀리
familia	가족과
familia	가족
además	또한
además	플러스
todo	전체
todo	모두
sur	사우스
sur	남방
sur	남부
sur	남쪽
mayor	전공
mayor	메이저
tiempo	시간
tiempo	날씨
tiempo	타임
partido	파티
partido	매치
partido	일치합니다
partido	일치하기
partido	일치
contra	카운터
encuentra	찾기
otras	다른
otras	기타
todos	모두
todos	전체
todos	다들
juan	조앤
josé	조지프
josé	조셉
josé	요셉
josé	조제프
josé	요제프
bajo	베이스
bajo	배스
bajo	낮음
bajo	낮은
serie	직렬
serie	시리즈
serie	시리얼
cada	꼴찌
cada	각각
fútbol	풋볼
fútbol	미식축구
fútbol	축구
equipo	장비
norte	노스
norte	북부
norte	북쪽
río	리오
méxico	멕시코
argentina	아르헨티나인
argentina	아르헨티나
inglés	영어
inglés	잉글리시
septiembre	구월
segunda	두번째
segunda	둘째
discusión	논의
discusión	토론
gobierno	거버넌스
gobierno	정부
final	파이널
final	결승
final	피날레
final	끝내기
final	결승전
final	종료
vida	생명
vida	생활
vida	라이프
vida	인생
personas	사람
personas	사람들
personas	명인
personas	국민
español	스페인어
centro	중심
centro	센터
centro	시내
centro	다운타운
centro	중앙
julio	줄리어스
país	시골
país	국가
país	컨트리
país	나라
mientras	동안
web	웹사이트
internacional	인터내셔널
internacional	국제
santa	거룩한
santa	거룩
santa	세인트
antes	전에
antes	이전
antes	아까
oficial	책임자
oficial	경관
oficial	장교
oficial	공식
oficial	경찰관
mundo	세상
mundo	월드
mundo	세계
tanto	둘다
algunos	일부
temporada	시즌
temporada	계절
hacia	향해
mejor	최고
mejor	베스트
luego	그러면
luego	그렇다면
luego	그때
marzo	행진
marzo	행진곡
día	하루
día	데이
madrid	리버풀
enero	일월
número	번호
número	숫자
agosto	아우구스트
artículo	기사
artículo	아이템
artículo	항목
artículo	품목
otro	또다른
otro	다른
otro	기타
abril	사월
abril	에이프릴
región	지방
región	지역
sistema	체계
sistema	시스템
habitantes	주민들
habitantes	레지던트
maría	마리아
maría	마리
maría	마리야
maría	메리
real	로얄
real	로열
página	페이지
esto	이거
mundial	글로벌
mundial	세상
mundial	월드
mundial	전세계
mundial	세계
mundial	전역
música	음악
música	뮤직
presidente	회장님
presidente	대통령
presidente	회장
casa	집으로
casa	하우스
casa	고향
casa	가정
casa	집에
sólo	그냥
sólo	오직
sólo	단발
sólo	단지
álbum	음반
álbum	앨범
cuenta	계정
cuenta	계좌
cuenta	카운트
ella	그녀는
ella	그녀
ella	그녀의
varios	여러개
varios	기타
francia	프랑스
solo	단지
solo	오직
solo	혼자
solo	그냥
solo	단발
solo	홀로
chile	칠리
chile	고추
chile	칠레
tipo	타입
tipo	유형
tipo	형식
tipo	종류
obra	퇴근
obra	직장
obra	작업
iglesia	교회
película	필름
película	영화
entonces	그러면
entonces	그렇다면
entonces	그때
banda	밴드
zona	지대
zona	면적
zona	영역
zona	구역
zona	지역
televisión	텔레비전
principal	메인
carlos	카를
carlos	찰스
carlos	찰리
carlos	샤를
otra	또다른
edición	에디션
edición	편집
edición	편집하기
edición	수정
premios	수상
premios	어워드
premios	상금
premios	보상
sitio	포위전
sitio	사이트
sitio	웹사이트
bien	미세먼지
bien	좋다
segundo	두번째
segundo	둘째
mar	바다
mar	오션
poco	리틀
orden	순서
orden	주문
estadounidense	미국인
estadounidense	아메리칸
agua	워터
agua	물이
tierra	대지
tierra	토양
tierra	육지
tierra	랜드
tierra	지구
título	제목
título	타이틀
ellos	그들이
ellos	그들
ellos	그들은
división	디비전
división	사단
canción	노래
canción	송송
fecha	날짜
fecha	데이트
república	공화국
trabajo	퇴근
trabajo	욥기
trabajo	직장
trabajo	직업
trabajo	작업
especie	종족
luis	루트비히
luis	루이스
luis	루드비히
luis	루이
caso	사례
caso	대소문자
caso	케이스
dentro	인사이드
dentro	내부
obras	재생
obras	웍스
obras	작동
obras	작품
obras	연극
obras	연주
color	컬러
color	색상
superficie	면적
superficie	영역
superficie	지표면
superficie	표면
superficie	구역
superficie	지역
muchos	많은
línea	라인
francisco	프랜시스
siguiente	넥스트
siguiente	팔로우
siguiente	다음
área	구역
área	면적
área	지역
área	영역
grandes	대형
censo	인구조사
liga	동맹
liga	리그
muerte	사망
muerte	데스
muerte	죽음
medio	중간
medio	절반
medio	미디엄
medio	미디어
política	정치
política	정치학
política	방침
política	정책
buenos	좋다
hijo	아들
hecho	완료
hecho	만든
hecho	사실
hecho	팩트
algunas	일부
carrera	인종
carrera	경쟁
carrera	경주
carrera	직업
carrera	경력
carrera	커리어
carrera	레이스
poder	파워
poder	권력
poder	전력
pueblo	국민
pueblo	마을
pueblo	도시
pueblo	사람들
pueblo	시내
pueblo	명인
pueblo	빌리지
pueblo	사람
pueblo	타운
departamento	아파트
departamento	부서
localidades	장소
localidades	위치
localidades	음식점
veces	타임즈
veces	타임스
reino	킹덤
reino	왕국
todas	전체
todas	모두
ejemplo	견본
ejemplo	샘플링
ejemplo	표본
ejemplo	예제
ejemplo	샘플
ejemplo	예시
género	성별
género	장르
padre	아버지
campo	시골
campo	캠프
campo	필드
campo	현장
misma	똑같이
misma	같은
misma	동일
conocido	알려진
frente	이마
antonio	토니
antonio	안토니우스
antonio	앤서니
días	데이즈
española	스페인어
partir	출발
versión	버전
varias	여러개
actual	현재
actual	전류
momento	타이밍이
momento	타이밍
momento	순간
lista	리스트
lista	목록
lista	준비
lista	명단
densidad	밀도
campeonato	챔피언십
campeonato	챔피언쉽
tarde	오후
tarde	늦은
tarde	저녁
tarde	지각
tarde	늦게
ejército	군대
ejército	군사
ejército	육군
porque	왜냐면
porque	왜냐하면
estación	역시
observatorio	천문대
actualmente	현재
desarrollo	발달
desarrollo	개발
escuela	학원
escuela	학교는
escuela	스쿨
escuela	학교
programa	프로그램
información	정보
importante	중요하다
importante	중요
último	마지막
último	최신
último	최근
último	라스트
canciones	노래
uso	사용하다
uso	사용량
uso	사용하기
uso	사용법
uso	이용
uso	사용
uso	이용하기
juegos	게이밍
juegos	게임
punto	포인트
punto	지점
posición	포지션
posición	위치
posición	직위
alemania	독일
ubicación	배치
ubicación	위치
partidos	일치
partidos	일치하는
partidos	성냥
grupos	그룹
miembros	멤버
miembros	구성원
miembros	멤버들
miembros	멤버십
pedro	피터
pedro	베드로
primeros	퍼스트
primeros	먼저
primeros	초기
primeros	일찍
primeros	우선
primeros	처음
teatro	연극
teatro	영화관
teatro	극장
datos	자료
datos	데이터
manera	웨이
manera	웨이팅
laboratorio	연구실
laboratorio	연구소
laboratorio	실험실
estudios	스튜디오스
estudios	공부
estudios	스튜디오
diferentes	다르다
diferentes	달라
diferentes	다름
nivel	레벨
nivel	수준
mayoría	다수
unión	연맹
unión	동맹
unión	연합
unión	유니언
edad	연령
edad	나이
edad	나이에
artículos	기사
artículos	항목
artículos	아이템
artículos	상품
artículos	품목
juego	게이밍
juego	도박
juego	경기
juego	게임
arte	예술작품
arte	예술
arte	미술
arte	아트
arte	삽화
arte	아트워크
especies	종족
europa	유럽
estilo	스타일
cine	필름
cine	영화
cine	시네마
proyecto	프로젝트
selección	선택
costa	코스트
costa	해안
equipos	장비
origen	소스
origen	출처
origen	원본
código	코드
código	부호
museo	박물관
puntos	바늘
puntos	점수
puntos	지점
puntos	반점
puntos	포인트
perú	페루
militar	군사
américa	아메리카
producción	제작
producción	생산
producción	프로덕션
producción	출력
italia	이탈리아
manuel	매니
plantas	식물학
plantas	공장
plantas	식물
comenzó	시작되었습니다
comenzó	시작했습니다
comenzó	시작됨
siempre	언제나
siempre	항상
metros	미터
oro	황금
oro	골든
oro	골드
posteriormente	나중에
casi	거의
construcción	건설
construcción	빌딩
construcción	공사
construcción	건축
construcción	건물
francés	프렌치
francés	프랑스
francés	프랑스어
francés	프랑스인
cultura	문화
santiago	제임스
cerca	근처
cerca	닫아
cerca	닫기
cerca	닫습니다
estudio	공부하기
estudio	공부해
estudio	스튜디오
estudio	공부
estudio	연구
principales	메인
usuario	사용자
finalmente	마침내
finalmente	드디어
cinco	파이브
cinco	다섯
anterior	이전
anterior	아까
cargo	청구
cargo	충전
cargo	전하
batalla	배틀
batalla	전투
derecho	법학
derecho	법칙
derecho	법률
derecho	오른쪽
imagen	그림
imagen	이미지
puerto	포트
puerto	항구
puerto	하버
torneo	토너먼트
torneo	대회
mucho	많이
mucho	훨씬
millones	수백만
millones	백만명
millones	백만
comunidad	공동체
comunidad	커뮤니티
fin	종료
fin	끝내기
acuerdo	편곡
acuerdo	합의
acuerdo	동의
acuerdo	협정
lado	측면
lado	사이드
colombia	콜럼비아
colombia	콜롬비아
colombia	컬럼비아
servicio	서비스
político	정치적
político	정치
político	정치인
político	정치가
películas	필름
películas	영화
ver	조회
ver	보기
fuera	밖에서
fuera	바깥
fuera	아웃
fuera	외부
pesar	후회
mediante	통해
muchas	많은
hoy	오늘
hoy	오늘도
alto	정지
alto	하이
alto	높음
alto	중지
cuerpo	시체
cuerpo	몸매
cuerpo	몸매가
sino	근데
sino	그러나
sino	하지만
sino	그런데
siguientes	팔로우
disco	음반
disco	디스크
disco	앨범
finales	결승
finales	기말고사
finales	파이널
finales	결승전
sociedad	파트너십
sociedad	사회
sociedad	파트너쉽
tema	주제
tema	테마
tema	제목
dirección	경영
dirección	방향
dirección	주소
dirección	관리
hombres	남성
hombres	멘트
hombres	남자
última	마지막
última	최신
última	최근
última	라스트
estadio	스타디움
estadio	경기장
estadio	아레나
ambos	둘다
miguel	미카엘
miguel	마이클
miguel	미하엘
miguel	마이크
ley	법학
ley	법률
ley	법칙
oeste	서부
oeste	웨스턴
oeste	웨스트
oeste	서쪽
oeste	서양
mujeres	여자들
mujeres	여성
mujeres	여자
incluso	조차도
incluso	심지어
cambio	교환
cambio	바뀌기
cambio	변화
cambio	바꾸기
cambio	변경
jugador	도박꾼
jugador	플레이어
jugador	재생기
jugador	게이머
jugador	선수
instituto	연구소
público	공공
público	공개
público	타겟
público	공중
público	관객
miembro	회원
miembro	멤버
media	평균
parque	파크
parque	공원
llegó	도착했다
archivo	아카이브
archivo	보관
archivo	파일
ahora	이제
ahora	지금
parís	파리
cruz	뒷면
cruz	크로스
cruz	십자가
cruz	꼬리
cruz	십자
cruz	교차
cabo	케이프
brasil	브라질
unido	유나이티드
red	그리드
red	네트워크
red	격자
red	눈금
aquí	여기에
aquí	여기
canal	채널
movimiento	움직임
movimiento	모션
movimiento	운동
movimiento	이동
movimiento	움직여
revista	저널
revista	학술지
revista	매거진
revista	잡지
revista	학술
éxito	성공적
éxito	성공
éxito	성공적인
éxito	성공함
relación	연애
relación	관계
elecciones	선거
plaza	정사각형
plaza	제곱
plaza	광장
plaza	사각형
plaza	스퀘어
grande	대형
distribución	배포판
distribución	분배
distribución	분포
distribución	배포
compañía	회사
compañía	컴퍼니
compañía	기업
islas	제도
proceso	프로세스
proceso	절차
proceso	과정
alrededor	주위
alrededor	주변
primero	우선
primero	처음
primero	퍼스트
primero	먼저
territorio	준주
territorio	영토
hombre	남성
hombre	사람
hombre	남자
león	사자
león	레온
león	레오
león	사자자리
león	리오
león	리온
león	라이온
algo	무언가
algo	무엇인가
algo	뭔가
voz	음성
voz	목소리
madre	엄마
madre	어머니
organización	조직
organización	기구
organización	단체
monte	마운트
aún	아직
aún	아직도
aún	여전히
goles	목표
sede	본부
sede	본사
importantes	중요하다
importantes	중요
resultado	결과
calle	길거리
calle	거리가
calle	스트리트
calle	거리
papel	종이
papel	페이퍼
papel	용지
medios	미디어
francesa	프렌치
francesa	프랑스
francesa	프랑스어
francesa	프랑스인
aparece	나타납니다
empresa	엔터프라이즈
empresa	사업
empresa	업체
empresa	회사
empresa	컴퍼니
empresa	기업
empresa	비즈니스
fernando	페르디난트
propio	소유
mapa	지도
civil	민간인
civil	민간
educación	교육
educación	학력
educación	교육학
término	용어
llamada	호출
llamada	통화
llamada	전화
ciudades	도시
alta	하이
alta	높음
igual	동일
igual	똑같이
igual	평등
igual	같은
allí	거기
allí	거기에
londres	런던
tercera	세번째
tercera	셋째
edificio	건물
edificio	빌딩
edificio	건축
fallecimiento	사망
fallecimiento	데스
fallecimiento	죽음
posible	가능한
posible	가능
antiguo	늙은
antiguo	오래된
antiguo	고대
antiguo	골동품
álbumes	음반
álbumes	앨범
paso	패스
paso	스텝
paso	걸음
paso	단계
mujer	아내
mujer	마누라
mujer	여자들
mujer	와이프
mujer	여성
mujer	여자
mujer	여인
mujer	암컷
fuerza	체력
fuerza	포스
fuerza	강제
altura	높이
altura	키는
hijos	아들들
garcía	가르시아
servicios	서비스
villa	빌리지
villa	마을
conocida	알려진
campeón	챔피언
campeón	챔피언십
campeón	챔프
autor	작가
autor	제작자
autor	저자
autor	작성자
modo	모드
personajes	문자
personajes	등장인물
conjunto	앙상블
conjunto	설정
conjunto	세트
conjunto	집합
alemán	독일인
alemán	독일
alemán	독일어
meses	개월
único	독특한
único	고유
antigua	늙은
antigua	오래된
antigua	고대
antigua	골동품
especial	특별
especial	스페셜
especial	특수
especial	특별한
interior	내부
plata	실버
japón	일본
japón	재팬
consejo	협의회
consejo	조언
consejo	평의회
consejo	충고
seis	여섯
libre	무료
libre	자유
llegar	도착
llegar	도착하다
valle	계곡
valle	밸리
valle	골짜기
personaje	캐릭터
personaje	문자
personaje	성격
personaje	인물
trata	취급
trata	대접
principalmente	주로
principalmente	대부분
publicado	출판
publicado	게시
publicado	출판됨
cantante	싱어
cantante	가수
referencia	참고
referencia	참조
inglaterra	잉글랜드
resto	휴식
resto	쉬어
editorial	출판
editorial	출판사
editorial	게시
editorial	퍼블리셔
deporte	스포츠
espacio	간격
espacio	스페이스
espacio	공간
espacio	띄어쓰기
espacio	우주
asociación	파트너십
asociación	협회
asociación	파트너쉽
hija	딸이
acción	활동
acción	행동
acción	동작
acción	액션
acción	작업
actores	배우
hermano	오빠
hermano	아우
fundación	파운데이션
fundación	재단
blanco	대상
blanco	하얀
blanco	화이트
blanco	흰색
blanco	비어
blanco	타깃
blanco	타겟
