que	dat
los	de
los	het
con	met
las	de
las	het
una	één
una	eén
una	een
categoría	categorie
para	voor
como	zoals
como	hoe
más	meer
sus	zijn
sus	jouw
sus	hun
sus	uw
sus	je
también	ook
entre	tussen
este	oosten
este	oost
este	deze
este	dit
pero	maar
años	jaar
años	jaren
dos	twee
son	zijn
sobre	ongeveer
sobre	envelop
sobre	over
sobre	enveloppe
año	jaar
desde	van
desde	uit
desde	sinds
desde	sedert
desde	vanaf
esta	deze
esta	dit
hasta	tot
hasta	zelfs
externos	uitwendig
externos	extern
externos	externe
ciudad	stad
parte	deel
parte	partij
parte	gedeelte
parte	feest
parte	feestje
durante	gedurende
durante	tijdens
sin	zonder
donde	waar
san	heilige
nacional	nationaal
nacional	nationale
primera	eerst
primera	eerste
cuando	wanneer
nombre	naam
estados	staten
siglo	eeuw
después	straks
después	na
españa	spanje
tiene	heeft
otros	ander
otros	overige
otros	overig
otros	overigen
otros	andere
otros	anderen
gran	fantastisch
gran	geweldig
gran	groot
gran	grote
unidos	verenigd
unidos	verenigde
puede	kunnen
puede	kunt
puede	kan
estado	conditie
estado	voorwaarde
estado	staat
estado	aandoening
estado	toestand
uno	één
uno	eén
uno	een
lugar	locatie
lugar	plaats
lugar	ligging
lugar	lokatie
primer	eerst
primer	eerste
población	bevolking
población	populatie
muy	zeer
había	hadden
había	gehad
mismo	zelfde
mismo	hetzelfde
nueva	nieuw
nueva	nieuwe
fueron	waren
historia	verhaal
historia	geschiedenis
eran	waren
cual	welke
universidad	hogeschool
universidad	universiteit
forma	formulier
forma	vorm
tres	drie
grupo	groep
grupo	fractie
guerra	oorlog
guerra	oorlogvoering
guerra	oorlogsvoering
aunque	hoewel
aunque	alhoewel
tras	na
familia	gezinnen
familia	familie
familia	gezin
además	ook
todo	allen
todo	alles
todo	alle
todo	allemaal
sur	zuid
sur	zuiden
sur	zuidelijk
mayor	majoor
mayor	hoofdvak
tiempo	weer
tiempo	tijd
provincia	provincie
partido	partij
partido	feest
partido	feestje
contra	toonbank
contra	tegen
contra	teller
encuentra	zoek
encuentra	vinden
encuentra	vindt
encuentra	vind
otras	ander
otras	overige
otras	overig
otras	overigen
otras	andere
otras	anderen
todos	alle
todos	allemaal
todos	iedereen
todos	allen
todos	alles
juan	johanna
juan	johannes
josé	jozef
bajo	onder
bajo	bas
bajo	baars
bajo	lage
bajo	basgitaar
bajo	laag
serie	reeksen
serie	reeks
serie	serie
serie	seriële
serie	serienummer
cada	ieder
cada	elk
cada	iedere
cada	elke
fútbol	voetballen
fútbol	voetbal
equipo	materieel
equipo	uitrusting
equipo	apparatuur
equipo	materiaal
norte	noord
norte	noorden
río	rivier
méxico	mexicaanse
han	heb
han	hebben
argentina	argentijnse
argentina	argentinië
argentina	argentijns
inglés	engels
inglés	engelsen
nuevo	nieuw
nuevo	nieuwe
véase	zien
véase	zie
octubre	oktober
segunda	tweede
discusión	discussie
discusión	discussies
gobierno	regering
gobierno	overheid
gobierno	bestuur
condado	graafschap
final	einde
final	finale
final	beëindigen
final	finales
final	eind
vida	leven
personas	mensen
personas	personen
español	spaans
español	spaanse
centro	binnenstad
centro	centreren
centro	centrum
julio	juli
país	land
mientras	terwijl
internacional	internationaal
santa	heilig
santa	heilige
antes	eerder
antes	voordat
antes	vóór
oficial	officier
oficial	officiële
oficial	agent
oficial	officieel
oficial	ambtenaar
quien	wie
mundo	wereld
tanto	allebei
tanto	beiden
tanto	beide
mayo	mei
mayo	moge
mayo	mogen
mayo	mag
algunos	sommigen
algunos	enkele
algunos	sommige
temporada	seizoensgebonden
temporada	seizoen
mejor	beste
mejor	beter
luego	daarna
luego	dan
marzo	marcheren
marzo	maart
día	dag
día	dagje
enero	januari
número	nummer
número	aantal
número	getal
agosto	augustus
artículo	artikel
otro	overig
otro	ander
otro	overige
otro	andere
estos	deze
región	regio
sistema	systeem
sistema	stelsel
habitantes	ingezetenen
habitantes	bewoners
habitantes	inwoners
maría	marja
maría	maria
real	koninklijke
real	koninklijk
página	bladzijde
página	pagina
esto	deze
esto	dit
mundial	wereldwijde
mundial	globaal
mundial	wereld
mundial	wereldwijd
mundial	mondiale
música	muziek
presidente	voorzitter
casa	startpagina
casa	huis
casa	thuis
sólo	alleen
sólo	enkel
sólo	slechts
sólo	gewoon
debido	verschuldigde
debido	verschuldigd
cuenta	rekening
cuenta	tellen
cuenta	telt
cuenta	telling
cuenta	tel
cuenta	graaf
junio	juni
febrero	februari
ella	zij
ella	ze
ella	haar
