در	porte
رده	classe
از	du
از	de
از	depuis
که	qui
که	oms
که	que
که	cela
این	cet
این	ce
این	ceci
این	cette
این	cela
را	faites
را	faire
را	le
را	les
را	la
با	avec
میلادی	décennie
یک	un
یک	une
سال	années
سال	année
سال	an
سال	annee
سال	ans
ایران	iranienne
برای	pour
شهرستان	comté
آمریکا	amérique
آمریکا	amerique
فهرست	listes
فهرست	liste
فهرست	catalogue
بود	fut
بود	était
بود	etait
او	ses
او	elle
او	sa
او	son
او	lui
تا	peut
تا	mai
وابسته	associée
وابسته	dépendantes
وابسته	adjectif
وابسته	dépendant
وابسته	dépendants
وابسته	associées
وابسته	dépendante
فوتبال	football
فوتبال	foot
ساعت	heure
ساعت	horloges
ساعت	horloge
ساعت	horaires
ساعت	heures
پایه	élémentaire
پایه	fondements
پایه	basique
پایه	fondation
پایه	fondations
پایه	base
پایه	basiques
پایه	fondement
نام	nommer
نام	nom
نام	noms
نام	dénomination
استان	région
شهر	villes
شهر	ville
ملی	nationaux
ملی	nationales
ملی	nationale
کشور	pays
تاریخ	histoire
تاریخ	historique
فیلم	film
فیلم	films
فیلم	cinéma
فیلم	ciné
بخش	secteur
بخش	département
بخش	sectoriel
جمعیت	foule
جمعیت	populations
جمعیت	foules
دو	deux
اثر	effets
اثر	effet
پس	puis
پس	alors
پس	ensuite
یکی	un
یکی	une
بازیکنان	joueurs
آثار	effets
آثار	artefacts
روستاهای	bourgs
دیگر	autre
دیگر	autres
دیگر	plus
دیگر	davantage
می	peut
می	mai
عنوان	légende
پیوند	cautionnement
پیوند	caution
پیوند	lié
پیوند	lien
پیوند	liés
پیوند	liée
پیوند	relié
پیش	auparavant
پیش	avant
بحث	argumenter
بحث	débat
بحث	discussions
بیرون	sortir
بیرون	sortie
بیرون	dehors
افراد	gens
افراد	personnes
دوره	période
دوره	époque
دوره	cours
دهه	décennie
دهه	décennies
متر	mètres
متر	compteurs
متر	compteur
متر	mètre
کاربر	utilisateur
کاربر	usager
مناطق	domaines
مناطق	arrondissements
مناطق	zones
مناطق	quartiers
هر	chaque
باشگاه	gymnase
شهرهای	communes
شهرهای	municipalités
دانشگاه	universitaire
دانشگاه	collège
دانشگاه	université
مورد	cas
مورد	affaire
مورد	étui
سده	siecle
سده	siècle
ثبت	abattage
ثبت	journalisation
ثبت	bûche
زبان	langues
زبان	langage
زبان	langue
مسکونی	résidentiel
مسکونی	résidentielle
مسکونی	résidentiels
شماره	nombre
شماره	numéro
کار	travaux
کار	travailler
کار	travail
کار	travaillant
اما	mais
بازیگران	acteurs
بازیگران	tournage
بازیگران	comédiens
بازیگران	tournages
بازیگران	filmer
فرودگاه	aéroport
فرودگاه	aéroports
صورت	visage
مرکز	centrale
مرکز	centrer
مرکز	centre
زمان	heure
زمان	temps
شرکت	participer
شرکت	entreprise
شرکت	participez
شرکت	compagnie
شرکت	société
مقاله	essai
تیم	equipe
تیم	équipe
مرد	homme
مرد	mec
انگلیسی	anglais
انگلیسی	francais
انگلیسی	anglaise
نظر	commenter
نظر	commente
نظر	avis
نظر	commentaire
جهانی	internationaux
جهانی	mondiaux
جهانی	universel
جهانی	universelle
جهانی	universels
جهانی	monde
جهانی	internationale
جهانی	mondial
جهانی	mondiale
همچنین	aussi
همچنین	egalement
همچنین	également
همچنین	trop
همچنین	pareillement
زندگی	vie
زندگی	vivant
زندگی	vivre
زندگی	vivante
زندگی	vivants
زن	epouse
زن	féminin
زن	femmes
زن	femelles
زن	femme
زن	épouse
زن	femelle
زیر	sous
زیر	dessous
آنها	eux
آنها	ils
آنها	elles
هستند	sont
جوایز	distinctions
جوایز	récompenses
جوایز	trophées
تهران	téhéran
بازی	match
بازی	jeu
بازی	jouer
بازی	gibier
بازی	jeux
بازی	jouez
تاریخی	historique
تاریخی	historiques
سرشماری	recensement
سرشماری	recensements
فرانسه	française
فرانسه	françaises
فرانسه	français
فرانسه	francais
جنگ	guerre
باید	doivent
باید	doit
باید	moût
باید	devez
دست	main
دست	mains
دست	bras
شورای	conseil
محل	localité
محل	localisation
محل	endroit
محل	emplacement
محل	lieu
های	haï
توابع	fonctions
کتاب	livre
کتاب	réserver
کتاب	ouvrages
کتاب	livres
آلمان	allemands
آلمان	allemande
آلمان	allemagne
آلمان	allemand
سطح	niveaux
سطح	niveau
اصلی	principaux
اصلی	principal
اصلی	originale
اصلی	primaires
اصلی	principales
اصلی	primaire
اصلی	originaux
اصلی	principale
ساخت	fabrication
المپیک	olympiades
المپیک	olympiques
المپیک	olympique
اول	premiers
اول	premier
اول	premières
اول	première
سازمان	agence
سازمان	organisation
سه	trois
دارای	renommée
دارای	renommés
دارای	renommé
مرکزی	centré
مرکزی	centrale
مرکزی	centrés
مرکزی	centrées
مرکزی	centrer
مرکزی	centrée
ایالت	état
ایالت	etat
زنده	vivante
زنده	vivantes
زنده	vivants
