در	ドア
رده	クラス
رده	階級
از	から
این	これ
این	この
را	メイク
یک	ワン
یک	一人
یک	一つ
سال	年数
سال	サル
سال	イヤー
آن	アン
ایران	イラン
شهرستان	カウンティ
آمریکا	アメリカ
فهرست	カタログ
فهرست	リスト
او	彼女
تا	メイ
تا	まで
تا	五月
وابسته	依存
وابسته	形容詞
فوتبال	サッカー
فوتبال	フットボール
ساعت	クロック
ساعت	時計
ساعت	時間
پایه	基底
پایه	ファンデーション
پایه	ベース
پایه	ベーシック
پایه	財団
پایه	塩基
پایه	基本
پایه	ファウンデーション
نام	名称
نام	氏名
نام	名前
استان	リージョン
استان	地域
شهر	シティ
شهر	タウン
شهر	都市
ملی	国民
ملی	ナショナル
کشور	国名
کشور	カントリー
تاریخ	歴史
تاریخ	履歴
تاریخ	日付
تاریخ	由緒
تاریخ	沿革
تاریخ	デート
فیلم	映画
فیلم	ムービー
فیلم	フィルム
بخش	セクター
بخش	学科
بخش	セクション
بخش	ディストリクト
بخش	地区
بخش	部署
بخش	部門
جمعیت	群衆
جمعیت	人口
جمعیت	人混み
جمعیت	群集
دو	二人
دو	二つ
اثر	エフェクト
اثر	効果
پس	それから
یکی	ワン
یکی	誰か
یکی	一人
یکی	一つ
بازیکنان	プレイヤー
بازیکنان	選手
آثار	アーティファクト
آثار	効果
آثار	エフェクト
روستاهای	村落
دیگر	他の
دیگر	もっと
دیگر	その他
می	メイ
می	五月
عنوان	キャプション
پیوند	結合
پیوند	リンク
پیوند	ボンド
پیش	以前
بحث	話し合い
بحث	ディスカッション
بیرون	アウト
افراد	ピープル
دوره	紀元
دوره	コース
دوره	ピリオド
دوره	エポック
دوره	期間
متر	メーター
متر	メートル
کاربر	ユーザ
کاربر	ユーザー
مناطق	ディストリクト
باشگاه	フェネルバフチェ
باشگاه	体育館
باشگاه	クラブ
باشگاه	ジム
باشگاه	棍棒
قنات	カナート
شهرهای	市町村
شهرهای	自治体
دانشگاه	カレッジ
دانشگاه	大学
مورد	ケース
سده	センチュリー
سده	世紀
ثبت	ログ
ثبت	伐採
وجود	存在
زبان	言語
زادگان	子孫
مسکونی	住宅地
مسکونی	住宅
شماره	ナンバー
شماره	番号
شماره	数値
کار	ジョブ
کار	仕事
کار	作業
کار	ワーク
کار	働く
کار	職業
اما	しかし
اما	でも
بازیگران	撮影
بازیگران	俳優
روی	ロイ
روی	亜鉛
فرودگاه	空港
صورت	フェイス
مرکز	中央
مرکز	セントラル
مرکز	センター
مرکز	中心
زمان	タイム
زمان	時間
شرکت	会社
مقاله	随筆
مقاله	冠詞
مقاله	エッセイ
مقاله	記事
تیم	チーム
تیم	ティム
مرد	男性
انگلیسی	英語
انگلیسی	イングリッシュ
نظر	コメント
نظر	意見
جهانی	インターナショナル
جهانی	グローバル
جهانی	世界
جهانی	ユニバーサル
جهانی	ワールド
جهانی	国際
همچنین	同じく
همچنین	また
زندگی	生活
زندگی	ライフ
زندگی	人生
زندگی	生命
زندگی	リビング
زن	女性
زیر	以下
جوایز	懸賞
جوایز	受賞
جوایز	表彰
جوایز	賞品
روستا	村落
روستا	ヴィレッジ
تهران	テヘラン
بازی	遊ぶ
بازی	プレイ
بازی	ゲーム
بازی	遊び
سرشماری	国勢調査
فرانسه	フレンチ
فرانسه	フランス
فرانسه	フランス語
جنگ	戦争
دست	両手
دست	ハンド
محل	ロケーション
محل	場所
محل	スポット
محل	所在地
توابع	関数
کتاب	書籍
کتاب	帳簿
کتاب	ブック
کتاب	書物
آلمان	ドイツ
آلمان	ドイツ語
سطح	曲面
سطح	レベル
سطح	表面
اصلی	プライマリ
اصلی	オリジナル
اصلی	メイン
ساخت	製造業
ساخت	建設
المپیک	オリンピック
اول	ファースト
اول	最初
سازمان	エージェンシー
سازمان	代理店
سازمان	団体
سازمان	組織
سه	スリー
سه	三人
مرکزی	中央
مرکزی	セントラル
ایالت	状態
ایالت	都道府県
زنده	アライブ
فارسی	ペルシャ
بین	ビーン
انگلستان	イギリス
دوم	番目
دوم	セカンド
موسیقی	ミュージック
موسیقی	音楽
گروه	バンド
گروه	グループ
گروه	集団
جایزه	表彰
جایزه	受賞
جایزه	ボーナス
بیشتر	もっと
جنوبی	サウス
جنوبی	南部
جنوبی	サザン
روز	昼間
روز	一日
جمهوری	共和制
جمهوری	共和国
مرگ	デス
ولی	しかし
ولی	でも
داد	ドッド
آمریکایی	アメリカン
نقش	役割
منطقه	ゾーン
منطقه	領域
منطقه	地域
منطقه	ディストリクト
منطقه	地区
منطقه	エリア
منطقه	面積
منطقه	リージョン
بسیار	多数
بزرگ	ビッグ
بزرگ	大きい
بزرگ	大きな
اروپا	欧州
اروپا	エウロパ
اروپا	ヨーロッパ
روستایی	農民
آمار	統計
فعالیت	アクティビティ
اشاره	ヒント
محمد	ムハンマド
چند	マルチ
چند	少数
شمالی	ノーザン
شمالی	北部
شمالی	カロライナ
شمالی	北方
شمالی	ノース
آب	ウォーター
ایرانی	イラン
ایرانی	ペルシャ
اطلاعات	情報
ایجاد	創造
ایجاد	作成
مالک	オーナー
مالک	所有者
مالک	マリック
امنیت	安全
امنیت	セーフティ
امنیت	セキュリティー
امنیت	セキュリティ
نوع	タイプ
نوع	種類
مردم	ピープル
دلیل	理性
دلیل	原因
دلیل	理由
روستای	村落
روستای	ヴィレッジ
دور	遠く
دور	遠い
دور	アウェイ
مربوط	関連
بار	バー
بار	読み込み
بار	バール
بار	読み込む
بار	ロード
شما	あなた
برابر	イコール
برابر	等しい
تولید	生産
تولید	製作
تولید	生成
تولید	プロダクション
تولید	製造業
تپه	ヒル
تنها	孤独
تنها	のみ
تنها	寂しい
علی	アリー
علی	アリ
شرقی	イースト
شرقی	東部
شرقی	オリエンタル
یونسکو	ユネスコ
یونسکو	サイト
برخی	いくつか
برخی	いくらか
برخی	一部
جهان	ワールド
جهان	世界
جام	コップ
جام	カップ
ها	はぁ
ارتفاع	高度
ارتفاع	身長
کد	コード
کد	符号
کشف	発見
کشف	ディスカバリー
نشان	バッジ
حذف	削除
حذف	取り除く
تلویزیونی	テレビ
غربی	ウエスタン
غربی	ウエスト
غربی	ウェスタン
غربی	ウェスト
غربی	西部
دوران	時代
دوران	ピリオド
شامل	含む
شامل	含める
بهترین	最高
بهترین	ベスト
دولت	政府
دولت	状態
دولت	都道府県
همراه	モバイル
چپ	左側
ایتالیا	イタリアン
ایتالیا	イタリア
صفحه	ページ
مجلس	組み立て
مجلس	国会
مجلس	アセンブリ
مجلس	集会
مجلس	議会
آغاز	スタート
آغاز	始める
آغاز	開始
ویکی	ウィキ
ویکی	ヴィッキー
راه	ウェイ
راه	パス
کشتی	ボート
کشتی	艦船
کشتی	船舶
کشتی	レスリング
الگو	パターン
توجه	注意
توجه	注目
بن	ベン
همه	すべて
همه	みんな
کوچک	スモール
کوچک	マイナー
کوچک	小さい
کوچک	小さな
کوچک	リトル
ژاپن	日本
رسمی	公式
رسمی	職員
رسمی	フォーマル
اسلام	イスラム教
سپتامبر	九月
پرونده	ケース
پرونده	ファイル
ماه	ヶ月
ماه	月間
ماه	ムーン
اوت	アウグスト
تابستانی	サマー
چون	いつ
چون	とき
چون	だって
چون	なぜなら
آوریل	四月
آوریل	エイプリル
تغییر	編集
تغییر	変化
تغییر	チェンジ
تغییر	変更
مجموعه	コレクション
شکل	フィギュア
شکل	図形
شکل	形状
شکل	フォーム
شکل	シェイプ
شکل	形式
مارس	マーズ
مارس	火星
مارس	マーチ
مارس	行進曲
درخواست	請求
درخواست	リクエスト
کیلومتر	キロ
کیلومتر	キロメートル
جمله	文章
جمله	宣告
جمله	センテンス
گردشگری	ツーリスト
گردشگری	観光
شهری	シティ
شهری	アーバン
شهری	都市
ممکن	可能性
لیگ	リーグ
روسیه	ロシア
منابع	資源
منابع	リソース
منابع	出典
منابع	ソース
نخستین	ファースト
نخستین	最初
شاه	シャー
شاه	国王
شاه	キング
جنوب	サウス
جنوب	南部
جنوب	サザン
طور	マウント
تشکیل	フォーメーション
فوت	フィート
اکتبر	十月
ژوئن	六月
امکان	可能性
نویسندگان	作者
نویسندگان	著者
نویسندگان	作家
سر	ヘッド
سر	ヘッズ
سر	頭部
حزب	パーティ
حزب	パーティー
فرهنگ	文化
فرهنگ	カルチャー
برندگان	勝者
بدون	なし
خانه	帰宅
خانه	ハウス
خانه	ホーム
خانه	自宅
موارد	事例
موارد	アイテム
موارد	品物
موارد	ケース
هند	インド
آلبوم	アルバム
آزاد	無料
آزاد	フリー
آزاد	自由
چاپ	印刷
علمی	サイエンス
علمی	科学
نوامبر	十一月
شمال	北部
شمال	北方
شمال	ノーザン
شمال	ノース
پایان	エンディング
پایان	終了
پایان	エンド
علوم	サイエンス
علوم	科学
جان	ジョン
سید	シド
کالیفرنیا	カリフォルニア
قرن	センチュリー
قرن	世紀
بازیگر	女優
بازیگر	俳優
صنایع	産業
صنایع	業界
کانادا	カナディアン
کانادا	カナダ
اسپانیا	スペイン
زمین	アース
زمین	地球
رئیس	ボス
برزیل	ブラジル
سبک	スタイル
سبک	明るい
سبک	軽い
سبک	ライト
بالا	トップ
بالا	上部
جدید	新規
جدید	新しい
