در	門
رده	課堂
رده	類
رده	階級
رده	班級
رده	類別
از	來自
از	從
که	誰
که	那個
این	這
این	這個
میلادی	十年
یک	一
یک	一個
سال	年
سال	年份
سال	年度
سال	歲月
ایران	伊朗
شهرستان	郡
شهرستان	縣
آمریکا	美洲
آمریکا	美國
فهرست	列表
فهرست	編目
فهرست	名單
فهرست	名冊
فهرست	清單
او	她
او	她的
او	他的
تا	五月
تا	五月份
تا	直到
تا	梅
وابسته	依賴
وابسته	形容詞
فوتبال	橄欖球
فوتبال	美式足球
فوتبال	足球
ساعت	鍾
ساعت	時鐘
ساعت	時辰
ساعت	小時
ساعت	鐘
پایه	基礎
پایه	地基
پایه	依據
پایه	基本
پایه	基數
پایه	基地
پایه	基金會
نام	名稱
نام	名字
نام	姓名
استان	區域
استان	省省
استان	省份
استان	省
شهر	城鎮
شهر	市
شهر	城
شهر	鎮
شهر	城市
ملی	國家
کشور	國家
تاریخ	日期
تاریخ	歷史
تاریخ	約會
فیلم	膠片
فیلم	影片
فیلم	電影
بخش	地區
بخش	區
بخش	部門
جمعیت	群眾
جمعیت	人口
جمعیت	人群
دو	二
دو	兩
دو	兩個
اثر	效應
اثر	效果
اثر	特效
پس	那
پس	那麼
پس	然後
یکی	有人
یکی	一
یکی	某人
یکی	一個
بازیکنان	玩家
بازیکنان	球員
آثار	文物
آثار	效應
آثار	工藝品
آثار	效果
آثار	影響
آثار	特效
وی	韋
وی	魏
روستاهای	鄉村
روستاهای	村莊
دیگر	更多
دیگر	其他
دیگر	更
دیگر	多
می	小美
می	五月
می	五月份
می	梅
عنوان	標題
پیوند	龐德
پیوند	連結
پیوند	債券
پیوند	鍵
پیوند	保證金
پیش	之前
پیش	前
پیش	以前
بحث	爭論
بیرون	出局
افراد	人民
افراد	人
افراد	人們
دوره	課程
دوره	紀元
دوره	期間
دهه	幾十年
دهه	十年
متر	公尺
متر	米
کاربر	使用者
مناطق	各地區
مناطق	地區
مناطق	各區
هر	任何
هر	每個
هر	每一個
باشگاه	健身房
باشگاه	幫會
باشگاه	俱樂部
باشگاه	體育館
شهرهای	市鎮
شهرهای	市政府
دانشگاه	書院
دانشگاه	大學
دانشگاه	學院
مورد	案件
مورد	案例
مورد	個案
سده	世紀
ثبت	伐木
ثبت	日誌
وجود	存在
زبان	語
زبان	語言
زبان	舌頭
زبان	舌
زبان	語文
زادگان	後裔
زادگان	後代
مسکونی	寄宿
مسکونی	住宅
شماره	號碼
شماره	數字
شماره	編號
شماره	數
کار	工作
اما	但
اما	但是
اما	不過
بازیگران	演員
بازیگران	拍攝
بازیگران	拍戲
روی	鋅
فرودگاه	機場
صورت	臉
صورت	臉部
مرکز	中央
مرکز	中心
زمان	時間
زمان	時光
شرکت	公司
مقاله	文章
مقاله	論文
مقاله	作文
تیم	球隊
تیم	團隊
تیم	添
تیم	隊伍
مرد	男人
مرد	人
نظر	評論
نظر	意見
جهانی	普遍
جهانی	環球
جهانی	世界
جهانی	普及
جهانی	國際
جهانی	全球
همچنین	太
همچنین	還
همچنین	也
همچنین	同樣
زندگی	生命
زندگی	生活
زندگی	人生
زن	女子
زن	女
زن	妻子
زن	女人
زن	女性
زیر	以下
زیر	下方
آنها	她們
آنها	它們
آنها	他們
جوایز	獎
جوایز	頒獎
جوایز	獎品
جوایز	獎勵
روستا	村落
روستا	鄉村
روستا	村
روستا	村子
روستا	村莊
بازی	博弈
بازی	玩
بازی	播放
بازی	遊戲
بازی	彈
بازی	比賽
سرشماری	普查
سرشماری	人口普查
فرانسه	法國
فرانسه	法文
فرانسه	法語
جنگ	戰
جنگ	戰爭
باید	必須
دست	胳膊
دست	手臂
دست	手
دست	雙手
دست	臂
شورای	安理會
محل	地方
محل	地點
محل	位置
محل	所在地
توابع	函數
کتاب	書
کتاب	圖書
کتاب	書籍
آلمان	德國
آلمان	德文
آلمان	德語
سطح	三級
سطح	層次
سطح	關卡
سطح	等級
سطح	地表
سطح	表面
سطح	地面
سطح	級別
اصلی	原
اصلی	主要
اصلی	原文
اصلی	原件
اصلی	原創
اصلی	初級
اصلی	原始
ساخت	建設
ساخت	施工
ساخت	建築
ساخت	製造
ساخت	製造業
المپیک	奧運
المپیک	奧林匹克
المپیک	奧運會
اول	第一
اول	首先
سازمان	機構
سازمان	代理商
سازمان	組織
سه	三
سه	三個
مرکزی	中央
ایالت	州
ایالت	國家
زنده	活著
فارسی	波斯
بین	豆
انگلستان	英格蘭
انگلستان	英國
دوم	秒
دوم	第二
