les	เดอะ
une	หนึ่ง
une	เดียว
pour	สำหรับ
pour	เพื่อ
qui	ผู้
qui	ใคร
que	นั่น
que	ว่า
que	นั้น
que	ที่
avec	ด้วย
avec	กับ
son	มัน
son	เสียง
plus	มากกว่า
plus	อื่นๆ
pas	ไม่
pas	ไม่ใช่
sont	กำลัง
sont	คือ
elle	นาง
elle	หล่อน
elle	เธอ
été	ซัมเมอร์
comme	เหมือน
comme	แบบ
comme	ไลค์
comme	อย่าง
comme	ถูกใจ
comme	ชอบ
mais	แต่
cette	ดิส
cette	นี้
cette	นี่
pop	ป็อป
deux	สอง
ses	มัน
naissance	เกิด
naissance	กำเนิด
aussi	ยัง
saint	ศักดิ์สิทธิ์
saint	ศีล
après	หลัง
fait	ทำให้
fait	จบ
entre	ระหว่าง
sous	ใต้
même	เดียวกัน
même	แม้แต่
même	แม้
même	แม้น
même	แม้ว่า
être	การ
nom	นามสกุล
nom	ชื่อ
nom	สกุล
français	ฝรั่งเศส
ont	มี
lui	เขา
lieu	ตำแหน่งที่ตั้ง
lieu	ตำแหน่ง
cet	ดิส
cet	นี้
cet	นี่
autres	อื่นๆ
décès	ตาย
références	อ้างอิง
liens	ลิงก์
commune	ทั่วไป
commune	สามัญ
ville	ซิตี้
ville	ทาวน์
ville	เมือง
jean	จอห์น
jean	จอร์น
peut	สามารถ
peut	พฤษภาคม
peut	สา
depuis	ตั้งแต่
depuis	จาก
première	ปฐมทัศน์
première	ก่อน
première	แรก
ans	ปี
alors	งั้น
externes	ภายนอก
site	เว็บไซต์
premier	ก่อน
premier	แรก
film	ภาพยนตร์
film	ภาพยนต์
film	หนัง
voir	ดู
voir	เห็น
pays	ประเทศ
grand	ยอด
grand	บิ๊ก
grand	เยี่ยม
grand	ใหญ่
tout	ทุก
tout	ทั้งหมด
lors	ระหว่าง
groupe	วง
groupe	กลุ่ม
également	ยัง
titre	ชื่อ
monde	เวิลด์
monde	โลก
nord	เหนือ
nord	อุดร
années	ปี
bien	เก่ง
bien	เอ้อ
bien	ดี
bien	ก็
bien	ก้อ
bien	อืม
bien	เออ
contre	ต่อ
liste	รายการ
puis	งั้น
équipe	ทีม
équipe	หน่วย
équipe	หมู่
sud	ใต้
partie	ปาร์ตี้
partie	ส่วน
partie	พรรค
partie	ภาค
avant	หน้า
avant	ก่อน
non	ไม่
non	ไม่ใช่
très	มาก
trois	สาม
guerre	สงคราม
saison	ฤดูกาล
fin	จบ
fin	ยุติ
année	ปี
temps	อากาศ
temps	เวลา
plusieurs	หลายๆ
plusieurs	หลาย
plusieurs	มากมาย
faire	ทำให้
mars	มีนาคม
mars	มาร์ช
histoire	ประวัติศาสตร์
histoire	ประวัติการ
histoire	ประวัติ
série	ซีรี่ส์
série	อนุกรม
mai	พฤษภาคม
tour	หอคอย
tour	ทาวเวอร์
tour	หอ
mort	ตาย
juin	มิถุนายน
juin	จูน
juin	จุน
française	ฝรั่งเศส
pierre	หิน
pierre	ศิลา
région	แคว้น
région	บริเวณ
région	ภูมิภาค
région	พื้นที่
janvier	มกราคม
avoir	มี
fois	ครั้ง
fois	ไทม์
autre	อื่นๆ
septembre	กันยา
septembre	กันยายน
juillet	กรกฎาคม
état	สถานภาพ
état	สถานะ
état	รัฐ
état	สภาพ
état	เงื่อนไข
église	ศาสนจักร
église	โบสถ์
octobre	ตุลาคม
famille	ครอบครัว
famille	ตระกูล
général	ทั่วไป
général	แม่ทัพ
avril	เมษายน
tous	ทุก
tous	ทั้งหมด
politique	การเมือง
politique	นโยบาย
décembre	ธันวาคม
décembre	ธันวา
novembre	พฤศจิกายน
prix	ราคา
nouvelle	ใหม่
nouvelle	นิว
février	กุมภาพันธ์
département	กรม
département	แผนก
grande	ยอด
grande	บิ๊ก
grande	เยี่ยม
grande	ใหญ่
américain	อเมริกัน
début	เริ่ม
ligne	บรรทัด
ligne	แถว
ligne	เส้น
nationale	ชาติ
encore	ยัง
encore	อีก
image	ภาพ
image	รูป
vie	ชีวิต
unis	ยูไนเต็ด
unis	สามัคคี
lien	ลิงค์
lien	ลิงก์
football	ฟุตบอล
pendant	ระหว่าง
jeux	เกม
jeux	เกมส์
moins	น้อย
ouest	เวสต์
nouveau	ใหม่
nouveau	นิว
vous	เจ้า
vous	เธอ
vous	คุณ
centre	กึ่งกลาง
centre	กลาง
centre	ศูนย์
centre	ศูนย์กลาง
cours	คอร์ส
cours	หลักสูตร
partir	ทิ้ง
université	มหาวิทยาลัย
université	วิทยาลัย
nombre	จำนวน
nombre	หมายเลข
quelques	บาง
quelques	บ้าง
siècle	ศตวรรษ
coupe	คัพ
coupe	ตัดผม
coupe	กรีด
coupe	ตัด
coupe	ถ้วย
coupe	คัท
connexes	เกี่ยวข้อง
homme	ผู้ชาย
homme	ตัวผู้
homme	ชาย
homme	บุรุษ
homme	มนุษย์
homme	คน
homme	แมน
communes	เทศบาล
président	ประธาน
président	ประธานาธิบดี
président	เก้าอี้
société	สังคม
société	องค์กร
société	บริษัท
quatre	สี่
cas	กรณี
cas	คดี
jeu	เกม
jeu	เกมส์
genre	เหมือน
genre	แบบ
genre	ไลค์
genre	อย่าง
genre	ถูกใจ
genre	ชอบ
genre	เพศ
musique	เพลง
musique	ดนตรี
musique	มิวสิค
fils	ลูก
fils	ลวด
fils	ลูกชาย
fils	บุตร
roi	ราชา
roi	คิง
roi	กษัตริย์
parti	ปาร์ตี้
parti	พรรค
jour	วัน
jour	เดย์
forme	ฟอร์ม
époque	ยุค
époque	ศักราช
ancien	เก่า
ancien	อดีต
ancien	เก่าๆ
ancien	โบราณ
ancien	แก่
origine	ที่มา
origine	ต้นทาง
origine	กำเนิด
ordre	ลำดับ
château	ปราสาท
école	โรงเรียน
carrière	อาชีพ
carrière	เหมือง
part	แชร์
deuxième	วินาที
points	จุด
rue	ถนน
chef	หัวหน้า
père	พ่อ
exemple	ตัวอย่าง
durant	ระหว่าง
rapport	รายงาน
dernier	สุดท้าย
dernier	ล่าสุด
compte	นับ
compte	บัญชี
compte	จำนวนนับ
armée	กองทัพ
armée	ทหาร
armée	ทัพ
eau	นํ้า
eau	น้ำ
marie	แมรี่
marie	แมรี
discuter	อภิปราย
discuter	แชท
discuter	แชต
car	เพราะ
projet	โครงการ
chaque	แต่ละ
chaque	ทุก
