और	وال
से	من
है	هال
है	هاي
एक	واحد
एक	واحدة
एक	واحده
एक	احد
श्रेणी	مسلسل
श्रेणी	سلسلة
श्रेणी	الفئات
श्रेणी	فئة
श्रेणी	الفئة
श्रेणी	مسلسلات
श्रेणी	الاصناف
श्रेणी	السلسلة
श्रेणी	فئات
भी	حتى
भी	ايضا
भी	حتي
भी	كمان
यह	هذه
यह	هذا
किया	فعلت
किया	معمول
किया	تم
किया	انتهيت
किया	تمت
इस	هذه
इस	هذا
कि	ذلك
कि	هذا
भारत	بالهند
भारत	انديا
भारत	الهند
जो	من
जो	اللي
जो	جو
रूप	المظهر
रूप	الشكل
रूप	شكل
रूप	ظهور
रूप	الظهور
रूप	النموذج
रूप	مظهر
रूप	استمارة
कर	ضرائب
कर	ضريبي
कर	الضرائب
कर	الضريبة
कर	ضريبة
नहीं	لا
नहीं	مش
नहीं	ليس
नहीं	وليس
गया	رحت
साथ	سويا
साथ	سوية
साथ	مع
साथ	معا
पूर्व	السابق
पूर्व	شرق
पूर्व	ايست
पूर्व	الشرقية
पूर्व	سابق
पूर्व	الشرق
पूर्व	شرقي
पूर्व	شرقا
बाद	بعد
बाद	بعدما
बाद	لاحقا
बाद	لاحق
तक	حتى
अपने	تك
अपने	امتلك
जिले	مقاطعات
जिले	المناطق
जिले	المقاطعات
था	كان
था	كانت
राज्य	الحالة
राज्य	الولاية
राज्य	الولايات
राज्य	الدول
राज्य	ولاية
राज्य	الدولة
राज्य	دول
राज्य	دولة
बाहरी	النزهات
बाहरी	خارجي
बाहरी	الخارجية
बाहरी	خارجية
कुछ	شيء
कुछ	شي
कुछ	بعض
कुछ	حاجه
कुछ	شئ
कुछ	البعض
ईसा	يسوع
गाँव	القرية
गाँव	قرية
सरकार	الحكومات
सरकार	الحكومة
सरकार	حكومة
सरकार	تزحف
कड़ियाँ	الروابط
कड़ियाँ	السلاسل
कड़ियाँ	روابط
कड़ियाँ	وصلات
कड़ियाँ	الصلات
कड़ियाँ	الوصلات
कड़ियाँ	سلاسل
प्रदेश	الاقليم
प्रदेश	المنطقة
प्रदेश	منطقة
प्रदेश	اقليم
दिया	اعطيت
दिया	اعطى
दिया	وهب
दिया	نظرا
अन्य	اخرون
अन्य	اخرى
अन्य	الاخرون
अन्य	اخرين
वर्ष	السنه
वर्ष	سنوات
वर्ष	عام
वर्ष	السنين
वर्ष	سنه
वर्ष	السنة
वर्ष	سنين
वर्ष	اعوام
वर्ष	العام
वर्ष	سنة
वर्ष	السنوات
समय	الزمن
समय	الوقت
समय	توقيت
समय	التوقيت
समय	وقت
समय	الزمان
समय	زمن
नाम	الاسم
नाम	اسم
वे	هم
वे	انهم
प्रकार	نوع
प्रकार	الانواع
प्रकार	النوع
प्रकार	انواع
भारतीय	هندية
भारतीय	هندي
भारतीय	الهندي
भारतीय	الهندية
किसी	احد
किसी	شخص
क्षेत्र	المنطقة
क्षेत्र	مجالات
क्षेत्र	مناطق
क्षेत्र	المجالات
क्षेत्र	مساحة
क्षेत्र	منطقة
क्षेत्र	اقليم
क्षेत्र	المساحة
क्षेत्र	الاقليم
क्षेत्र	المناطق
अधिक	اكثر
अधिक	مزيد
अधिक	اكتر
अधिक	المزيد
कई	كثير
कई	عدة
कई	العديد
कई	كثيرون
कई	الكثيرون
कई	الكثير
मण्डल	المنطقة
मण्डल	منطقة
आधिकारिक	رسمية
आधिकारिक	مسؤول
आधिकारिक	الرسمي
आधिकारिक	رسمي
कारण	دواعي
कारण	اسباب
कारण	سبب
कारण	السبب
कारण	الاسباب
होने	كونك
जैसे	لايك
जैसे	مثل
उनके	هم
सबसे	اغلب
सबसे	الاكثر
सबसे	معظم
हिन्दी	هندية
हिन्दी	هندي
हिन्दी	الهندية
बहुत	جدا
पहले	قبل
पहले	اولا
पहले	اول
पहले	الاول
पहले	الاولى
अपनी	امتلك
दो	اثنتان
दो	اثنان
दो	اثنين
जिला	المنطقة
जिला	المقاطعة
जिला	منطقة
जब	متى
जब	عندما
जब	حين
उन्होंने	هم
उन्होंने	انهم
उन्होंने	المصريين
जन्म	ميلاد
जन्म	الميلاد
जन्म	ولادة
जन्म	يولد
जन्म	تولد
जन्म	الولادة
जन्म	ولد
जन्म	مولود
जन्म	ولدت
कोई	اي
कोई	اية
कोई	كوي
इन	نزل
लेकिन	لكن
लेकिन	بس
लेकिन	ولكن
ये	هذه
ये	هؤلاء
ये	هذا
कम	تدني
कम	منخفضة
कम	اقل
कम	انخفاض
कम	منخفض
कहा	قالو
कहा	قال
कहा	قالت
लोग	الناس
लोग	اشخاص
लोग	اناس
लोग	ناس
लोग	الاشخاص
आदि	الخ
आदि	اكثر
आदि	اكتر
आदि	عدي
आदि	المزيد
आदि	مزيد
आदि	ادى
उसके	ده
उसके	هي
उसके	لها
प्राचीन	القدماء
प्राचीन	قديم
देखें	مشاهدة
देखें	عرض
देखें	اعرض
देखें	شاهد
देखें	منظر
देखें	ساعة
देखें	ترى
देखें	راقب
उत्तर	شمالي
उत्तर	الاجابات
उत्तर	شمال
उत्तर	اجابة
उत्तर	الشمال
उत्तर	اجابات
उत्तर	نورث
उत्तर	جواب
उत्तर	شمالا
उत्तर	الجواب
उत्तर	الاجابة
भाषा	اللغات
भाषा	اللغة
भाषा	لغة
भाषा	لغات
लिये	لاجل
सभी	كلهم
सभी	كله
सभी	الكل
सभी	جميع
सभी	كل
प्राप्त	وردت
प्राप्त	استقبل
प्राप्त	ورد
प्राप्त	تلقت
प्राप्त	تستلم
प्राप्त	تستقبل
प्राप्त	استلام
प्राप्त	تلقي
प्रयोग	تجارب
प्रयोग	استعمال
प्रयोग	الاستعمال
प्रयोग	التجارب
प्रयोग	الاستخدام
प्रयोग	تجربة
प्रयोग	التجربة
