और	y
से	de
से	desde
एक	una
एक	uno
श्रेणी	categoria
श्रेणी	categoría
श्रेणी	serie
श्रेणी	categorías
श्रेणी	categorias
भी	aun
भी	igualmente
भी	además
भी	tambien
भी	hasta
भी	incluso
भी	demasiado
भी	también
यह	esto
यह	este
यह	esta
किया	hizo
किया	hecho
इस	esto
इस	este
इस	esta
हैं	están
हैं	son
कि	eso
कि	que
जो	quiénes
जो	oms
जो	quien
जो	quién
रूप	aspecto
रूप	apariencia
रूप	aparición
रूप	formulario
रूप	forma
रूप	comparecencia
कर	impuestos
कर	fiscalidad
कर	impuesto
कर	tributación
नहीं	no
नहीं	nop
साथ	junto
साथ	juntos
साथ	con
साथ	juntas
पूर्व	oriente
पूर्व	antiguo
पूर्व	este
पूर्व	ex
बाद	después
बाद	tras
बाद	posteriormente
बाद	despues
तक	asta
तक	hasta
अपने	propio
अपने	su
अपने	propias
अपने	propia
अपने	sus
अपने	propios
अपने	tu
अपने	tus
जिले	distritos
जिले	barrios
था	estaba
था	tenido
था	fue
था	era
था	había
था	tenía
था	tuvo
राज्य	estado
राज्य	estados
बाहरी	externos
बाहरी	externa
बाहरी	externo
बाहरी	exterior
बाहरी	exteriores
कुछ	algunos
कुछ	algunas
कुछ	algo
ईसा	jesús
गाँव	aldea
गाँव	poblado
गाँव	villa
गाँव	pueblo
सरकार	gobierno
कड़ियाँ	acoplamientos
कड़ियाँ	cadenas
कड़ियाँ	vínculos
कड़ियाँ	enlaces
प्रदेश	región
प्रदेश	comarca
इसके	sus
इसके	su
दिया	dio
दिया	dados
दिया	dado
दिया	dió
अन्य	otros
अन्य	otro
अन्य	otras
वर्ष	año
वर्ष	anos
वर्ष	años
समय	hora
समय	tiempo
समय	momento
नाम	nombre
नाम	denominación
वे	ellas
वे	ellos
प्रकार	amable
प्रकार	tipo
प्रकार	escribe
प्रकार	tipos
प्रकार	escriba
भारतीय	hindú
भारतीय	indio
भारतीय	india
भारतीय	indios
किसी	alguien
क्षेत्र	zonas
क्षेत्र	región
क्षेत्र	áreas
क्षेत्र	superficie
क्षेत्र	comarca
क्षेत्र	área
क्षेत्र	zona
अधिक	mas
अधिक	más
कई	muchas
कई	varias
कई	varios
कई	muchos
स्थित	ubicado
स्थित	situado
स्थित	localizada
स्थित	localizado
मण्डल	zona
आधिकारिक	oficial
आधिकारिक	funcionario
आधिकारिक	funcionaria
कारण	razones
कारण	causas
कारण	motivo
कारण	razón
कारण	razon
कारण	causa
कारण	motivos
होने	siendo
होने	estar
होने	ser
जैसे	gustar
जैसे	como
करता	abusadores
करता	hace
करता	matones
उनके	ellas
उनके	ellos
उनके	sus
उनके	su
बहुत	muy
पहले	primeros
पहले	primeras
पहले	primero
पहले	primera
पहले	anteriormente
पहले	primer
पहले	anterior
पहले	anteriores
पहले	antes
अपनी	carnales
अपनी	propio
अपनी	propias
अपनी	propia
अपनी	propios
दो	dos
जिला	distrito
जब	cuando
जब	cuándo
उन्होंने	ellas
उन्होंने	ellos
उन्होंने	egipcios
जन्म	nacido
जन्म	nacimientos
जन्म	nacidos
जन्म	nacimiento
जन्म	natalidad
जन्म	parto
कोई	cualquiera
कोई	cualquier
इन	dci
इन	posada
इन	posadas
लेकिन	sino
लेकिन	pero
ये	estas
ये	este
ये	estos
ये	esto
ये	éstos
ये	esta
ये	éstas
कम	menos
कम	bajas
कम	bajo
कम	bajos
कम	baja
कहा	dijo
कहा	dicho
लोग	personas
लोग	gente
लोग	pueblo
आदि	mas
आदि	más
उसके	sus
उसके	ella
उसके	su
प्राचीन	primitivas
प्राचीन	primitivos
प्राचीन	antiguas
प्राचीन	antigua
प्राचीन	primitiva
प्राचीन	pretor
प्राचीन	antiguo
प्राचीन	antiguos
प्राचीन	primitivo
देखें	mira
देखें	reloj
देखें	vea
देखें	vista
देखें	véase
देखें	vistas
देखें	mirar
देखें	ver
उत्तर	contesta
उत्तर	norte
उत्तर	contestar
उत्तर	responder
उत्तर	respuestas
उत्तर	respuesta
भाषा	idioma
भाषा	lenguas
भाषा	idiomas
भाषा	lengua
भाषा	lenguaje
लिये	para
सभी	todo
सभी	todas
सभी	todos
प्राप्त	obtenidas
प्राप्त	reciba
प्राप्त	recibido
प्राप्त	recibir
प्राप्त	recibe
प्राप्त	reciban
प्राप्त	obtenidos
प्राप्त	recibida
