से	از
है	های
एक	یکی
एक	یگانه
एक	یک
श्रेणी	سری
श्रेणी	دسته
श्रेणी	مقوله
भी	حتى
भी	حتی
भी	همچنین
भी	وحتی
यह	این
इस	این
हैं	هستند
कि	که
भारत	هندوستان
भारत	هند
जो	که
जो	جو
रूप	ظاهر
रूप	شکل
रूप	فرم
कर	مالیاتی
कर	مالیات
साथ	با
साथ	باهم
पूर्व	شرقی
पूर्व	پیشین
पूर्व	شرق
पूर्व	سابق
बाद	بعدا
बाद	بعداً
बाद	دیرتر
बाद	بعدها
तक	تاک
तक	تا
अपने	شما
जिले	مناطق
जिले	نواحی
था	بود
राज्य	ایالت
राज्य	حالت
राज्य	دولت
राज्य	وضعیت
राज्य	استیت
बाहरी	خارجی
कुछ	بعضیها
कुछ	برخی
ईसा	عیسی
गाँव	دهکده
गाँव	روستای
गाँव	روستا
गाँव	ویلیج
सरकार	دولت
सरकार	دولتی
सरकार	حکومت
कड़ियाँ	پیوندها
कड़ियाँ	زنجیرها
कड़ियाँ	پیوندهای
प्रदेश	استان
प्रदेश	منطقه
प्रदेश	ناحیه
प्रदेश	منطقۀ
अन्य	دیگر
अन्य	دیگران
अन्य	غیره
वर्ष	سالها
वर्ष	سالهای
वर्ष	سال
समय	زمان
समय	تایم
समय	زمانبندی
नाम	نام
वे	ایشان
वे	آنها
वे	اونا
वे	اونها
प्रकार	انواع
प्रकार	تیپ
प्रकार	تایپ
प्रकार	مهربان
प्रकार	نوع
भारतीय	سرخپوست
भारतीय	هندی
किसी	یکی
किसी	کسی
तहसील	تهسیل
क्षेत्र	منطقه
क्षेत्र	مناطق
क्षेत्र	استان
क्षेत्र	مساحت
क्षेत्र	نواحی
क्षेत्र	منطقۀ
क्षेत्र	ناحیه
अधिक	دیگر
अधिक	بیشتر
कई	بسیار
कई	چندین
मण्डल	زون
मण्डल	منطقه
आधिकारिक	رسمی
कारण	علت
कारण	دلیلی
कारण	دلیل
कारण	علل
कारण	موجب
कारण	دلایل
होने	بودن
जैसे	مانند
जैसे	شبیه
जैसे	لایک
जैसे	مثل
करता	کند
करता	درماندگان
करता	نزده
करता	بکند
उनके	آنها
उनके	آنان
सबसे	بیشتر
सबसे	اکثر
सबसे	بیشترین
हिन्दी	هندی
बहुत	بسیار
बहुत	خیلی
पहले	نخستین
पहले	پیش
पहले	اول
पहले	ابتدا
दो	دوتا
दो	دو
जिला	بخش
जिला	منطقه
जिला	ناحیه
जब	وقتی
जब	چون
उन्होंने	اونا
उन्होंने	اونها
उन्होंने	مصریان
उन्होंने	آنها
उन्होंने	ایشان
जन्म	تولد
जन्म	متولد
जन्म	زاده
जन्म	ولادت
कोई	هیچ
कोई	هر
इन	مهمانخانه
इन	مسافرخانه
इन	مهمانسرا
लेकिन	ولی
लेकिन	اما
ये	اینها
ये	اینا
ये	این
कम	کمتر
कम	کم
कम	کمتری
कहा	گفت
लोग	مردم
लोग	افراد
लोग	مردمان
लोग	آدمها
आदि	دیگر
आदि	عدی
आदि	بیشتر
आदि	غیره
उसके	او
प्राचीन	باستان
प्राचीन	باستانی
प्राचीन	کهن
देखें	دیدن
देखें	نما
देखें	نمای
उत्तर	شمالی
उत्तर	پاسخ
उत्तर	شمال
उत्तर	جوابها
उत्तर	نورث
उत्तर	جواب
उत्तर	پاسخگویی
भाषा	زبان
भाषा	زبانها
भाषा	زبانهای
लिये	برای
सभी	همه
प्राप्त	دریافت
प्रयोग	کاربرد
प्रयोग	آزمایش
प्रयोग	استعمال
शामिल	درگیر
शामिल	شامل
शामिल	دخیل
उन्हें	آنها
उन्हें	آنان
उस	که
स्थान	جای
स्थान	جایی
स्थान	مکانهای
स्थान	مکانی
स्थान	محل
स्थान	مکان
स्थान	مکانهایی
स्थान	محلهای
स्थान	مکانها
स्थान	مساجد
प्रमुख	ماژور
प्रमुख	ماین
प्रमुख	اصلی
प्रमुख	سرگرد
प्रमुख	عمده
बीच	مرکز
बीच	بیچ
बीच	مرکزش
बीच	سنتر
बीच	ساحل
गए	رفتن
गए	رفته
गए	رفت
मुख्य	ماین
मुख्य	اصلی
थी	بود
बिहार	بیهار
उसे	او
कार्य	کار
कार्य	کارها
कार्य	کارهای
कार्य	شغل
कार्य	تکلیف
कार्य	جابز
कार्य	ایوب
कार्य	کاری
कार्य	تکالیف
आंध्र	آندرا
नगर	سیتی
नगर	شهری
नगर	نگار
नगर	شهرک
नगर	شهر
नगर	قریه
उपयोग	کاربرد
उपयोग	استعمال
लोगों	مردم
लोगों	افراد
लोगों	مردمان
लोगों	آدمها
आधार	مبنا
आधार	پایگاه
आधार	پایه
काम	کار
काम	کاری
जीवन	زندگی
जीवन	زندگى
विश्व	جهان
विश्व	دنیا
विश्व	جهانی
भाग	بخشهای
भाग	جزء
भाग	بخشها
भाग	پارت
भाग	عورت
भाग	قسمت
भाग	قطعات
निर्माण	ساخت
निर्माण	سازندگی
निर्माण	بسازم
निर्माण	آفرینش
निर्माण	تولیدی
निर्माण	بسازی
निर्माण	بسازید
निर्माण	خلقت
निर्माण	ساختمان
निर्माण	بساز
निर्माण	ایجاد
निर्माण	ساختن
दोनों	هردو
राष्ट्रीय	نشنال
राष्ट्रीय	ملی
जानकारी	معلومات
जानकारी	اطلاعات
पोर्टल	پورتال
शहर	سیتی
शहर	شهر
शहर	شهری
शहर	شهرها
बार	بار
बार	تایمز
बार	زمانهای
बार	میله
बार	دفعات
लगभग	حدوداً
लगभग	تقریبا
लगभग	نزدیک
लगभग	تقریباً
लगभग	نمانده
फिल्म	سینمایی
फिल्म	فیلمش
फिल्म	فیلم
फिल्म	فیلمی
यहाँ	اینجا
प्रसिद्ध	مشهور
प्रसिद्ध	دارای
प्रसिद्ध	مشهوره
प्रसिद्ध	معروف
विकास	رشد
विकास	توسعه
केवल	تنها
देश	کشور
देश	کشورها
देश	کشوری
देश	ییلاق
देश	ملت
देश	مملکت
देश	کانتری
देश	ملتی
वेबसाइट	وبسایت
वेबसाइट	وبگاه
वेबसाइट	سایت
अलग	متفاوت
विशेष	انحصاری
विशेष	استثنایی
विशेष	خاصه
विशेष	ویژه
विशेष	خالص
विशेष	مخصوص
विशेष	خاص
पृष्ठ	صفحۀ
पृष्ठ	صفحه
पृष्ठ	صفحات
माना	مانا
शब्द	سخن
शब्द	واژه
शब्द	کلام
शब्द	کلمات
शब्द	کلمه
फिर	پس
तीन	سه
पुरस्कार	جوایز
पुरस्कार	جایزه
पुरस्कार	ثواب
पुरस्कार	پاداش
पुरस्कार	اجر
लेख	مطلب
लेख	مقاله
लेख	مقالۀ
