और	et
से	du
से	de
से	depuis
है	haï
एक	un
एक	une
श्रेणी	catégories
श्रेणी	série
श्रेणी	séries
श्रेणी	catégorie
भी	même
भी	aussi
भी	egalement
भी	meme
भी	également
भी	trop
यह	cet
यह	ce
यह	ceci
यह	cette
यह	cela
किया	fait
किया	faite
इस	cet
इस	ce
इस	ceci
इस	cette
इस	cela
हैं	sont
कि	que
कि	cela
भारत	inde
भारत	indes
जो	qui
जो	oms
रूप	apparition
रूप	forme
रूप	formulaire
रूप	aspect
रूप	apparence
कर	fiscale
कर	fiscalité
कर	taxes
कर	taxe
कर	impôt
कर	impôts
नहीं	pas
नहीं	non
गया	allé
साथ	avec
साथ	ensemble
पूर्व	ancienne
पूर्व	ancien
पूर्व	orientale
पूर्व	orient
पूर्व	est
होता	serait
होता	ferait
होता	aurait
बाद	apres
बाद	ultérieur
बाद	après
बाद	aprés
अपने	propre
अपने	propres
अपने	posséder
अपने	votre
अपने	vos
जिले	arrondissements
जिले	quartiers
था	fut
था	avaient
था	avais
था	avait
था	était
था	etait
राज्य	etat
राज्य	état
राज्य	etats
राज्य	états
बाहरी	extérieur
बाहरी	extérieurs
बाहरी	externe
बाहरी	extérieure
बाहरी	externes
कुछ	certaines
कुछ	quelques
कुछ	quelquechose
कुछ	certains
ईसा	jésus
सरकार	gouvernement
सरकार	gouvernements
कड़ियाँ	chaînes
कड़ियाँ	liens
कड़ियाँ	chaines
प्रदेश	région
इसके	son
इसके	ses
इसके	sa
दिया	donné
दिया	donnés
अन्य	autre
अन्य	autres
वर्ष	années
वर्ष	année
वर्ष	an
वर्ष	annee
वर्ष	ans
समय	heure
समय	temps
नाम	nommer
नाम	nom
नाम	noms
नाम	dénomination
वे	eux
वे	ils
वे	elles
प्रकार	aimable
प्रकार	taper
प्रकार	tapez
भारतीय	indiennes
भारतीय	indienne
भारतीय	indiens
भारतीय	indien
क्षेत्र	domaines
क्षेत्र	zone
क्षेत्र	zones
क्षेत्र	domaine
क्षेत्र	région
अधिक	plus
अधिक	davantage
कई	nombreuses
कई	plusieurs
कई	beaucoup
कई	nombreux
स्थित	situé
स्थित	située
स्थित	situés
स्थित	localisé
आधिकारिक	fonctionnaire
आधिकारिक	officiel
आधिकारिक	officielle
आधिकारिक	officiels
आधिकारिक	officielles
कारण	cause
कारण	raison
कारण	raisons
होने	être
होने	etre
जैसे	comme
जैसे	genre
जैसे	aiment
जैसे	aime
जैसे	aimez
करता	tyrans
उनके	eux
उनके	leurs
उनके	leur
बहुत	tres
बहुत	très
बहुत	trés
पहले	premier
पहले	première
पहले	premiers
पहले	premières
पहले	avant
पहले	auparavant
अपनी	propre
अपनी	propres
अपनी	posséder
अपनी	charnel
दो	deux
जब	lorsque
जब	quand
उन्होंने	elles
उन्होंने	eux
उन्होंने	egyptiens
उन्होंने	ils
उन्होंने	égyptiens
जन्म	née
जन्म	naître
जन्म	naissance
जन्म	né
लेकिन	mais
ये	cet
ये	ce
ये	ceci
ये	cette
ये	ces
ये	cela
कम	faible
कम	moins
कम	bas
कम	faibles
कम	basses
कम	basse
कहा	disait
कहा	dit
लोग	gens
लोग	personnes
आदि	plus
आदि	davantage
आदि	dja
उसके	son
उसके	ses
उसके	sa
प्राचीन	primitives
प्राचीन	antiquité
प्राचीन	primitif
प्राचीन	ancienne
प्राचीन	ancien
प्राचीन	anciens
प्राचीन	primitifs
देखें	afficher
देखें	affichage
देखें	visualiser
देखें	regardez
देखें	regarde
देखें	voyez
देखें	regarder
देखें	vois
देखें	vue
देखें	montre
देखें	consultez
देखें	voir
देखें	montres
उत्तर	répondez
उत्तर	nord
उत्तर	réponses
उत्तर	répondre
उत्तर	réponse
उत्तर	reponse
भाषा	langues
भाषा	langage
भाषा	langue
लिये	pour
सभी	tous
सभी	tout
सभी	toutes
सभी	toute
प्राप्त	reçois
प्राप्त	reçoivent
प्राप्त	obtenues
प्राप्त	reçues
प्राप्त	reçue
प्राप्त	recevoir
प्राप्त	reçus
प्राप्त	obtenus
प्राप्त	obtenue
प्राप्त	obtenu
प्राप्त	reçu
प्राप्त	recevez
इसका	son
इसका	ses
इसका	sa
प्रयोग	expérimentation
प्रयोग	expérience
प्रयोग	expérimentations
प्रयोग	utilisation
प्रयोग	expérimenter
प्रयोग	expériences
शामिल	incluse
शामिल	impliqué
शामिल	incluent
शामिल	inclus
शामिल	comprend
शामिल	incluses
शामिल	impliqués
शामिल	inclut
शामिल	inclure
शामिल	comprennent
शामिल	compris
शामिल	impliquée
उन्हें	eux
उस	que
उस	cela
स्थान	endroits
स्थान	localité
स्थान	localisation
स्थान	endroit
स्थान	emplacement
स्थान	lieu
स्थान	localisations
स्थान	lieux
प्रमुख	principaux
प्रमुख	principal
प्रमुख	majeur
प्रमुख	commandant
प्रमुख	principales
प्रमुख	principale
प्रमुख	chef
बीच	centrer
बीच	plage
बीच	plages
बीच	centre
गए	partis
गए	parti
गए	allé
मुख्य	principaux
मुख्य	principal
मुख्य	principales
मुख्य	principale
मुख्य	chef
थी	fut
थी	était
थी	etait
उसे	lui
कार्य	emploi
कार्य	tâches
कार्य	emplois
कार्य	travailler
कार्य	tâche
कार्य	travaux
कार्य	travail
उनकी	leurs
उनकी	leur
नगर	villes
नगर	ville
उपयोग	utilisations
उपयोग	utilise
उपयोग	utilisez
उपयोग	usages
उपयोग	utilisation
उपयोग	utiliser
लोगों	gens
लोगों	personnes
आधार	prémisses
आधार	fondement
आधार	prémisse
आधार	base
काम	travaux
काम	travailler
काम	travail
जीवन	vie
विश्व	mondial
विश्व	monde
विश्व	mondiale
भाग	pièces
भाग	parties
भाग	partie
निर्माण	fabrication
निर्माण	création
निर्माण	bâtir
निर्माण	construire
गई	allé
राष्ट्रीय	nationaux
राष्ट्रीय	nationales
राष्ट्रीय	nationale
जानकारी	informations
जानकारी	infos
जानकारी	renseignements
पोर्टल	portail
शहर	villes
शहर	ville
बार	fois
बार	barreau
बार	barre
बार	barres
लगभग	environ
लगभग	presque
लगभग	quasiment
लगभग	approximativement
लगभग	pratiquement
लगभग	quasi
फिल्म	film
यहाँ	voilà
यहाँ	ici
यहाँ	voici
प्रसिद्ध	célèbre
प्रसिद्ध	renommée
प्रसिद्ध	renommé
प्रसिद्ध	renommés
प्रसिद्ध	célèbres
प्रसिद्ध	fameux
विकास	developpement
विकास	croissance
विकास	développement
केवल	seule
केवल	seulement
केवल	uniquement
केवल	seul
देश	pays
वेबसाइट	site
अलग	séparer
अलग	différents
अलग	séparée
अलग	séparées
अलग	différente
अलग	séparés
अलग	différentes
अलग	séparé
अलग	distinct
अलग	différent
विशेष	exclusif
विशेष	spéciales
विशेष	exclusives
विशेष	spéciale
विशेष	exclusivité
विशेष	spécial
विशेष	spéciaux
विशेष	exclusifs
इसकी	son
इसकी	ses
इसकी	sa
कभी	jamais
दी	donné
दी	donnés
पृष्ठ	pages
माना	prétendument
माना	considéré
माना	considérées
माना	considérés
माना	considérée
माना	supposé
शब्द	mot
शब्द	mots
फिर	puis
फिर	alors
फिर	ensuite
तीन	trois
पुरस्कार	récompenses
पुरस्कार	récompenser
पुरस्कार	récompense
पुरस्कार	trophées
पुरस्कार	distinctions
लेख	thèses
लेख	thèse
अब	maintenant
अब	désormais
दौरान	lors
दौरान	pendant
दौरान	durant
अमेरिका	amérique
अमेरिका	amerique
मंदिर	tempe
अलावा	ajout
वार्ता	pourparlers
दक्षिण	méridional
दक्षिण	sud
स्थल	lieu
विभिन्न	diverses
