और	и
से	из
से	от
है	хай
एक	одна
एक	один
एक	одно
श्रेणी	серии
श्रेणी	категорий
श्रेणी	серия
श्रेणी	категории
श्रेणी	категория
भी	слишком
भी	также
भी	даже
भी	тоже
यह	это
यह	этот
यह	эта
किया	сделано
किया	сделал
किया	сделала
इस	это
इस	этот
इस	эта
हैं	являются
कि	это
भारत	индию
भारत	индии
भारत	индия
जो	джо
जो	кто
जो	воз
ही	хи
रूप	формуляр
रूप	форма
रूप	бланк
रूप	появление
रूप	форму
रूप	форме
रूप	внешность
कर	налоговая
कर	налоговых
कर	налог
कर	налоги
नहीं	не
नहीं	неа
उत्तराखण्ड	уттаракханд
गया	пошла
साथ	вместе
साथ	с
पूर्व	ист
पूर्व	востоке
पूर्व	бывшая
पूर्व	бывшей
पूर्व	восток
पूर्व	восточная
पूर्व	прежний
पूर्व	бывшие
पूर्व	бывший
पूर्व	восточный
होता	бы
बाद	позже
बाद	позднее
बाद	после
तक	до
अपने	ваша
अपने	собственный
अपने	собственное
अपने	твой
अपने	твоя
अपने	собственная
अपने	собственные
अपने	ваше
अपने	ваш
अपने	собственных
अपने	ваши
जिले	округов
जिले	районы
जिले	округа
जिले	районах
था	было
था	имел
था	был
था	была
राज्य	штатов
राज्य	штаты
राज्य	государство
राज्य	государства
राज्य	штат
राज्य	состояние
बाहरी	внешняя
बाहरी	внешних
बाहरी	внешние
बाहरी	внешнее
बाहरी	открытый
बाहरी	внешний
कुछ	некоторые
कुछ	некоторых
ईसा	иисус
गाँव	деревня
गाँव	деревне
गाँव	село
सरकार	правительство
कड़ियाँ	цепочки
कड़ियाँ	цепи
कड़ियाँ	связи
कड़ियाँ	ссылки
प्रदेश	регион
प्रदेश	область
दिया	дала
दिया	отдал
दिया	дал
दिया	учитывая
अन्य	другие
अन्य	другой
अन्य	другая
अन्य	другое
अन्य	прочие
वर्ष	годы
वर्ष	год
वर्ष	лет
समय	тайм
समय	сроки
समय	время
समय	времени
नाम	название
नाम	имя
वे	они
प्रकार	типы
प्रकार	виды
प्रकार	тип
प्रकार	типов
प्रकार	добрая
भारतीय	индийский
भारतीय	индеец
भारतीय	индии
भारतीय	индийская
तहसील	техсил
क्षेत्र	площадь
क्षेत्र	область
क्षेत्र	регион
क्षेत्र	районы
क्षेत्र	области
क्षेत्र	район
अधिक	больше
अधिक	более
अधिक	еще
कई	многие
कई	много
कई	многим
कई	несколько
कई	многих
स्थित	расположенный
स्थित	расположенных
मण्डल	зоны
मण्डल	зона
आधिकारिक	официальных
आधिकारिक	официальная
आधिकारिक	официальные
आधिकारिक	официальный
आधिकारिक	официальное
कारण	причины
कारण	причин
कारण	причина
कारण	причиной
जैसे	как
जैसे	нравится
करता	хулиганов
करता	делает
उनके	их
सबसे	большинство
सबसे	наиболее
हिन्दी	хинди
बहुत	очень
पहले	сначала
पहले	первая
पहले	ранее
पहले	первый
पहले	прежде
पहले	перед
पहले	первое
पहले	до
अपनी	собственный
अपनी	собственное
अपनी	собственная
अपनी	собственные
अपनी	собственных
दो	двое
दो	две
दो	два
जिला	район
जिला	округ
जब	когда
उन्होंने	они
उन्होंने	египтяне
जन्म	родился
जन्म	родилась
जन्म	рождения
जन्म	рождение
जन्म	роды
कोई	любой
कोई	любые
कोई	кой
कोई	любая
कोई	любую
कोई	любое
कोई	кои
इन	инн
लेकिन	но
ये	это
ये	этот
ये	эта
ये	эти
कम	низкое
कम	низко
कम	низкая
कम	низким
कम	меньше
कम	низкий
कम	менее
कहा	сказал
कहा	саид
लोग	народ
लोग	люди
लोग	людей
आदि	больше
आदि	ади
आदि	более
आदि	еще
उसके	её
उसके	его
उसके	ей
उसके	ее
प्राचीन	древние
प्राचीन	претор
प्राचीन	древний
प्राचीन	древняя
प्राचीन	примитивные
प्राचीन	древних
देखें	см
देखें	просмотр
देखें	просмотреть
देखें	часы
देखें	посмотреть
देखें	смотрите
देखें	смотреть
देखें	вид
देखें	видишь
उत्तर	ответить
उत्तर	север
उत्तर	ответы
उत्तर	северный
उत्तर	отвечайте
उत्तर	северной
उत्तर	северная
उत्तर	норт
उत्तर	ответ
भाषा	языках
भाषा	языки
भाषा	язык
लिये	для
लिये	за
सभी	все
सभी	всех
सभी	всем
प्राप्त	получены
प्राप्त	полученные
प्राप्त	полученный
प्राप्त	получен
प्राप्त	полученная
प्राप्त	получено
प्राप्त	получать
प्रयोग	опыты
प्रयोग	использование
प्रयोग	употребление
प्रयोग	использования
प्रयोग	эксперименты
प्रयोग	эксперимент
शामिल	включенные
शामिल	включить
शामिल	включает
शामिल	включать
शामिल	вовлечены
शामिल	включено
उन्हें	их
उस	это
स्थान	местами
स्थान	местонахождение
स्थान	расположение
स्थान	место
स्थान	местоположение
स्थान	местах
स्थान	местоположения
स्थान	места
प्रमुख	основные
प्रमुख	вождь
प्रमुख	основных
प्रमुख	шеф
प्रमुख	основная
प्रमुख	майор
प्रमुख	начальник
प्रमुख	главная
हुई	хи
बीच	бич
बीच	пляже
बीच	пляж
बीच	центр
गए	ушел
गए	ушёл
गए	ушла
गए	ушли
गए	пошла
मुख्य	вождь
मुख्य	основная
मुख्य	шеф
मुख्य	основных
मुख्य	начальник
मुख्य	основные
मुख्य	главная
थी	было
थी	была
थी	был
बिहार	бихар
उसे	ему
उसे	её
उसे	ее
उसे	его
उसे	ей
कार्य	работы
कार्य	вакансии
कार्य	работа
कार्य	задача
कार्य	задание
कार्य	труд
कार्य	задачи
उनकी	их
आंध्र	андхра
नगर	город
नगर	городок
नगर	города
नगर	нагар
उपयोग	использовать
उपयोग	использование
उपयोग	употребление
उपयोग	использования
उपयोग	используйте
उपयोग	использует
लोगों	народ
लोगों	люди
लोगों	людей
आधार	основа
आधार	база
आधार	основание
काम	работы
काम	труд
काम	работа
जीवन	жизни
जीवन	жизнь
विश्व	мир
भाग	частично
भाग	частей
भाग	секции
भाग	разделы
भाग	запчасти
भाग	части
भाग	часть
निर्माण	конструкция
निर्माण	сотворение
निर्माण	строить
निर्माण	строительство
निर्माण	производство
निर्माण	построить
निर्माण	создания
निर्माण	создание
निर्माण	изготовление
गई	пошла
दोनों	оба
दोनों	обе
राष्ट्रीय	национальная
राष्ट्रीय	национальный
राष्ट्रीय	национальные
राष्ट्रीय	национальных
जानकारी	инфо
जानकारी	информация
पोर्टल	портал
शहर	город
शहर	города
शहर	городов
बार	бары
बार	времена
बार	бар
बार	таймс
वाली	вали
लगभग	примерно
लगभग	практически
लगभग	почти
लगभग	приблизительно
फिल्म	фильм
फिल्म	кино
यहाँ	вот
यहाँ	здесь
प्रसिद्ध	знаменитая
प्रसिद्ध	известная
प्रसिद्ध	известный
प्रसिद्ध	знаменитость
प्रसिद्ध	знаменитый
विकास	рост
विकास	разработка
विकास	роста
विकास	развитие
केवल	только
देश	стран
देश	страны
देश	нация
