और	ve
है	mrb
एक	bir
एक	biri
श्रेणी	kategorisi
श्रेणी	kategori
श्रेणी	seri
श्रेणी	kategorileri
श्रेणी	dizi
श्रेणी	serisi
भी	ayrıca
भी	ayrica
भी	hatta
भी	bile
यह	bunu
यह	bu
किया	yapıldı
किया	bitti
इस	bunu
इस	bu
कि	bunu
कि	bu
भारत	hindistan
भारत	hint
जो	kim
जो	kimler
रूप	biçim
रूप	görünüş
रूप	görünüm
रूप	görünüşü
रूप	görünümü
रूप	formu
कर	vergisi
कर	vergiler
कर	vergiden
कर	vergileri
कर	vergi
नहीं	yok
नहीं	olmaz
नहीं	değil
साथ	beraber
साथ	birlikte
साथ	beraberce
साथ	ile
पूर्व	doğu
पूर्व	doğuya
पूर्व	doğuda
बाद	sonra
बाद	sonrasında
बाद	sonrası
बाद	ardından
बाद	sonradan
अपने	senin
अपने	kendi
अपने	sizin
जिले	ilçeleri
जिले	bölgeler
था	vardı
राज्य	devlet
राज्य	eyaletler
राज्य	devletler
राज्य	eyalet
बाहरी	harici
बाहरी	dış
कुछ	birşey
कुछ	bazılarını
कुछ	kimisi
कुछ	bazı
कुछ	bazıları
कुछ	birşeyler
ईसा	isa
गाँव	köyü
गाँव	köy
सरकार	sürüngenler
सरकार	devlet
सरकार	hükümet
कड़ियाँ	bağlantıları
कड़ियाँ	zincirleri
कड़ियाँ	zincir
कड़ियाँ	bağlantılar
कड़ियाँ	zincirler
कड़ियाँ	bağlar
प्रदेश	bölge
प्रदेश	bölgede
प्रदेश	bölgesi
दिया	verdi
दिया	vermiş
दिया	verilen
दिया	verilmiş
दिया	verildi
अन्य	diger
अन्य	diğeri
अन्य	diğerlerini
अन्य	diğer
अन्य	diğerleri
अन्य	öteki
अन्य	başkaları
वर्ष	yılı
वर्ष	seneler
वर्ष	yıllardır
वर्ष	sene
वर्ष	yıl
वर्ष	yıllar
वर्ष	yıllarca
वर्ष	yılların
समय	zamanlama
समय	zaman
समय	süre
समय	zamanlaması
समय	vakit
नाम	adın
नाम	isim
नाम	adı
नाम	adınız
नाम	ad
वे	onlar
प्रकार	tipi
प्रकार	türü
प्रकार	çeşitleri
प्रकार	nazik
प्रकार	tür
प्रकार	türleri
प्रकार	tipler
प्रकार	kibar
प्रकार	türler
प्रकार	tip
भारतीय	kızılderili
भारतीय	hint
भारतीय	hintli
भारतीय	yerli
किसी	biri
किसी	birileri
किसी	birisi
