から	از
日本	ژاپن
日本	نیپون
この	این
まで	تا
また	همچنین
もの	اوضاع
もの	چیزها
もの	چیز
大学	qom
大学	دانشگاه
大学	کالج
大学	دانشگاههای
大学	دانشگاهی
大学	دانشگاهها
大学	دانشکده
テレビ	تلویزیون
テレビ	تلویزیونی
放送	مخابره
放送	پخش
東京	توکیو
削除	حذف
現在	جاری
現在	حاضر
現在	هدیه
現在	جریان
学校	مدرسه
学校	مکتب
学校	مدارس
これ	این
世界	جهان
世界	دنیا
世界	جهانی
アメリカ	آمریکای
アメリカ	آمریکا
アメリカ	امریکا
でも	ولی
でも	اما
について	دربارۀ
について	درباره
時代	دوران
時代	عصری
映画	فیلمها
映画	سینمای
映画	سینما
映画	فیلمی
映画	فیلمهایی
映画	سینمایی
映画	فیلمش
映画	فیلم
監督	سرپرستی
監督	کارگردان
監督	نظارت
出演	ظاهر
出演	بیندازید
出演	گچ
出演	ظواهر
出演	ظاهرش
明治	میجی
時間	زمان
時間	ساعات
時間	تایم
時間	ساعتی
時間	ساعتهای
時間	ساعتها
時間	ساعت
開始	اغاز
開始	شروع
開始	آغاز
シリーズ	سری
のみ	تنها
記事	داستانی
記事	قصه
記事	مقالۀ
記事	مطلب
記事	مقاله
記事	داستان
記事	داستانها
記事	مقالات
活動	فعالیتها
選手	بازیکنان
選手	بازیکن
選手	ورزشکاران
しかし	ولی
しかし	اما
研究	تحقیقات
研究	تحقیقاتی
研究	تحقیق
研究	مطالعات
研究	پژوهش
会話	مکالمه
会話	گفتگو
会話	مکالمات
会話	گفتگوی
大阪	اوساکا
大会	همایش
大会	کنوانسیون
チーム	تیمهای
チーム	تیمی
チーム	تیم
存在	وجود
作詞	شعرای
作詞	شعر
所属	وابستگی
国際	اینترنشنال
国際	جهانی
国際	بینالمللی
一部	بعضیها
一部	برخی
結果	نتیجۀ
結果	نتایجی
結果	نتایج
結果	نتیجه
結果	حاصل
アルバム	آلبوم
アルバム	آلبومهای
バス	اتوبوس
バス	بیس
バス	باس
ゲーム	بازی
ゲーム	بازیهای
ゲーム	گیم
ゲーム	بازیها
問題	مسائل
問題	مشکل
問題	مشکلات
問題	مسائلی
問題	مشکلی
問題	مسئله
リーグ	لیگ
リーグ	فرسنگ
利用	بازخرید
利用	رهایی
開発	توسعه
事業	کسب
事業	تجارت
決定	تصمیم
決定	فیصله
決定	تصمیمات
音楽	موسیقی
音楽	موزیک
転送	انتقال
転送	جلو
情報	معلومات
情報	اطلاعات
公式	فرمول
公式	رسمی
参加	پیوستن
参加	مشارکت
参加	بپیوندید
地域	استان
地域	منطقه
地域	ناحیه
地域	منطقۀ
変更	تغییر
変更	تغییرات
編曲	توافق
編曲	ترتیب
サイト	یونسکو
サイト	سایت
記録	ضبط
関係	روابط
関係	نسبتی
関係	رابطه
関係	ارتباط
クラブ	چماق
クラブ	باشگاه
クラブ	خاج
クラブ	کلاب
クラブ	کلوپ
クラブ	کلوب
中央	سنترال
中央	مرکزی
中央	مرکز
中央	چوئو
中央	مرکزش
中央	سنتر
同じ	همون
設立	تمکین
設立	موسسه
設立	تاسیس
設立	تأسیس
考え	تفکر
考え	افکار
考え	افکارش
考え	فکر
教育	تحصیلات
教育	آموزش
プロ	حرفهای
プロ	پرو
設置	نصب
発表	حدیث
発表	اعلان
発表	اطلاعیه
小学校	ابتدایی
小学校	مقدماتی
編集	تدوین
編集	تغییر
編集	ویرایش
シーズン	فصلها
シーズン	فصل
シーズン	فصول
ファイル	پرونده
フランス	فرانس
フランス	فرانسه
都市	سیتی
都市	شهر
都市	شهری
都市	شهرها
出版	ناشر
出版	چاپخانه
出版	انتشار
出版	نشر
会社	استوار
会社	گروهان
会社	شرکتها
会社	شرکت
会社	شرکتهای
会社	استواری
会社	کمپانی
会社	احزاب
世紀	قرنه
世紀	سده
世紀	قرنها
世紀	قرن
ノート	نکته
ノート	نوت
ノート	یادداشت
ノート	یادداشتها
ノート	دفترچه
ノート	یادداشتهای
京都	کیوتو
社会	اجتماع
社会	جامعه
社会	جوامع
社会	انجمن
ドイツ	آلمان
シングル	تک
シングル	تکی
センター	مرکزش
センター	مرکز
センター	سنتر
終了	پایان
終了	استعفا
終了	خروج
終了	انصراف
終了	ترک
中心	مرکزش
中心	مرکز
中心	سنتر
内容	رضایت
内容	محتویات
内容	خرسند
内容	محتوا
内容	محتوای
文化	فرهنگ
文化	فرهنگی
文化	تمدن
イギリス	انگلستان
イギリス	انگلیس
ドラマ	درام
中国	چین
撮影	عکسبرداری
撮影	فیلمبرداری
撮影	عکاسی
撮影	بازیگران
選手権	قهرمانی
野球	بیسبال
位置	موقعیت
位置	موضع
以下	زیر
マン	مان
人物	شخص
公開	انتشار
公開	علنی
公開	عمومی
公開	همگانی
北海道	هوکایدو
最終	واپسین
最終	نهائی
最終	نهایی
最終	لست
最終	فاینال
最終	آخری
最終	آخرین
最終	اخرین
最終	پایانی
アニメ	انیمه
確認	تأیید
確認	تصدیق
確認	تایید
確認	تاییدیه
一般	جنرال
一般	عمومی
一般	ژنرال
歴史	تاریخ
歴史	تاریخچه
選挙	انتخابات
選挙	انتخاباتی
計画	نقشه
計画	پلان
計画	تدبیر
経済	اقتصاد
ページ	صفحۀ
ページ	صفحه
ページ	صفحات
教授	پرفسور
教授	پروفسور
ラジオ	رادیویی
ラジオ	رادیو
ラジオ	بیسیم
劇場	تئاتر
劇場	سینماها
グループ	گروه
グループ	گروهبندی
グループ	گروپ
グループ	گروهها
英語	انگلیسی
女性	نسوان
女性	زنها
女性	مؤنث
女性	زنانی
女性	زنی
女性	ماده
女性	مونث
女性	زن
女性	زنان
地区	بخش
地区	منطقه
地区	ناحیه
獲得	کسب
得点	نمره
得点	امتیاز
コメント	توضیحات
コメント	نظر
コメント	نظرات
コメント	نظرها
コメント	توضیح
漫画	کمیک
漫画	مانگا
他の	دیگر
他の	دیگران
自身	خودش
就任	پندار
就任	گمان
就任	فرض
販売	فروش
販売	فروختن
攻撃	حملات
攻撃	حمله
サッカー	فوتبال
リー	لی
議員	سناتور
協会	انجمن
路線	مسیرها
路線	مسیرهای
自分	خودم
戦争	جنگها
戦争	جنگی
戦争	جنگ
製作	تولید
部分	جزء
部分	پارت
部分	قسمت
番号	عدد
番号	شمارۀ
番号	شماره
最初	نخستین
最初	اول
最初	ابتدا
受賞	جایزه
受賞	جوایز
期間	دورهای
期間	دوام
期間	دورۀ
期間	دوره
期間	پریود
広島	هیروشیما
場所	جای
場所	مکانی
場所	محل
場所	مکان
場所	مکانهایی
場所	جایی
場所	مکانها
場所	مساجد
技術	تکنولوژی
技術	فناوری
リンク	لینک
リンク	پیوند
リンク	پیوندها
リンク	پیوندهای
合併	ادغام
合併	تلفیق
道路	جاده
特定	مشخص
特定	خاص
朝日	آساهی
意味	معنا
意味	معنی
意味	معنای
意味	معانی
システム	سیستمها
システム	سیستم
システム	سامانه
モデル	مدل
モデル	مدلهای
対応	مکاتبه
対応	مکاتبات
列車	متقاضیان
列車	قطارها
列車	قطاری
列車	قطار
建設	ساخت
建設	سازندگی
建設	ساختمان
とき	وقتی
とき	چون
最後	واپسین
最後	لست
最後	آخری
最後	آخرین
最後	اخرین
科学	علوم
科学	علم
科学	علمی
理由	علت
理由	دلیل
理由	دلیلی
理由	دلایل
一つ	یکی
一つ	یگانه
一つ	یک
大正	تایشو
最高	بهترین
最高	بهتر
ブロック	بلوکهای
ブロック	بلوک
ブロック	بلاک
車両	خودرو
車両	ماشین
自動車	خودرو
自動車	خودروی
自動車	ماشین
自動車	اتومبیل
人口	جمعیتی
人口	جمعیت
特に	مخصوصا
特に	بخصوص
営業	کسب
営業	تجارت
発生	رخداد
新聞	روزنامه
連続	پیوسته
連続	پیوستگی
連続	مستمر
連続	مداوم
連続	پاینده
政府	دولت
政府	دولتی
政府	حکومت
構成	ساختار
構成	پیکربندی
構成	سازه
構成	انشاء
構成	ترکیب
最大	حداکثر
最大	بیشینه
キャラクター	نویسه
キャラクター	شخصیت
小説	رمان
それぞれ	هرکدوم
それぞれ	هریک
機関	نهادهای
機関	موسسه
機関	اندامها
機関	مؤسسه
機関	ارگان
機関	موسسات
機関	مؤسسات
機関	اندام
参照	ارجاع
参照	مراجع
参照	مرجع
メンバー	اعضا
メンバー	اعضای
メンバー	عضوی
メンバー	عضو
発行	مسئله
画像	نگاره
画像	عکسه
画像	عکس
画像	تصویر
画像	تصاویر
状態	شرایط
状態	ایالت
状態	شرط
状態	حالت
状態	دولت
状態	وضعیت
状態	استیت
名称	نامها
名称	نامهای
名称	نام
ダム	دم
ダム	سد
ホーム	آغازه
ホーム	وطن
ホーム	خونه
ホーム	خانه
運行	عمل
運行	عملیات
投稿	پستها
投稿	پست
投稿	پستی
名前	نامها
名前	نامهای
名前	نام
福岡	فوکوئوکا
施設	موسسه
施設	مؤسسه
施設	امکانات
施設	تأسیسات
施設	تاسیسات
調査	تحقیقات
調査	نظرسنجی
調査	سروی
調査	تحقیق
イタリア	ایتالیا
ロシア	روسی
ロシア	روسیه
ロシア	روس
独立	استقلالی
独立	مستقل
独立	استقلال
物語	داستان
物語	داستانی
物語	قصه
物語	روایت
神社	معبد
神社	عبادتگاه
神社	زیارتگاه
サン	سن
サン	سان
名古屋	ناگویا
通常	معمولاً
通常	معمولا
企業	انترپرایز
企業	سازمانی
航空	هوا
航空	هوایی
航空	هواپیمایی
航空	هوانوردی
航空	ایر
スーパー	سوپر
帝国	امپراتوری
帝国	امپراطوری
帝国	امپایر
トン	تن
影響	تاثیر
影響	نفوذ
影響	تأثیر
勝利	پیروز
勝利	پیروزی
勝利	برد
勝利	برنده
勝利	فتح
デザイン	دیزاین
デザイン	طرح
デザイン	طراحی
デザイン	طرحهای
デザイン	طراحیهای
人間	بشر
人間	انسانی
人間	انسان
千葉	چیبا
アン	ان
アン	آن
アン	انگ
交通	انتقال
交通	ترافیکی
交通	ترابری
交通	ترافیک
組織	سازماندهی
組織	سازمان
構造	ساختار
構造	سازه
戦い	بتل
戦い	کارزار
戦い	نبرد
戦い	رزم
ここ	اینجا
以前	پیش
サービス	سرویس
サービス	خدمت
サービス	خدمات
統合	یکپارچگی
統合	ادغام
統合	یکپارچه
統合	مجتمع
テーマ	چهرۀ
テーマ	چهره
テーマ	تم
面積	منطقه
面積	مساحت
面積	ناحیه
エンジン	موتور
ビル	بیل
日本語	ژاپنی
契約	قرارداده
契約	قراردادها
契約	قراردادهای
契約	قرارداد
設定	برپایی
設定	ترجیحات
設定	تنظیمات
設定	پیکربندی
含む	حاوی
含む	شامل
専門	تخصص
機能	ویژگیهای
機能	کارآمدی
機能	کارکرد
機能	ویژگی
機能	ویژگیها
機能	تابع
身長	ارتفاعی
身長	ارتفاع
身長	بلندی
身長	قد
所在地	مکانهای
所在地	محل
所在地	مکان
所在地	محلهای
所在地	مکانها
完成	تکمیل
表記	نماد
表記	نشانگذاری
運転	رانندگی
写真	فتو
写真	عکسه
写真	عکس
写真	عکاسی
写真	عکسبرداری
関連	مربوطه
関連	مرتبط
関連	مربوط
書店	کتابفروشی
高い	تل
高い	رفیع
高い	گرونه
高い	گران
高い	قد
高い	بلند
高い	والا
生産	تولید
横浜	یوکوهاما
上の	فراز
宇宙	کائنات
宇宙	کیهان
宇宙	گیتی
管理	مدیریت
バー	میله
バー	بار
ジョン	جان
ジョン	یوحنا
部隊	قافله
公園	پارک
スポーツ	ورزش
スポーツ	ورزشی
スポーツ	اسپرت
スポーツ	اسپورت
スポーツ	ورزشکار
脚本	فیلمنامه
脚本	دستنوشته
目的	مقصود
目的	هدفی
目的	عینی
生活	زندگی
生活	زندگى
カード	کارت
カード	ورق
カード	کارتهای
カード	کارتها
基本	اصول
基本	مبانی
基本	بیسیک
基本	پکیج
基本	پایه
女優	بازیگرها
女優	بازیگر
不明	ناشناخته
タイトル	عناوین
政治	سیاست
電気	الکتریسیته
電気	الکتریکی
電気	الکتریک
電気	برق
電気	برقی
警察	پلیس
警察	پولیس
作成	آفرینش
作成	ایجاد
作成	خلقت
ガン	تفنگ
ガン	اسلحه
ガン	تفنگی
スター	استار
スター	ستاره
経営	مدیریت
自由	لیبرتی
自由	آزادیهای
自由	آزاد
自由	ازادی
自由	آزادی
自由	آزاده
自由	رایگان
過去	گذشته
陸軍	سپاه
陸軍	ارتشی
陸軍	لشکر
陸軍	لشگر
陸軍	ارتش
運営	عمل
運営	عملیات
愛知	آیچی
表示	نما
表示	نمای
社長	جمهور
団体	سازماندهی
団体	سازمان
団体	سازمانهای
団体	سازمانها
工業	صنعتی
通り	استریت
通り	خیابان
通り	خیابانی
通り	خیابون
外部	خارجی
通信	ارتباطات
通信	مکاتبه
通信	ارتباط
通信	ارتباطی
通信	آیات
通信	مکاتبات
通信	مخابرات
俳優	بازیگر
俳優	بازیگران
俳優	هنرپیشه
スペシャル	خاصه
スペシャル	استثنایی
スペシャル	ویژه
スペシャル	مخصوص
スペシャル	خاص
少年	پسر
病院	بیمارستان
病院	بیمارستانها
病院	بیمارستانی
結婚	ازدواج
個人	فرد
個人	شخصی
区間	فاصله
銀行	بانکداری
銀行	بانک
銀行	بنک
研究所	مؤسسه
研究所	موسسه
研究所	انستیتو
主に	عمدتاً
主に	اساسا
彼女	او
彼女	اون
ニュース	نیوز
ニュース	خبر
ニュース	خبری
ニュース	اخبار
ニュース	اخباری
その他	دیگر
その他	دیگران
その他	غیره
ソフト	نرمی
ソフト	سافت
ソフト	نرمه
ソフト	نرم
ソフト	ملایم
文学	ادبیات
能力	قابلیت
能力	توانایی
なし	هیچکدام
なし	بى
なし	بدون
江戸	ادو
学者	دانشمندان
学者	علمای
学者	پژوهشگر
学者	ادیب
学者	محققان
学者	عالمان
国内	اهلی
空港	فرودگاههای
空港	فرودگاهها
空港	فرودگاه
ヨーク	یورک
高速	تند
高速	روزه
高速	سریع
言語	زبان
言語	زبانها
言語	زبانهای
設計	طراحی
設計	دیزاین
設計	طرح
韓国	کره
リリース	نشر
ベスト	بهترین
ベスト	جلیقه
ベスト	بهتر
現代	معاصر
会議	دیدار
会議	جلسات
