から	จาก
日本	นิปปอน
日本	ญี่ปุ่น
この	ดิส
この	นี้
この	นี่
まで	จนกว่า
まで	จน
まで	จนถึง
また	ยัง
もの	สิ่งของ
大学	มหาวิทยาลัย
大学	วิทยาลัย
テレビ	โทรทัศน์
テレビ	ทีวี
東京	โตเกียว
より	กว่า
削除	ลบ
現在	ปัจจุบัน
学校	โรงเรียน
これ	ดิส
これ	นี้
これ	นี่
世界	เวิลด์
世界	โลก
アメリカ	อเมริกา
でも	แต่
について	เรื่อง
について	ประมาณ
作品	ทำงาน
時代	ยุค
時代	ศักราช
映画	ฟิล์ม
映画	ภาพยนตร์
映画	ภาพยนต์
映画	หนัง
使用	ใช้
出演	ลักษณะ
出演	โยน
出演	เฝือก
時間	เวลา
時間	ชั่วโมง
開始	เริ่ม
シリーズ	ซีรี่ส์
シリーズ	อนุกรม
のみ	เท่านั้น
のみ	เฉพาะ
記事	เรื่อง
記事	ข่าว
記事	บทความ
活動	กิจกรรม
選手	นักกีฬา
しかし	แต่
研究	ศึกษา
研究	ค้นคว้า
研究	วิจัย
会話	สนทนา
チーム	ทีม
国際	นานาชาติ
国際	สากล
一部	บาง
一部	บ้าง
結果	ผลลัพธ์
結果	ผล
アルバム	อัลบั้ม
バス	แบส
バス	แบต
バス	แบ
バス	เบส
バス	รถเมล์
ゲーム	เกม
ゲーム	เกมส์
問題	ปัญหา
リーグ	สันนิบาต
リーグ	ลีก
利用	แลก
開発	พัฒนา
開発	พัฒนาการ
事業	กิจการ
事業	ธุรกิจ
音楽	เพลง
音楽	ดนตรี
音楽	มิวสิค
転送	โอน
情報	ข้อมูล
公式	ทางการ
公式	นมผง
公式	สูตร
地域	แคว้น
地域	ภูมิภาค
変更	เปลี่ยน
変更	เปลี่ยนแปลง
変更	แก้ไข
サイト	ไซต์
記録	บันทึก
記録	สถิติ
関係	สัมพันธ์
クラブ	คลับ
クラブ	สโมสร
クラブ	จิก
クラブ	ดอกจิก
クラブ	ชมรม
中央	กลาง
中央	ศูนย์
中央	เซ็นทรัล
中央	ศูนย์กลาง
中央	กึ่งกลาง
同じ	เดียวกัน
設立	สถาปนา
設立	ตำหนัก
考え	คิด
プロ	โปร
発表	ประกาศ
小学校	มูลฐาน
小学校	ประถม
編集	แก้ไข
シーズン	ฤดูกาล
ファイル	แฟ้ม
フランス	ฝรั่งเศส
都市	นคร
都市	ซิตี้
都市	เมือง
会社	องค์กร
会社	มั่นคง
会社	บริษัท
世紀	ศตวรรษ
ノート	บันทึก
ノート	หมายเหตุ
ノート	โน้ต
社会	สังคม
ドイツ	เยอรมนี
シングル	โสด
センター	กึ่งกลาง
センター	กลาง
センター	ศูนย์
センター	ศูนย์กลาง
終了	เสร็จ
終了	จบ
終了	ยุติ
終了	เลิก
終了	ทางออก
中心	กึ่งกลาง
中心	กลาง
中心	ศูนย์
中心	ศูนย์กลาง
内容	เนื้อหา
文化	วัฒนธรรม
イギリス	อังกฤษ
ドラマ	ดราม่า
ドラマ	ละคร
中国	จีน
撮影	ภาพถ่าย
野球	เบสบอล
指定	ระบุ
位置	จุดยืน
位置	ตำแหน่ง
人物	บุคคล
公開	สาธารณชน
公開	สาธารณะ
北海道	ฮอกไกโด
最終	สุดท้าย
最終	ล่าสุด
確認	ยืนยัน
一般	ทั่วไป
一般	แม่ทัพ
歴史	ประวัติศาสตร์
歴史	ประวัติการ
歴史	ประวัติ
計画	แผน
計画	แพ็คเกจ
計画	วางแผน
経済	เศรษฐกิจ
ページ	หน้าที่
ページ	เพจ
ページ	หน้า
教授	ศาสตราจารย์
ラジオ	วิทยุ
グループ	กลุ่ม
英語	อังกฤษ
女性	สตรี
女性	หญิง
地区	เขต
地区	อำเภอ
獲得	ขวนขวาย
得点	แต้ม
得点	คะแนน
得点	สกอร์
コメント	คอมเมนท์
コメント	หมายเหตุ
漫画	การ์ตูน
他の	อื่นๆ
就任	สมมุติฐาน
就任	สันนิษฐาน
就任	สมมติฐาน
販売	ขาย
攻撃	โจมตี
サッカー	ฟุตบอล
リー	ลี
協会	สมาคม
フジ	ฟูจิ
戦争	สงคราม
製作	ผลิต
部分	ส่วน
部分	ภาค
高校	มัธยม
番号	จำนวน
番号	หมายเลข
最初	ก่อน
最初	แรก
受賞	รางวัล
場所	ตำแหน่งที่ตั้ง
場所	ตำแหน่ง
技術	เทคโนโลยี
技術	วิทยาการ
リンク	ลิงค์
リンク	ลิงก์
道路	ถนน
特定	ระบุ
特定	เจาะจง
システム	ระบบ
モデル	รุ่น
モデル	โมเดล
列車	รถไฟ
建設	ก่อสร้าง
とき	เมื่อ
とき	เมื่อไร
とき	ตอน
最後	สุดท้าย
最後	ล่าสุด
科学	วิทยาศาสตร์
理由	เหตุ
理由	สาเหตุ
理由	เหตุผล
そして	และ
そして	แล้ว
一つ	หนึ่ง
一つ	เดียว
ブロック	บล็อก
ブロック	บล็อค
車両	พาหนะ
自動車	รถ
自動車	รถยนต์
人口	ประชากร
営業	กิจการ
営業	ธุรกิจ
新聞	หนังสือพิมพ์
政府	รัฐบาล
政府	ราชการ
構成	โครงสร้าง
最大	สูงสุด
小説	นิยาย
小説	นวนิยาย
それぞれ	แต่ละ
機関	อวัยวะ
機関	สถาบัน
参照	อ้างอิง
メンバー	สมาชิก
画像	ภาพ
画像	รูปภาพ
画像	รูป
画像	อิมเมจ
状態	เงื่อนไข
状態	รัฐ
状態	สภาพ
名称	ชื่อ
ダム	เขื่อน
ホーム	บาน
ホーム	บ้าน
投稿	โพสต์
投稿	โพส
名前	ชื่อ
施設	สถาน
施設	สถาบัน
調査	สำรวจ
製造	ผลิต
イタリア	อิตาลี่
イタリア	อิตาลี
ロシア	รัสเซีย
独立	เอกราช
独立	อิสรภาพ
独立	อิสระ
物語	เรื่อง
企画	วางแผน
サン	แซน
サン	ซาน
航空	แอร์
航空	อากาศ
トン	ตัน
影響	อิทธิพล
勝利	ชนะ
勝利	ชัยชนะ
デザイン	ออกแบบ
デザイン	ดีไซน์
