категория	類別
как	讚
как	就像
как	像
как	喜歡
как	如何
его	他的
также	還
также	也
это	這
это	那個
это	這個
после	後
после	之後
области	地區
год	年
год	年份
год	年度
время	時間
время	時光
место	地方
место	斑點
место	位置
место	所在地
место	地點
район	區
район	地區
район	鄰里
район	面積
район	區域
вид	魚種
вид	檢視
вид	物種
вид	瀏覽
только	只
только	只要
только	只是
только	只有
язык	語
язык	語言
язык	舌頭
язык	舌
язык	語文
ссср	蘇聯
районе	鄰里
код	編碼
код	碼
код	密碼
более	更多
более	更
более	多
мая	五月
мая	五月份
мая	梅
дата	日期
дата	約會
ноября	十一月
деревня	村落
деревня	鄉村
деревня	村
деревня	村子
деревня	村莊
января	一月
марта	三月
все	所有
все	全部
все	每個人
все	一切
все	大家
все	一切都
августа	八月份
августа	八月
октября	十月
октября	十月份
сентября	九月
сентября	九月份
статьи	文章
уже	已經
июня	六月份
июня	六月
апреля	四月份
апреля	四月
название	名稱
название	名字
название	標題
название	姓名
поселение	定居
поселение	定居點
человек	男人
человек	人
человек	人類
лет	年份
лет	歲月
февраля	二月
они	她們
они	它們
они	他們
того	多哥
города	城市
города	城
города	城鎮
города	市
может	也許
может	或許
она	她
войны	戰
войны	戰爭
когда	當
однако	然而
высота	身高
высота	高度
высота	海拔
переписи	普查
переписи	人口普查
село	村落
село	鄉村
село	村
село	村子
село	村莊
род	杖
род	屬
один	一
один	一個
реки	河流
реки	江河
реки	河
реки	江
статус	狀態
статус	狀況
статус	現況
населения	人口
годы	年份
годы	歲月
через	經由
через	通過
через	透過
национальный	國家
область	區
область	省省
область	地區
область	省
область	面積
область	區域
область	省份
список	清單
список	名單
список	列表
сельское	農村
сайт	工地
сайт	網頁
сайт	網站
века	年齡
этот	這
этот	這個
будет	將
будет	威爾
несколько	多種
несколько	多重
несколько	多個
город	城鎮
город	市
город	城
город	鎮
город	城市
мира	和平
мира	平安
первое	第一
первое	首先
части	零件
части	部件
описание	描述
описание	說明
всего	共計
всего	總計
первый	第一
первый	首先
файл	文件
файл	檔案
карты	地圖
карты	卡
карты	牌
карты	紙牌
карты	卡片
два	二
два	兩
два	兩個
всех	大家
всех	所有
всех	全部
всех	每個人
раз	一旦
раз	一次
территории	領土
второй	秒
второй	第二
очень	非常
карта	名片
карта	地圖
карта	卡
карта	紙牌
карта	卡片
площадь	區
площадь	平方
площадь	方塊
площадь	方形
площадь	正方形
площадь	地區
площадь	廣場
площадь	面積
площадь	區域
всё	一切
всё	一切都
даже	甚至
затем	那
затем	那麼
затем	然後
группы	群
группы	群組
группы	團體
размер	尺寸
размер	體積
размер	大小
поселения	定居點
почтовый	郵政
страны	各國
страны	國家
индекс	指數
индекс	索引
улица	街
улица	街道
улица	街頭
население	人口
работы	工作
имена	名稱
имена	姓名
имена	人名
вместе	一起
вместе	在一起
упоминание	提及
здесь	這裡
истории	歷史
истории	故事
истории	動態
александр	亞歷山大
армии	集團軍
армии	軍隊
армии	軍
армии	陸軍
деление	裂變
деление	組織
хотя	雖然
хотя	儘管
кроме	除外
кроме	除了
игроки	玩家
игроки	球員
другие	其他
история	歷史
история	故事
история	動態
себя	自己
совета	安理會
фильм	膠片
фильм	影片
фильм	電影
рождения	出生
пункты	項目
времени	時間
времени	時光
либо	要麼
участник	會員
участник	成員
участие	參與
три	三
три	三個
человека	人類
автор	作者
республики	共和國
республики	共和
внутреннее	內
внутреннее	內在
внутреннее	內部
внутреннее	內心
эти	這些
статей	文章
случае	案件
случае	案例
случае	個案
центр	中心
округ	地區
округ	區
округ	郡
округ	縣
жизни	生命
жизни	人生
жизни	生活
родился	出生
родился	生於
родился	誕生
родился	天生
союза	聯盟
союза	工會
кто	誰
связи	通訊
день	日
день	一天
день	白天
период	期間
индексы	指數
индексы	索引
округа	各地區
округа	各州
округа	各縣
округа	各區
франции	法國
группа	群
группа	群組
имя	名稱
имя	名字
имя	姓名
игры	遊戲
цифровой	數位
цифровой	數碼
ширина	寬
ширина	寬度
ширина	廣度
просто	只要
просто	只是
регион	區域
тогда	那
тогда	那麼
тогда	然後
конце	結束
конце	終結
конце	結尾
отечественной	愛國主義
отечественной	愛國
вот	這裡
церкви	教堂
церкви	教會
клуб	幫會
клуб	俱樂部
больше	更多
больше	更
больше	多
федерации	聯邦
наиболее	大多
наиболее	大部分
наиболее	最多
наиболее	多數
наиболее	大多數
изображения	影像
изображения	影象
изображения	圖片
советский	蘇維埃
степени	程度
степени	度
степени	學位
северо	西北
изображение	圖片
изображение	影像
изображение	影象
награды	獎
награды	頒獎
награды	榮譽
награды	獎勵
ранее	先前
ранее	早先
перед	之前
перед	前
перед	以前
германии	德國
германии	德文
германии	德語
москва	莫斯科
системы	系統
совет	安理會
академии	學院
две	二
две	兩
две	兩個
некоторые	有些
некоторые	一些
менее	少
менее	少了
роль	作用
роль	角色
юго	西南
дом	家
дом	房子
дом	房屋
дом	屋
дом	住家
дом	首頁
значимость	關聯性
высоты	高地
русский	俄語
русский	俄文
член	陰莖
член	會員
член	成員
член	公雞
орден	秩序
орден	訂單
орден	順序
орден	訂購
орден	命令
сам	自己
сын	兒子
пока	拜拜
пока	拜
общины	市鎮
общины	公社
число	號碼
число	數字
число	編號
число	數
эта	這
эта	這個
нужно	需要
нужно	需求
большой	大型
большой	大
количество	編號
количество	數
количество	號碼
количество	量
количество	數字
количество	數量
институт	機構
институт	體制
институт	研究所
компании	公司
церковь	教堂
церковь	教會
советского	蘇維埃
проект	草稿
проект	項目
много	許多
сельский	農村
сельский	質樸
вопрос	提問
вопрос	問題
новый	新
новый	新的
образование	教育
образование	學歷
тоже	太
момент	力矩
момент	時刻
момент	扭矩
момент	扭力
фильмы	影片
фильмы	電影
часто	常常
часто	經常
часто	頻繁
часто	時常
почти	幾乎
настоящее	現任
стали	鋼
стали	鋼鐵
европы	歐洲
организации	組織
сейчас	現在
империи	帝國
река	河流
река	江河
река	河
река	江
альбом	專輯
альбом	相簿
одна	一
одна	一個
станции	站
станции	車站
людей	人民
людей	人
людей	人們
возможно	也許
возможно	可能
возможно	或許
окончил	畢業
пояс	帶
пояс	腰帶
пояс	皮帶
команды	球隊
команды	團隊
команды	隊伍
команды	命令
шаблон	圖案
шаблон	模式
шаблон	樣板
шаблон	格局
шаблон	模板
многие	許多
жизнь	生命
жизнь	人生
жизнь	生活
серии	系列
участники	成員
культуры	文化
часовой	哨兵
часовой	崗哨
проекта	項目
команда	團隊
команда	指揮
команда	班長
команда	球隊
команда	船員
команда	班
команда	命令
команда	小隊
команда	隊伍
краткое	簡明
краткое	簡短
краткое	簡潔
позже	後來
позже	稍後
позже	以後
другой	其他
источники	來源
данные	資料
война	戰
война	戰爭
школы	上學
школы	學校
герой	英雄
михаил	麥可
текст	文字
текст	案文
первая	第一
первая	首先
песни	歌曲
песни	歌
женщин	婦女
женщин	女性
книги	書
книги	圖書
книги	書籍
полностью	完全
полностью	充分
жителей	居民
честь	榮譽
честь	名譽
звание	排名
решение	溶液
решение	決定
чемпионат	錦標賽
деятельность	活動
деятельность	動態
еще	更多
еще	更
еще	多
данных	資料
назначен	指派
плотность	密度
берегу	海岸
берегу	岸
берегу	岸上
берегу	岸邊
итог	結果
итог	成果
россия	俄國
россия	俄
россия	俄羅斯
села	週六
названия	名稱
названия	職銜
названия	人名
названия	標題
названия	姓名
названия	頭銜
должен	應該
должен	必須
права	權利
король	國王
король	王
края	邊緣
обычно	通常
умер	死
власти	當局
службы	服務
службы	服務業
система	系統
университет	大學
должны	應該
должны	必須
слова	詞語
слова	字
слова	詞
слова	言語
флаг	旗子
флаг	國旗
флаг	旗幟
флаг	旗
версии	版
версии	版本
различных	不同
вновь	再次
отец	父
отец	神父
отец	父親
общества	社會
многих	許多
войска	部隊
детей	兒童
источник	來源
источник	源
вскоре	很快
вскоре	不久
члены	成員
должность	立場
должность	位置
должность	職位
обсуждения	討論
действия	動作
действия	行動
действия	動態
действия	活動
дивизии	師團
музей	博物館
ряд	排
ряд	划
душу	靈魂
дома	家
дома	房子
дома	房屋
дома	住家
дома	首頁
некоторых	有些
некоторых	一些
почему	為什麼
почему	為甚麼
почему	為何
школа	上學
школа	學校
выше	上方
выше	以上
выше	更高
выше	較高
чел	男人
чел	人
медаль	勳章
медаль	獎章
медаль	獎牌
земли	陸地
земли	土地
режиссёр	導演
режиссёр	司長
режиссёр	主任
правила	規則
правила	細則
правила	條例
полка	兵團
полка	書架
полка	架子
полка	團
полка	貨架
линии	線條
линии	線路
линии	線
места	地方
места	席位
места	座位
места	地點
категории	類別
ссылка	連結
ссылка	參考
компания	公司
используется	使用
тысяч	千
начало	開端
италии	義大利
италии	義大利文
положение	情況
положение	立場
положение	位置
положение	職位
мужчин	男人
мужчин	男性
мужчин	男子
северной	北方
северной	北
северной	北部
острова	群島
острова	島嶼
острова	島
острова	海島
дело	案件
дело	案例
дело	個案
полк	團
полк	兵團
теперь	現在
станция	站
станция	車站
профессор	教授
особенно	尤其是
особенно	尤其
американский	美式
право	法律
чемпион	冠軍
чемпион	拳王
лучше	更好
шаблоны	樣板
шаблоны	格局
шаблоны	模板
шаблоны	模式
оно	大野
оно	小野
правило	細則
роли	作用
роли	角色
сезон	季節
сезон	季
люди	人民
люди	人
люди	人類
люди	人們
управление	管理
управление	控制權
управление	施政
управление	控制
управление	治理
длина	長度
иногда	有時候
тип	類型
тип	型態
кладбище	墓園
кладбище	墓地
кладбище	公墓
средняя	中等
средняя	媒介
средняя	中間
средняя	平均值
средняя	中型
средняя	平均
средняя	介質
театр	戲劇
театр	電影院
театр	戲院
театр	戰區
театр	劇院
театр	劇場
художник	藝術家
художник	畫師
художник	藝人
художник	畫家
российская	俄語
российская	俄文
одно	一
одно	一個
коммуны	市鎮
коммуны	公社
