மற்றும்	और
ஒரு	एक
இந்த	यह
இந்த	इस
இந்த	ये
ஆம்	हां
ஆம்	यस
ஆம்	हाँ
இது	यह
இது	इस
இது	ये
மக்கள்	लोग
மக்கள்	लोगों
என்ற	निकला
ஆண்டு	वर्ष
ஆண்டு	साल
என்று	उस
என்று	कि
தமிழ்	तमिल
இந்திய	भारतीय
இருந்து	से
இருந்து	इससे
பல	बहु
பல	कई
பல	मल्टीपल
பல	अनेक
பல	बहुमुखी
முதல்	प्रथम
முதல்	पहली
முதல்	से
முதல்	पहले
முதல்	पहला
முதல்	इससे
மேலும்	ज्यादा
மேலும்	आदि
மேலும்	अधिक
தொகை	राशि
தொகை	मात्रा
சில	कुछ
உள்ளது	उपलब्धियाँ
உள்ளது	उपलब्ध
அவர்	उसकी
அவர்	उससे
அவர்	उसका
அவர்	उसके
அவர்	उसे
அவர்	उसको
இருக்கும்	मौजूदा
வெளி	बाहरी
வெளி	स्पेस
வெளி	अंतरिक्ष
வெளி	जगह
வெளி	बाह्य
வெளி	समष्टि
வெளி	आउटसोर्सिंग
அமைந்துள்ளது	स्थित
அமைந்துள்ளது	स्तिथ
மூலம்	मूल
மூலம்	मौलिक
மூலம்	सोर्स
மூலம்	असली
மூலம்	स्रोत
மூலம்	स्त्रोत
வரை	जबतक
வரை	चित्रण
வரை	तक
வரை	खींचें
பின்னர்	फिर
பின்னர்	बाद
பின்னர்	तब
ஆனால்	परन्तु
ஆனால்	लेकीन
ஆனால்	लेकिन
ஆனால்	लकिन
ஆனால்	मगर
வேண்டும்	चाहिए
கொண்டு	लाओ
கொண்டு	साथ
பட்டியல்	सूची
பட்டியல்	प्लेलिस्ट
அமைந்துள்ள	स्थित
அமைந்துள்ள	स्तिथ
அதன்	इसके
அதன்	इसकी
அதன்	इसका
பெண்கள்	औरतों
பெண்கள்	लड़कियां
பெண்கள்	महिलाएं
பெண்கள்	लड़कियाँ
பெண்கள்	महिलाएँ
பெண்கள்	बेटियाँ
பெண்கள்	लड़कियों
பெண்கள்	महिलाओं
பெண்கள்	स्त्रियाँ
கொண்டுள்ளது	रै
போது	कब
போது	जब
போது	दौरान
இணைப்புகள்	संलग्नक
இணைப்புகள்	कनेक्शन
இணைப்புகள்	कनेक्शन्स
இணைப்புகள்	लिंक्स
இணைப்புகள்	कड़ियाँ
இணைப்புகள்	कड़ी
இணைப்புகள்	अनुलग्नक
இணைப்புகள்	लिंक
இரண்டு	दो
தகவல்	संदेश
தகவல்	सुचना
தகவல்	जानकारी
தகவல்	सन्देश
தகவல்	सूचना
தகவல்	एनोटेशन
மாவட்ட	ज़िला
மாவட்ட	जिलाध्यक्ष
மாவட்ட	जिला
மாவட்ட	डिस्ट्रिक्ट
மொத்த	कुल
வளர்ச்சி	विकास
வளர்ச்சி	वृद्धि
மாவட்டம்	ज़िला
மாவட்டம்	जिलाध्यक्ष
மாவட்டம்	जिला
மாவட்டம்	डिस्ट्रिक्ट
அந்த	उस
அந்த	कि
மிகவும்	बहुत
திட்டம்	प्लान
திட்டம்	योजना
திட்டம்	प्रोजेक्ट
திட்டம்	परियोजना
தேசிய	राष्टीय
தேசிய	नेशनल
தேசிய	राष्ट्रीय
கலந்து	उपस्थित
இலங்கை	श्रीलंकन
இங்கு	यहा
இங்கு	यहां
இங்கு	यहाँ
அமெரிக்க	अमेरिकी
அமெரிக்க	अमरीकी
அமெரிக்க	अमेरिकन
அடிப்படை	आधार
அடிப்படை	मूल
அடிப்படை	मौलिक
அடிப்படை	मूलभूत
அடிப்படை	बेसिक
அடிப்படை	बेस
பெயர்	नाम
பெயர்	लेबल
மூன்று	तीन
ஆண்கள்	पुरुष
ஆண்கள்	मेन
ஆண்கள்	पुरुषों
ஆண்கள்	मर्द
ஒன்று	एक
ஒன்று	एकत्रित
ஐக்கிய	संयुक्त
ஐக்கிய	यूनाइटेड
புதிய	ताजा
புதிய	नई
புதிய	फ्रेश
புதிய	नया
புதிய	ताज़ा
புதிய	भैस
அவரது	उसके
அவரது	उसे
அவரது	उसका
அவரது	उसकी
மொத்தம்	कुल
மொத்தம்	योग
இவை	ये
சிறந்த	बेहतरीन
சிறந்த	बड़ा
சிறந்த	महान
சிறந்த	बेस्ट
சிறந்த	सर्वश्रेष्ठ
சிறந்த	ग्रेट
சிறந்த	उत्कृष्ट
அரசு	सरकार
அரசு	सरकारी
வசதிகள்	सुविधाएं
இந்தியா	इंडिया
இந்தியா	भारत
இந்தியா	इण्डिया
பெரிய	बड़ा
பெரிய	विशाल
பெரிய	बड़ी
பெரிய	महान
பெரிய	बड़े
பெரிய	ग्रेट
பெரிய	बिग
ஊரக	ग्रामीण
நாள்	दिन
நாள்	दिवस
பிறப்பு	जनम
பிறப்பு	जेनेरिक
பிறப்பு	जन्म
பிறப்பு	जन्मे
பிறப்பு	हैच
பிறப்பு	जेनरिक
இருந்தது	थी
இருந்தது	था
முக்கிய	महत्वपूर्ण
முக்கிய	प्रमुख
முக்கிய	मुख्य
முக்கிய	मेन
பல்வேறு	विभिन्न
பல்வேறு	किस्में
இருந்த	यहूद
திரைப்படங்கள்	फिल्मों
திரைப்படங்கள்	फिल्में
திரைப்படங்கள்	मूवी
திரைப்படங்கள்	फ़िल्में
பிற	अन्य
அவர்கள்	उनको
அவர்கள்	उनके
அவர்கள்	उनसे
அவர்கள்	उन्हें
அவர்கள்	वे
அவர்கள்	उन्होंने
மொழி	भाषा
முறை	कार्यविधि
முறை	मोड
முறை	प्रक्रिया
முறை	विधि
கோயில்	मंदिर
கோயில்	टेम्पल
கோயில்	मन्दिर
விருது	पुरस्कार
விருது	अवार्ड
பொதுவாக	साधारण
பொதுவாக	जनरल
பொதுவாக	सामान्य
அக்டோபர்	अक्तूबर
அக்டோபர்	अक्टूबर
செய்து	वचनबद्ध
செய்து	प्रतिबद्ध
தன்	उसके
தன்	उसका
தன்	उसकी
தொடர்ந்து	रखना
தொடர்ந்து	रखें
இரண்டாம்	द्वितीय
இரண்டாம்	द्वितीयक
இரண்டாம்	सेकंड
இரண்டாம்	माध्यमिक
இரண்டாம்	दूसरी
இரண்டாம்	सेकेंड
இரண்டாம்	सेकण्ड
இரண்டாம்	दूसरा
சென்னை	चेन्नै
சென்னை	चेन्नई
வரும்	आता
மே	मई
ஒவ்வொரு	हर
ஒவ்வொரு	प्रत्येक
மட்டுமே	तभी
மட்டுமே	सिर्फ
மட்டுமே	केवल
வரலாறு	इतिहास
பகுதியில்	क्षेत्र
பகுதியில்	क्षेत्रफल
நூல்கள்	किताबें
நூல்கள்	किताबे
நூல்கள்	पुस्तकें
நூல்கள்	पुस्तकों
பின்	बाद
பின்	वापस
பின்	पिछे
பின்	पीछे
பின்	बैक
பின்	पिन
இல்லை	नही
இல்லை	नहीं
நவம்பர்	नवम्बर
நவம்பர்	नवंबर
அதிக	ऊँची
அதிக	आलीशान
அதிக	उच्च
அதிக	हाई
காலத்தில்	काल
காலத்தில்	अवधि
மிக	बहुत
மீது	ओजस्वी
மீது	जोरदार
மீது	तीव्र
நான்கு	चार
பிறகு	फिर
பிறகு	बाद
பிறகு	तब
அரசியல்	पॉलिटिक्स
அரசியல்	राजनीती
அரசியல்	राजनीतिक
அரசியல்	राजनीति
அரசியல்	राजनैतिक
பகுதி	क्षेत्र
பகுதி	हिस्सा
பகுதி	खण्ड
பகுதி	आंशिक
பகுதி	सेगमेंट
பகுதி	पार्ट
பகுதி	प्रदेश
பகுதி	भाग
பகுதி	हिस्से
பகுதி	क्षेत्रफल
பற்றி	परिचय
ஆறு	छह
ஆறு	नदी
ஆறு	छः
ஆறு	छक्का
இங்கிலாந்து	इंग्लैंड
இங்கிலாந்து	इंग्लैण्ड
காலம்	काल
காலம்	ऋतु
காலம்	समय
காலம்	मौसम
காலம்	वक्त
காலம்	वक़्त
காலம்	अवधि
நிலை	स्थिति
நிலை	अवस्था
நிலை	स्तर
நிலை	स्टेट
நிலை	राज्य
நிலை	पद
ஒரே	वही
ஒரே	समान
போர்	युद्ध
பொருள்	वस्तु
பொருள்	विषय
பொருள்	सामग्री
பொருள்	उत्पाद
பொருள்	ऑब्जेक्ट
பொருள்	पदार्थ
பொருள்	समानार्थी
அறிவியல்	विज्ञान
பேச்சு	वाक्
பேச்சு	स्पीच
பேச்சு	भाषण
பேச்சு	वाक
பேச்சு	बात
இதனால்	साथ
அனைத்து	सब
அனைத்து	सभी
