மற்றும்	и
ஒரு	одна
ஒரு	один
ஒரு	одно
இந்த	это
இந்த	этот
இந்த	эта
இந்த	эти
ஆம்	да
இது	это
இது	этот
இது	эта
மக்கள்	люди
மக்கள்	народ
மக்கள்	народов
மக்கள்	народы
மக்கள்	людей
என்ற	озаглавленный
ஆண்டு	год
என்று	это
தமிழ்	тамил
இந்திய	индийский
இந்திய	индеец
இந்திய	индии
இந்திய	индийская
இருந்து	из
இருந்து	от
பல	многие
பல	много
பல	многим
பல	несколько
பல	многих
பல	множественные
முதல்	из
முதல்	от
முதல்	сначала
முதல்	первый
முதல்	первое
முதல்	первая
மேலும்	больше
மேலும்	более
மேலும்	еще
தொகை	сумма
சில	немногие
சில	немногим
சில	некоторые
சில	некоторых
சில	немногих
உள்ளது	доступно
உள்ளது	доступны
உள்ளது	имеющихся
உள்ளது	существует
உள்ளது	доступен
உள்ளது	доступные
அவர்	ему
அவர்	её
அவர்	ее
அவர்	его
அவர்	ей
இருக்கும்	существующее
இருக்கும்	существующая
இருக்கும்	существующий
இருக்கும்	существующие
வெளி	пространство
வெளி	космической
வெளி	космос
வெளி	внешних
வெளி	внешние
வெளி	внешний
வெளி	внешнее
வெளி	аутсорсинга
வெளி	внешняя
அமைந்துள்ளது	расположенный
அமைந்துள்ளது	расположенных
மூலம்	оригинал
மூலம்	источник
மூலம்	оригинальная
மூலம்	оригинальные
மூலம்	оригинально
மூலம்	первоначального
மூலம்	оригинальный
கொண்ட	содержащиеся
வரை	нарисовать
வரை	ничья
வரை	рисовать
வரை	привлечь
வரை	до
பின்னர்	тогда
பின்னர்	затем
பின்னர்	потом
பின்னர்	позже
பின்னர்	позднее
ஆனால்	но
வேண்டும்	хотеть
வேண்டும்	должен
வேண்டும்	потребность
வேண்டும்	хочешь
வேண்டும்	хочу
வேண்டும்	нужно
வேண்டும்	должны
வேண்டும்	нужна
கொண்டு	принес
கொண்டு	привести
கொண்டு	привезли
கொண்டு	принесли
கொண்டு	принести
கொண்டு	с
கொண்டு	принесла
பட்டியல்	перечень
பட்டியல்	список
அமைந்துள்ள	расположенный
அமைந்துள்ள	расположенных
பெண்கள்	девушки
பெண்கள்	девочек
பெண்கள்	женщины
பெண்கள்	девочки
பெண்கள்	девчонки
பெண்கள்	самки
பெண்கள்	женщин
கொண்டுள்ளது	имеет
கொண்டுள்ளது	содержит
போது	когда
இணைப்புகள்	связи
இணைப்புகள்	ссылки
