மற்றும்	ve
ஒரு	bir
ஒரு	biri
இந்த	bu
இந்த	bunlar
இந்த	şunlar
இந்த	bunu
இந்த	bunları
ஆம்	evet
இது	bunu
இது	bu
மக்கள்	halkları
மக்கள்	insanlar
மக்கள்	kişiler
மக்கள்	millet
மக்கள்	halk
என்ற	başlıklı
ஆண்டு	yıl
ஆண்டு	yılı
ஆண்டு	sene
என்று	bunu
என்று	bu
இந்திய	kızılderili
இந்திய	hint
இந்திய	hintli
இந்திய	yerli
பல	çoklu
பல	birçok
முதல்	once
முதல்	öncelikle
முதல்	ilk
முதல்	önce
மேலும்	daha
மேலும்	devamı
தொகை	tutar
தொகை	miktar
தொகை	miktarı
சில	bazılarını
சில	kimisi
சில	bazı
சில	birkaç
சில	bazıları
உள்ளது	mevcuttur
உள்ளது	müsait
உள்ளது	mevcut
உள்ளது	kullanılabilir
அவர்	onun
அவர்	onu
இருக்கும்	mevcut
வெளி	boşluk
வெளி	uzayı
வெளி	uzay
வெளி	harici
அமைந்துள்ளது	bulunan
மூலம்	orijinal
மூலம்	orjinal
மூலம்	aslı
மூலம்	kaynağı
மூலம்	kaynak
மூலம்	özgün
பின்னர்	ozaman
பின்னர்	öyleyse
பின்னர்	sonra
பின்னர்	sonradan
ஆனால்	fakat
ஆனால்	ama
வேண்டும்	lazım
வேண்டும்	istiyorum
வேண்டும்	ihtiyacım
வேண்டும்	ihtiyaç
வேண்டும்	gerek
கொண்டு	getirin
கொண்டு	getirdi
கொண்டு	getirilmiş
கொண்டு	getirildi
கொண்டு	getir
கொண்டு	ile
பட்டியல்	listeyi
பட்டியல்	listesi
பட்டியல்	liste
அமைந்துள்ள	bulunan
பெண்கள்	dişiler
பெண்கள்	kızlar
பெண்கள்	kadın
பெண்கள்	kadinlar
பெண்கள்	kadınlar
பெண்கள்	kadınları
பெண்கள்	dişi
கொண்டுள்ளது	içeriyor
கொண்டுள்ளது	içerir
கொண்டுள்ளது	içerdiği
போது	esnasında
போது	sırasında
இணைப்புகள்	bağlantıları
இணைப்புகள்	bağlantılar
இணைப்புகள்	ekleri
இணைப்புகள்	bağlar
இரண்டு	iki
தகவல்	ileti
தகவல்	bilgi
தகவல்	mesajınız
தகவல்	mesaj
தகவல்	bilgiler
தகவல்	bilgileri
தகவல்	bilgilendirme
தகவல்	mesajı
மாவட்ட	semt
மாவட்ட	ilçesi
மாவட்ட	bölge
மாவட்ட	ilçe
மாவட்ட	bahşı
மொத்த	toplam
வளர்ச்சி	gelişme
வளர்ச்சி	gelişim
வளர்ச்சி	geliştirme
வளர்ச்சி	büyüme
வளர்ச்சி	büyümek
வளர்ச்சி	kalkınma
மாவட்டம்	semt
மாவட்டம்	ilçesi
மாவட்டம்	bölge
மாவட்டம்	ilçe
மாவட்டம்	bahşı
அந்த	bunu
அந்த	bu
மிகவும்	çok
மிகவும்	cok
திட்டம்	planı
திட்டம்	projesi
திட்டம்	proje
திட்டம்	plân
திட்டம்	planla
தேசிய	millî
தேசிய	milli
தேசிய	ulusal
கலந்து	katılan
கலந்து	katılacak
இலங்கை	seylan
இங்கு	burda
இங்கு	burada
அமெரிக்க	amerikan
அமெரிக்க	amerikalı
அடிப்படை	baz
அடிப்படை	taban
அடிப்படை	temel
அடிப்படை	üs
அடிப்படை	üssü
பெயர்	adın
பெயர்	isim
பெயர்	adı
பெயர்	adınız
பெயர்	etiketi
பெயர்	ad
பெயர்	etiket
மூன்று	üç
ஆண்கள்	erkek
ஆண்கள்	adamlar
ஆண்கள்	erkekler
ஒன்று	bir
ஒன்று	biri
ஒன்று	topla
ஐக்கிய	birleşmiş
ஐக்கிய	birleşik
ஐக்கிய	birlik
புதிய	yeni
புதிய	taze
அவரது	onun
அவரது	onunki
அவரது	onu
மொத்தம்	toplam
இவை	bunlar
இவை	şunlar
இவை	bunları
சிறந்த	harika
சிறந்த	mükemmel
அரசு	hükümet
அரசு	devlet
வசதிகள்	tesisler
வசதிகள்	olanaklar
வசதிகள்	tesis
வசதிகள்	tesisleri
வசதிகள்	imkanlar
இந்தியா	hindistan
இந்தியா	hint
பெரிய	kocaman
பெரிய	büyük
பெரிய	buyuk
பெரிய	geniş
பெரிய	harika
ஊரக	kırsal
நாள்	gündüz
நாள்	gün
நாள்	gun
பிறப்பு	doğan
பிறப்பு	doğdum
பிறப்பு	genel
