ve	y
bir	una
bir	uno
bu	este
bu	que
bu	esto
bu	eso
bu	esta
de	di
de	diga
de	dí
de	decir
ile	con
için	para
en	favoritos
en	favoritas
daha	mas
daha	más
sonra	luego
sonra	tras
sonra	después
sonra	entonces
sonra	posteriormente
sonra	despues
ilk	primeros
ilk	primeras
ilk	primero
ilk	primera
ilk	primer
çok	mucho
çok	muy
yer	localización
yer	lugar
yer	ubicación
yer	emplazamiento
yer	ubicacion
gibi	gustar
gibi	como
büyük	enorme
büyük	enormes
büyük	inmenso
büyük	grandes
büyük	grande
büyük	gran
büyük	inmensa
bağlantılar	acoplamientos
bağlantılar	vínculos
bağlantılar	contactos
bağlantılar	enlaces
bağlantılar	conexiones
türkiye	pavo
türkiye	turquía
iki	dos
arasında	entre
ayrıca	tambien
ayrıca	igualmente
ayrıca	también
ayrıca	además
türk	turcos
türk	turquía
türk	turco
türk	turca
diğer	otros
diğer	otro
diğer	otras
yeni	nuevas
yeni	nueva
yeni	nuevo
yeni	novedades
yeni	novedad
yeni	nuevos
un	harina
un	harinas
her	cada
aynı	mismo
aynı	misma
aynı	igual
kulüp	garrote
kulüp	discoteca
bağlı	vinculado
bağlı	conectados
bağlı	adjunto
bağlı	empatados
bağlı	até
bağlı	conectadas
bağlı	conectada
bağlı	conectado
bağlı	obligado
bağlı	vinculada
bağlı	dependen
bağlı	vinculados
bağlı	atadas
bağlı	atados
bağlı	adjunta
bağlı	depende
bağlı	enlazados
bağlı	atado
iyi	buenas
iyi	buena
iyi	bien
iyi	buenos
iyi	bueno
iyi	fino
ne	qué
ilgili	afines
ilgili	pertinentes
ilgili	interesado
ilgili	interesada
ilgili	relevante
ilgili	relevantes
ilgili	pertinente
ilgili	conexo
ilgili	conexas
ilgili	relacionado
ilgili	interesadas
ilgili	relacionada
ilgili	interesados
son	final
son	fin
son	último
son	últimos
son	última
alan	dominios
alan	superficie
alan	dominio
alan	área
alan	campo
alan	zona
dünya	terrestre
dünya	tierra
dünya	mundial
dünya	mundo
abd	eeuu
birlikte	juntos
birlikte	juntas
bulunan	ubicado
bulunan	situado
bulunan	localizada
bulunan	localizado
eski	viejo
eski	vieja
eski	antigua
eski	viejos
eski	antiguo
and	andina
and	andinos
and	andino
önemli	importante
önemli	destaca
önemli	significante
önemli	significativas
önemli	significativa
önemli	destacadas
önemli	importantes
önemli	destacados
önemli	significativos
önemli	reflejos
önemli	significativo
madde	materiales
madde	cláusulas
madde	articulo
madde	materia
madde	sustancia
madde	artículo
madde	cláusula
madde	substancia
sağlık	médicas
sağlık	médicos
sağlık	sanidad
sağlık	bienestar
sağlık	salud
sağlık	médico
sağlık	medico
sağlık	medicina
genel	generales
genel	globalmente
genel	genérica
genel	genérico
genel	generalidades
mart	marcha
mart	marchen
mart	marzo
adı	nombre
adı	denominación
film	cine
film	película
film	películas
film	peliculas
film	pelicula
haziran	junio
mayıs	mayo
dosya	archivo
dosya	expedientes
dosya	expediente
dosya	archivos
dosya	fichero
dosya	ficheros
ocak	enero
ocak	estufa
ocak	ene
yıl	año
kasım	noviembre
avrupa	europeos
avrupa	europea
avrupa	europeas
avrupa	europeo
avrupa	europa
ama	sino
ama	pero
karşı	mostrador
karşı	contrarrestar
karşı	contador
karşı	contra
toplam	suma
toplam	totales
toplam	globalmente
ikinci	segundos
ikinci	segunda
ikinci	segundas
ikinci	segundo
eylül	septiembre
eylül	setiembre
ağustos	agosto
içinde	dentro
içinde	adentro
temmuz	julio
önce	primeros
önce	primeras
önce	primero
önce	primera
önce	primer
önce	antes
tüm	enteras
tüm	entera
tüm	enteros
tüm	entero
nisan	abril
resim	foto
resim	pintura
resim	dibujo
resim	dibujar
resim	cuadro
resim	pintar
resim	pintando
resim	imagen
resim	dibujando
resim	imágen
üniversitesi	universitarios
üniversitesi	universitario
üniversitesi	universidad
üniversitesi	universidades
ye	coma
ye	comer
ye	come
ekim	octubre
şehir	urbano
şehir	urbanas
şehir	urbana
şehir	urbanos
şehir	ciudad
şehir	pueblo
zaman	hora
zaman	tiempo
bazı	algunos
bazı	algunas
aralık	intervalo
aralık	dic
aralık	diciembre
köy	aldea
köy	poblado
köy	villa
köy	pueblo
yüksek	superior
yüksek	elevada
yüksek	alto
yüksek	alta
birçok	muchas
birçok	muchos
şubat	febrero
sadece	solo
sadece	solamente
sadece	únicamente
sadece	simplemente
sadece	sólo
yol	carretera
yol	surco
yol	sendero
yol	manera
yol	camino
yol	ruta
fakat	sino
fakat	pero
grup	agrupar
grup	grupo
grup	banda
takım	equipo
takım	pelotón
takım	escuadrón
takım	escuadra
kendi	propios
kendi	propia
kendi	propio
kendi	propias
şekilde	manera
şekilde	camino
tek	sencillos
tek	individuales
tek	soltero
tek	soltera
tek	sencillo
tek	solteros
bilgi	conocimientos
bilgi	información
bilgi	conocimiento
bilgi	informaciones
bilgi	informacion
kez	veces
kez	épocas
kez	tiempos
hakkında	acerca
hakkında	sobre
osmanlı	otomano
osmanlı	otomana
osmanlı	otomanos
devlet	estado
devlet	gobierno
devlet	gubernamental
üç	tres
tarihi	historial
tarihi	historia
tarihi	histórico
tarihi	histórica
tarihi	históricas
tarihi	cita
tarihi	historico
tarihi	fecha
tarihi	históricos
başladı	comenzado
başladı	iniciado
başladı	iniciada
başladı	comenzó
küçük	poco
küçük	pequeñas
küçük	pequeño
küçük	pequeña
küçük	pequeños
küçük	poquito
müzik	musica
müzik	música
gelen	entrante
gelen	entrantes
resmi	foto
resmi	funcionaria
resmi	formales
resmi	oficial
resmi	funcionario
kabul	acordar
kabul	acordado
kabul	acordadas
kabul	acepto
kabul	aceptados
kabul	aceptada
kabul	aceptación
kabul	convenido
kabul	convenir
kabul	aceptadas
kabul	acepta
kabul	aceptan
kabul	aceptamos
kabul	aceptado
kabul	coincidir
kabul	aceptar
devam	mantener
devam	continúa
devam	continuar
devam	conservar
devam	continúe
kupası	taza
kupası	copa
fazla	excedente
fazla	exceso
fazla	excesos
