ve	et
bir	un
bir	une
bu	cet
bu	ce
bu	que
bu	ceci
bu	cette
bu	cela
de	dis
de	dire
de	dites
ile	avec
için	pour
en	favoris
daha	plus
daha	davantage
sonra	apres
sonra	après
sonra	ensuite
sonra	aprés
sonra	ultérieur
sonra	puis
sonra	alors
ilk	premiers
ilk	premier
ilk	premières
ilk	première
çok	tres
çok	beaucoup
çok	très
çok	trés
yer	localité
yer	localisation
yer	endroit
yer	emplacement
yer	lieu
gibi	comme
gibi	genre
gibi	aiment
gibi	aime
gibi	aimez
büyük	enorme
büyük	immense
büyük	grosse
büyük	énorme
büyük	grandes
büyük	grande
büyük	énormes
büyük	grands
büyük	grand
büyük	gros
bağlantılar	raccordements
bağlantılar	liens
bağlantılar	connexions
türkiye	dinde
türkiye	turquie
iki	deux
ancak	toutefois
ancak	cependant
arasında	entre
arasında	parmis
arasında	parmi
ayrıca	également
ayrıca	aussi
ayrıca	egalement
türk	turques
türk	turcs
türk	turc
türk	turque
diğer	autre
diğer	autres
yeni	nouvelles
yeni	nouveaux
yeni	nouvelle
yeni	nouveautés
yeni	nouveau
un	farine
un	farines
her	chaque
aynı	même
aynı	mêmes
aynı	identique
aynı	meme
aynı	pareil
bağlı	liées
bağlı	lié
bağlı	attaché
bağlı	connectés
bağlı	dépendra
bağlı	raccordée
bağlı	liés
bağlı	attachés
bağlı	attachées
bağlı	attachée
bağlı	connecté
bağlı	connectée
bağlı	liée
bağlı	relié
bağlı	dépend
iyi	amende
iyi	bien
iyi	bons
iyi	bonnes
iyi	bon
iyi	bonne
ne	quelle
ne	quel
ne	quoi
ilgili	pertinent
ilgili	connexe
ilgili	pertinentes
ilgili	intéressés
ilgili	lié
ilgili	pertinents
ilgili	connexes
ilgili	intéressé
ilgili	pertinente
ilgili	intéressées
ilgili	liés
ilgili	intéressée
son	derniers
son	fin
son	dernière
son	dernier
son	dernières
alan	zone
alan	champ
alan	région
alan	domaine
dünya	terre
dünya	mondial
dünya	monde
dünya	mondiale
birlikte	ensemble
bulunan	situé
bulunan	située
bulunan	situés
bulunan	localisé
eski	ancienne
eski	ancien
eski	vieille
eski	vieux
eski	anciens
and	andine
and	andin
and	andes
and	andins
önemli	importants
önemli	importante
önemli	significative
önemli	importantes
önemli	significatif
önemli	significatifs
önemli	souligne
madde	matériau
madde	matériaux
madde	matériel
sağlık	médicaux
sağlık	santé
sağlık	médical
sağlık	médicale
sağlık	sante
genel	généralités
genel	génériques
genel	globalement
genel	généraux
genel	globale
genel	générale
genel	générique
genel	général
mart	marche
mart	mars
adı	nommer
adı	nom
adı	noms
adı	dénomination
film	film
film	films
film	cinéma
film	ciné
haziran	juin
mayıs	peut
mayıs	mai
dosya	fichier
dosya	dossiers
dosya	dossier
dosya	fichiers
ocak	fourneau
ocak	poêles
ocak	cuisinière
ocak	janvier
ocak	poêle
ocak	yann
yıl	an
yıl	annee
yıl	année
kasım	novembre
avrupa	européenne
avrupa	européen
avrupa	européennes
avrupa	européens
ama	mais
karşı	compteur
karşı	comptoir
karşı	contre
toplam	globalement
toplam	totaux
toplam	globale
toplam	somme
toplam	totale
ikinci	deuxieme
ikinci	seconde
ikinci	deuxième
eylül	septembre
ağustos	août
ağustos	aout
içinde	intérieur
içinde	interieur
temmuz	juillet
önce	premier
önce	première
önce	premiers
önce	premières
önce	avant
önce	auparavant
tüm	entiers
tüm	entier
nisan	avril
resim	photo
resim	peintures
resim	dessin
resim	tirage
resim	image
resim	peinture
resim	dessiner
üniversitesi	universitaire
üniversitesi	université
ye	mangez
ye	mange
ye	manger
ekim	octobre
şehir	villes
şehir	urbain
şehir	ville
şehir	urbains
şehir	urbaines
zaman	heure
zaman	temps
bazı	certaines
bazı	quelques
bazı	certains
aralık	entracte
aralık	déc
aralık	décembre
aralık	intervalle
aralık	decembre
aralık	intervalles
yüksek	hautes
yüksek	haut
yüksek	élevée
yüksek	élevé
yüksek	supérieur
yüksek	haute
birçok	nombreuses
birçok	plusieurs
birçok	beaucoup
birçok	nombreux
şubat	fevrier
şubat	février
şubat	fév
sadece	seule
sadece	uniquement
sadece	juste
sadece	seulement
sadece	seul
sadece	simplement
yol	routier
yol	parcours
yol	sentier
yol	trajet
yol	route
yol	manière
yol	itinéraire
yol	sillon
yol	façon
yol	chemin
fakat	mais
grup	orchestre
grup	bande
grup	groupe
takım	escouade
takım	brigade
takım	equipe
takım	équipe
takım	escadron
kendi	propre
kendi	propres
kendi	posséder
şekilde	manière
şekilde	façon
tek	unique
tek	simples
tek	célibataires
tek	célibataire
tek	simple
bilgi	savoir
bilgi	infos
bilgi	savoirs
bilgi	informations
bilgi	renseignements
bilgi	connaissances
bilgi	connaissance
kez	fois
osmanlı	ottomane
devlet	gouvernements
devlet	gouvernement
devlet	état
devlet	etat
üç	trois
tarihi	histoire
tarihi	historique
tarihi	historiques
başladı	commencée
başladı	démarré
başladı	commencé
küçük	petit
küçük	petits
küçük	peu
küçük	petites
küçük	petite
müzik	musique
müzik	musiques
gelen	entrant
gelen	entrants
resmi	photo
resmi	fonctionnaire
resmi	officiel
resmi	formelle
resmi	formel
resmi	officielle
resmi	image
resmi	officiels
resmi	formels
resmi	officielles
kabul	accepter
kabul	acceptent
kabul	convenu
kabul	acceptée
kabul	convenir
kabul	acceptées
kabul	accepté
kabul	acceptés
kabul	acceptez
kabul	acceptation
kabul	accepte
devam	continuez
devam	garder
devam	continuer
devam	conserver
devam	poursuivre
devam	maintenir
devam	continuons
kupası	tasse
kupası	coupe
kupası	gobelet
fazla	excédent
fazla	excès
fazla	excédentaires
okulu	ecole
okulu	école
aldı	prises
aldı	reçues
