ve	और
bir	एक
bu	उस
bu	यह
bu	इस
bu	कि
bu	ये
de	कहें
de	बोलो
de	कह
ile	साथ
için	लिये
en	पसंदीदा
daha	ज्यादा
daha	आदि
daha	अधिक
sonra	फिर
sonra	बाद
sonra	तब
ilk	प्रथम
ilk	पहले
ilk	पहला
ilk	पहली
çok	बहुत
yer	जगह
yer	लोकेशन
yer	स्थल
yer	अवस्थिति
yer	स्थान
yer	प्लेस
gibi	जैसे
dış	बाहरी
büyük	बड़ा
büyük	विशाल
büyük	बड़ी
büyük	बड़े
büyük	बिग
bağlantılar	सम्पर्क
bağlantılar	कनेक्शन
bağlantılar	कनेक्शन्स
bağlantılar	कड़ियाँ
bağlantılar	लिंक्स
bağlantılar	संपर्क
bağlantılar	कड़ी
bağlantılar	लिंक
türkiye	तुर्कों
türkiye	तुर्क
türkiye	तुर्की
iki	दो
ayrıca	भी
türk	तुर्क
türk	तुर्की
diğer	अन्य
yeni	नया
yeni	नई
un	आटा
her	हर
her	प्रत्येक
aynı	वही
aynı	समान
kulüp	क्लबों
kulüp	क्लब
bağlı	बाउंड
bağlı	कनेक्टेड
bağlı	बाध्य
bağlı	संलग्न
bağlı	बंधी
bağlı	कनेक्ट
iyi	ठीक
iyi	शुभ
iyi	गुड
iyi	जुर्माना
iyi	अच्छे
ne	क्या
ne	कया
ilgili	रुचिकर
ilgili	रुचि
ilgili	संबंधित
ilgili	सम्बन्धित
ilgili	दिलचस्पी
ilgili	प्रासंगिक
son	पिछला
son	अंत
son	आखिरी
son	अंतिम
son	समाप्ति
son	समाप्त
son	आखरी
alan	फील्ड
alan	डोमेन
alan	क्षेत्र
alan	फ़ील्ड
alan	क्षेत्रफल
dünya	पृथ्वी
dünya	विश्व
dünya	जग
dünya	धरती
dünya	दुनिया
dünya	संसार
abd	यूएसए
birlikte	साथ
bulunan	स्थित
bulunan	स्तिथ
eski	पुराने
eski	बूढ़ा
eski	ओल्ड
eski	बूढ़े
eski	वृद्ध
eski	पुरानी
eski	पुराना
önemli	महत्वपूर्ण
önemli	हाइलाइट
madde	लेख
madde	वस्तु
madde	सामग्री
madde	पदार्थ
madde	आलेख
sağlık	मेडिकल
sağlık	तंदुरुस्ती
sağlık	चिकित्सीय
sağlık	स्वास्थ्य
sağlık	चिकित्सा
sağlık	सेहत
genel	जेनेरिक
genel	जनरल
genel	सामान्य
genel	साधारण
genel	जेनरिक
mart	मार्च
mart	कूच
adı	नाम
film	फिल्म
film	फिल्में
film	फ़िल्म
film	मूवी
film	चलचित्र
film	फ़िल्में
film	फिल्मों
haziran	जून
mayıs	मई
dosya	फ़ाइल
dosya	फाइलें
dosya	फाइल
dosya	संचिका
dosya	फ़ाइलें
ocak	जन
ocak	स्टोव
ocak	जनवरी
ocak	कूकर
yıl	वर्ष
yıl	साल
kasım	कासिम
kasım	नवम्बर
