ve	そして
bir	ワン
bir	一人
bir	一つ
bu	これ
bu	この
de	セイ
en	お気に入り
daha	もっと
sonra	アフター
sonra	それから
sonra	後で
ilk	ファースト
ilk	最初
yer	スポット
yer	ロケーション
yer	会場
yer	所在地
yer	場所
dış	外側
dış	アウター
büyük	ビッグ
büyük	巨大
büyük	大きい
büyük	大きな
bağlantılar	つながり
bağlantılar	接続
bağlantılar	リンク
türkiye	トルコ
türkiye	七面鳥
iki	二人
iki	二つ
ancak	しかしながら
ayrıca	また
diğer	その他
yeni	新規
yeni	新しい
un	小麦粉
un	粉末
aynı	同じ
aynı	おなじ
kulüp	クラブ
kulüp	棍棒
bağlı	束縛
bağlı	バウンド
iyi	良い
iyi	グッド
ilgili	関連
son	終了
son	エンド
son	最終
son	ラスト
son	最後
alan	領域
alan	フィールド
alan	ドメイン
alan	エリア
alan	面積
dünya	アース
dünya	地球
dünya	ワールド
dünya	世界
abd	米国
eski	オールド
eski	古い
eski	オールディーズ
and	アンデス
önemli	重要
önemli	見どころ
önemli	ハイライト
madde	冠詞
madde	条項
madde	記事
madde	マテリアル
madde	物質
madde	素材
madde	事柄
madde	材料
sağlık	医学
sağlık	健康
sağlık	ウェルネス
genel	全体
genel	将軍
genel	一般
genel	全般
genel	ジェネリック
mart	マーチ
mart	行進曲
adı	名称
adı	氏名
adı	名前
film	映画
film	ムービー
haziran	六月
mayıs	メイ
mayıs	五月
dosya	ファイル
ocak	ストーブ
ocak	ヤン
ocak	コンロ
yıl	イヤー
kasım	十一月
kasım	カシム
avrupa	欧州
avrupa	エウロパ
avrupa	ヨーロッパ
ama	しかし
ama	でも
karşı	カウンター
karşı	カウンタ
karşı	反対
toplam	生涯
toplam	全体
toplam	通算
toplam	総和
toplam	合計
ikinci	番目
ikinci	セカンド
eylül	九月
ağustos	アウグスト
içinde	インサイド
önce	ファースト
önce	最初
önce	以前
tüm	全体
nisan	四月
nisan	エイプリル
resim	図面
resim	ドローイング
resim	イメージ
resim	描画
resim	写真
resim	画像
resim	絵画
üniversitesi	大学
ye	食べる
ekim	十月
şehir	アーバン
şehir	シティ
şehir	タウン
şehir	都市
zaman	タイム
zaman	時間
bazı	いくつか
bazı	いくらか
bazı	一部
aralık	区間
aralık	インターバル
aralık	音程
aralık	間隔
köy	村落
köy	ヴィレッジ
yüksek	高い
yüksek	ハイ
birçok	多数
şubat	二月
sadece	ジャスト
sadece	のみ
sadece	ちょうど
sadece	ただ
yol	パス
yol	ルート
yol	ウェイ
yol	道路
yol	経路
fakat	しかし
fakat	でも
grup	バンド
grup	グループ
grup	集団
takım	チーム
takım	分隊
şekilde	ウェイ
tek	独身
tek	シングル
tek	シングルス
bilgi	知識
bilgi	情報
kez	タイムズ
hakkında	について
devlet	政府
devlet	状態
devlet	都道府県
üç	スリー
üç	三人
tarihi	歴史
tarihi	履歴
tarihi	日付
tarihi	由緒
tarihi	沿革
tarihi	デート
küçük	スモール
küçük	小さい
küçük	小さな
küçük	リル
küçük	リトル
müzik	ミュージック
müzik	音楽
gelen	着信
gelen	受信
resmi	公式
resmi	職員
resmi	フォーマル
resmi	写真
resmi	画像
kabul	受付
kabul	受け入れる
kabul	承諾
kabul	受入れ
kabul	賛成
kabul	承認
kabul	合意
kabul	受け入れ
kabul	同意
devam	続ける
devam	続行
devam	キープ
kupası	コップ
kupası	カップ
fazla	超過
okulu	スクール
okulu	学校
aldı	受信
aldı	受け取り
em	吸う
farklı	異なる
futbol	サッカー
futbol	フットボール
ileti	伝言
ileti	メッセージ
doğru	トゥルー
doğru	正解
doğru	正しい
doğru	本当
tarım	農業
on	テン
özel	カスタム
özel	非公開
özel	プライベート
özel	スペシャル
özel	独占
özel	風習
biri	ワン
biri	誰か
biri	一人
biri	一つ
alanı	面積
alanı	領域
alanı	フィールド
alanı	エリア
vikipedi	ウィキペディア
uzun	ロング
uzun	高い
uzun	長い
uzun	延長
uzun	拡張
şarkı	歌う
şarkı	歌曲
şarkı	ソング
lig	リーグ
orta	ミディアム
orta	中心
orta	ミドル
orta	真ん中
orta	中央
orta	センター
orta	メディア
oyuncu	プレイヤー
oyuncu	プレーヤー
oyuncu	女優
oyuncu	俳優
geri	後ろ向き
geri	戻る
geri	後方
geri	裏側
geri	背中
geri	後ろ
mesaj	テキスト
mesaj	伝言
mesaj	メッセージ
elektrik	電気
elektrik	エレクトリック
elektrik	電力
ardından	アフター
merkezi	中央
merkezi	セントラル
merkezi	センター
merkezi	中心
kısa	短い
kısa	ショート
güney	サウス
güney	南部
güney	サザン
almanya	ドイツ
kişi	人物
kuzey	北部
kuzey	北方
kuzey	ノーザン
kuzey	ノース
çeşitli	品種
çeşitli	変種
çeşitli	バラエティ
açıklama	キャプション
açıklama	説明
açıklama	解説
bilgileri	情報
fransa	フランス
ingilizce	英語
ingilizce	イングリッシュ
amerika	アメリカ
amerika	米国
el	ハンド
burada	ここ
yok	なし
gol	ゴール
gol	目標
ana	母親
ana	メイン
ana	おかあさん
suyu	ジュース
özellikle	特に
ilköğretim	小学校
birleşik	ユナイテッド
ödülü	受賞
ödülü	表彰
ödülü	報酬
altyapı	インフラストラクチャー
yerine	置換
gün	一日
geçen	合格
geçen	経過
doğu	イースト
doğu	東部
doğu	オリエンタル
doğu	オリエント
süre	タイム
süre	時間
süre	期間
sabit	固定された
sabit	安定
sabit	定数
sabit	固定
eğitim	トレーニング
eğitim	修行
eğitim	学歴
eğitim	チュートリアル
eğitim	講習
eğitim	教育
eğitim	研修
eğitim	訓練
su	ウォーター
uluslararası	インターナショナル
uluslararası	国際
yaklaşık	について
yaklaşık	おおよそ
alman	ドイツ語
az	リトル
az	小さい
az	少ない
millî	国民
millî	ナショナル
kaynak	ソース
kaynak	資源
kaynak	リソース
kaynak	出典
kaynak	溶接
paşa	パシャ
ligi	リーグ
görev	タスク
görev	割り当て
görev	代入
görev	ミッション
görev	義務
görev	譲渡
halk	ピープル
halk	公開
halk	公衆
halk	パブリック
tv	テレビ
yine	再び
yine	アゲイン
ekonomisi	経済
yılı	イヤー
telefon	電話機
telefon	電話
yeniden	再び
yeniden	再建
yeniden	アゲイン
içme	飲む
etki	インパクト
etki	影響力
etki	効果
etki	影響
etki	エフェクト
etki	衝撃
sezon	シーズン
sezon	季節
albüm	アルバム
ingiliz	ブリット
ingiliz	英語
ingiliz	イングリッシュ
puan	得点
puan	格付
puan	スコア
puan	ポイント
puan	評価
nedeniyle	締切
nüfus	人口
batı	ウエスタン
batı	ウエスト
batı	ウェスタン
batı	ウェスト
batı	西部
tür	タイプ
tür	種類
tür	ジャンル
amerikan	アメリカン
savaş	ファイト
savaş	戦い
savaş	戦闘
savaş	戦争
savaş	バトル
tekrar	再び
tekrar	繰り返し
tekrar	繰り返す
tekrar	アゲイン
tekrar	リプレイ
anadolu	アジア
söz	単語
söz	言葉
söz	約束
söz	ワード
rağmen	にもかかわらず
grubu	グループ
grubu	集団
elde	後天性
elde	達成
ait	所属
ait	属する
ait	所有
kadın	女性
türkçe	英語
türkçe	イングリッシュ
kullanıcı	ユーザ
kullanıcı	ユーザー
tam	完備
tam	フル
tam	いっぱい
tam	コンプリート
birliği	ユニオン
kanalizasyon	下水
kanalizasyon	下水道
maç	一致
maç	マッチ
maç	ゲーム
maç	マック
roma	ローマ
at	ウマ
at	投げる
bölüm	ディビジョン
bölüm	エピソード
bölüm	師団
bölüm	パート
bölüm	部分
bölüm	学科
bölüm	セクション
bölüm	チャプター
bölüm	部署
bölüm	部門
yazar	作者
yazar	ライター
yazar	著者
yazar	作家
ulusal	国民
ulusal	ナショナル
köyü	村落
köyü	ヴィレッジ
teknik	テック
teknik	テクニック
teknik	技法
teknik	テクニカル
nüfusu	人口
deniz	マリン
uygun	便利
uygun	フィット
bütün	全体
yakın	付近
yakın	閉じる
yakın	近く
yakın	クローズ
yakın	近い
listesi	リスト
dört	フォー
iç	ため息
iç	インテリア
iç	内面
iç	飲む
iç	ドリンク
iç	飲み物
iç	内装
iç	内部
ingiltere	イギリス
alt	ビート
alt	ボトム
alt	サブ
asfalt	アスファルト
fransız	フレンチ
fransız	フランス語
mehmet	メフメト
belediye	市町村
stadyumu	スタジアム
sonucu	帰結
rusya	ベラルーシ
rusya	ロシア
genellikle	通常
bar	パブ
sonunda	やっと
sonunda	遂に
sonunda	ついに
parti	パーティ
parti	パーティー
erkek	メン
erkek	男性
erkek	オス
beyaz	白い
beyaz	ホワイト
bölge	ゾーン
bölge	縄張り
bölge	領域
bölge	地域
bölge	ディストリクト
bölge	地区
bölge	エリア
bölge	面積
bölge	リージョン
italya	イタリア
hava	空気
hava	天候
hava	気象
hava	エア
hava	航空
hava	天気
verilen	与えられた
çünkü	原因
çünkü	だって
çünkü	なぜなら
birkaç	少数
dönem	用語
dönem	学期
dönem	ピリオド
dönem	期間
açık	オープン
açık	開館
açık	クリア
açık	開く
insan	人間
insan	ヒト
insan	人物
insan	男性
insan	ヒューマン
merkez	セントラル
merkez	中心
merkez	中央
merkez	センター
merkez	本部
merkez	本社
merkez	司令部
düşük	低い
düşük	流産
altın	黄金
altın	ゴールデン
altın	ゴールド
neden	なぜ
genç	若者
genç	青年
genç	ヤング
genç	青春
genç	ティーン
genç	ユース
genç	ティーンエイジャー
genç	十代
genç	若い
kır	ブレーク
kır	区切り
kır	休憩
stadyum	スタジアム
ülke	国名
ülke	カントリー
dil	言語
pozisyon	役職
pozisyon	位置
pozisyon	ポジション
dahil	含む
dahil	含める
an	モーメント
an	瞬間
iş	ジョブ
iş	事業
iş	営業
iş	ビジネス
iş	仕事
iş	作業
iş	ワーク
iş	求人
iş	職業
bölümü	学科
bölümü	部署
bölümü	セクション
bölümü	部門
gelir	所得
gelir	歳入
gelir	収益
gelir	収入
kullanım	使い方
kullanım	使用
sanat	美術
sanat	アート
sanat	芸術
üçüncü	番目
üçüncü	サード
bunu	これ
bunu	この
ele	征服
güzel	可愛い
güzel	素敵
güzel	美しい
güzel	ビューティフル
güzel	グッド
güzel	ニース
güzel	ナイス
güzel	良い
çocuk	男の子
çocuk	子供
çocuk	少年
çocuk	児童
çocuk	キッド
çocuk	ボーイ
sinema	映画
sinema	シネマ
sinema	ムービー
askeri	軍隊
askeri	軍事
üst	トップ
üst	上部
kara	ブラック
kara	黒い
kara	ランド
kara	土地
oyun	遊ぶ
oyun	プレイ
oyun	ゲーム
oyun	遊び
şablon	テンプレート
şablon	パターン
aday	申請者
aday	候補者
aday	候補
milyon	ミリオン
milyon	百万
top	大砲
top	ボール
hakem	審判員
ay	ヶ月
ay	月間
ay	ムーン
imparatorluğu	帝政
imparatorluğu	エンパイア
imparatorluğu	帝国
internet	ウェブ
tiyatro	ドラマ
tiyatro	演劇
tiyatro	シアター
tiyatro	劇場
kazandı	ウォン
kazandı	勝利
kültür	文化
kültür	カルチャー
karar	決断
karar	決定
karar	評決
tarih	歴史
tarih	履歴
tarih	日付
tarih	由緒
tarih	沿革
tarih	デート
ilçe	ディストリクト
ilçe	地区
ilçe	カウンティ
temel	ファンデーション
temel	ベーシック
temel	財団
temel	基本
temel	ファウンデーション
konu	主体
konu	件名
konu	トピック
konu	話題
bağlantı	つながり
bağlantı	接続
bağlantı	コンタクト
bağlantı	リンク
çin	中国
çin	チャイナ
ünlü	有名人
ünlü	セレブリティ
spor	スポーツ
kalan	残り
kalan	残額
meslek	占領
meslek	職業
iran	ペルシャ
telif	ロイヤリティ
ahmet	アーメド
ahmet	アフマド
çıktı	アウトプット
çıktı	出力
ispanya	スペイン
bile	偶数
sosyal	社交
sosyal	ソーシャル
cm	インチ
japonya	日本
ün	名声
liste	リスト
oy	投票
geniş	大きい
geniş	ワイド
geniş	広い
ev	帰宅
ev	ホーム
ev	ハウス
ev	自宅
transfer	転送
önceki	以前
mısır	コーン
mısır	トウモロコシ
mısır	エジプト
mısır	とうもろこし
rus	ロシア
yarı	半分
yarı	ハーフ
afrika	アフリカ
hareket	楽章
hareket	運動
hareket	移動
hareket	ムーブ
hareket	ムーブメント
hareket	モーション
adil	フェア
bölgesi	縄張り
bölgesi	リージョン
bölgesi	地域
kontrol	コントロール
kontrol	チェック
sahibi	オーナー
sahibi	所有者
bilim	サイエンス
bilim	科学
üreten	製造業
sistemi	システム
başarılı	サクセス
başarılı	成功
ordu	軍隊
ordu	軍事
ordu	アーミー
ordu	陸軍
yaşayan	リビング
profesyonel	プロフェッショナル
profesyonel	プロ
süper	涼しい
süper	クール
süper	スーパー
süper	絶品
hiç	なし
ifade	声明
ifade	急行
ifade	証言
ifade	エクスプレス
ifade	ステートメント
ifade	表現
rol	役割
rapor	レポート
rapor	報告
yerel	地元
yerel	ローカル
yönetim	マネジメント
yönetim	管理
yönetim	ガバナンス
yönetim	経営
yönetim	マネージメント
video	動画
kurulan	設立
beş	ファイブ
beş	五つ
altı	シックス
final	ファイナル
final	フィナーレ
forma	制服
forma	ジャージー
forma	ユニフォーム
dizi	シリーズ
dizi	配列
dizi	シーケンス
dizi	アレイ
gerekli	必須
gerekli	必需品
iklim	気候
veri	データ
şampiyonası	選手権
şampiyonası	チャンピオンシップ
yerleşim	決済
yerleşim	レイアウト
yerleşim	住宅地
yerleşim	住宅
yerleşim	集落
yerleşim	和解
kariyeri	キャリア
kariyeri	経歴
adet	ピリオド
adet	月経
adet	期間
yaz	書き込む
yaz	サマー
yaz	書き込み
yaz	書く
tespit	検知
tespit	検出
göz	ブラウズ
göz	アイズ
göz	閲覧
televizyon	テレビ
galatasaray	リヴァプール
galatasaray	リバプール
sezonu	シーズン
sezonu	季節
yayın	ブロードキャスト
yayın	放送
yayın	出版物
yayın	出版
yayın	パブリッシング
yayın	公表
yayın	配信
karasal	地上波
durum	状態
durum	ステータス
durum	近況
durum	状況
durum	シチュエーション
durum	条件
yıldız	スターズ
yıldız	アスタリスク
yıldız	恒星
yıldız	スター
gelenek	伝統
tip	タイプ
tip	種類
mücadele	ファイティング
mücadele	格闘
mücadele	ファイト
mücadele	闘争
yeri	場所
yeri	ロケーション
yeri	所在地
yardımcı	アシスタント
yardımcı	助手
yıllık	年次
kız	少女
kız	女の子
kız	ギャル
kız	ガル
kız	姉妹
kız	ガール
cumhuriyet	共和制
cumhuriyet	共和国
cumhuriyet	コモンウェルス
bağımsız	独立
bağımsız	インディー
bağımsız	インディペンデント
bunlar	これら
bunlar	これらの
bunlar	それら
yanlış	虚偽
al	ゲット
kurulu	ボード
gerçek	トゥルー
gerçek	真実
gerçek	本当
gerçek	本物
gerçek	真理
gerçek	リアル
gerçek	事実
ses	サウンド
ses	オーディオ
ses	音量
ses	体積
ses	ノイズ
ses	騒音
ses	音声
ses	ボリューム
ses	ボイス
milli	国民
milli	ナショナル
kitap	書籍
kitap	帳簿
kitap	ブック
kitap	書物
temsil	表現
ten	スキン
ten	皮膚
ödülleri	懸賞
ödülleri	受賞
ödülleri	表彰
