ve	и
bir	одна
bir	один
bir	одно
bu	это
bu	этот
bu	эта
de	скажите
de	скажем
de	скажи
de	сказать
ile	с
için	для
için	за
en	избранные
en	любимых
en	избранное
daha	больше
daha	более
daha	еще
sonra	после
sonra	тогда
sonra	затем
sonra	потом
sonra	позже
sonra	позднее
ilk	первый
ilk	первое
ilk	первая
ilk	сначала
çok	очень
çok	много
çok	многое
yer	местоположение
yer	местонахождение
yer	расположение
yer	место
gibi	как
gibi	нравится
dış	внешний
dış	внешняя
büyük	большие
büyük	огромная
büyük	огромные
büyük	большая
büyük	биг
büyük	крупный
büyük	большой
büyük	крупные
büyük	огромное
büyük	крупных
büyük	огромный
bağlantılar	контакты
bağlantılar	соединения
bağlantılar	связи
bağlantılar	ссылки
of	тьфу
türkiye	индейка
türkiye	турции
türkiye	турция
türkiye	турцию
iki	двое
iki	две
iki	два
ancak	однако
arasında	между
arasında	среди
ayrıca	также
türk	турецкая
türk	турок
türk	турецкий
türk	турции
türk	турецкие
diğer	другие
diğer	другой
diğer	другая
diğer	другое
diğer	прочие
yeni	новые
yeni	новинка
yeni	новая
yeni	новое
yeni	новый
yeni	новых
un	муку
un	муки
un	мука
her	каждую
her	каждое
her	каждый
her	каждая
kulüp	клуб
bağlı	связаны
bağlı	смотря
bağlı	придает
bağlı	зависит
bağlı	связанный
bağlı	привязана
bağlı	прилагается
bağlı	связанные
iyi	хороший
iyi	хорош
iyi	хороша
iyi	хорошее
iyi	хорошо
ne	какие
ne	какая
ne	какой
ne	что
ilgili	интересно
ilgili	интересует
ilgili	заинтересованная
ilgili	заинтересованным
ilgili	связанные
ilgili	заинтересованные
ilgili	соответствующих
ilgili	актуально
ilgili	заинтересованных
son	последние
son	последний
son	последнее
son	последняя
son	конце
son	конец
alan	площадь
alan	поле
alan	область
alan	поля
alan	домена
alan	филд
alan	домен
alan	район
dünya	мир
dünya	земля
abd	сша
birlikte	вместе
bulunan	расположенный
bulunan	расположенных
eski	старый
eski	старая
eski	старое
eski	старые
and	андского
önemli	важные
önemli	существенное
önemli	важно
önemli	значительный
önemli	значительное
önemli	актуальное
önemli	важное
önemli	значительные
önemli	важны
önemli	важных
önemli	важная
önemli	подчеркивает
önemli	существенные
madde	вещество
madde	материалы
madde	материал
madde	материя
madde	статья
sağlık	медицинских
sağlık	здоровья
sağlık	здравоохранения
sağlık	медицинский
sağlık	здравоохранение
sağlık	медицинская
sağlık	здоровье
sağlık	оздоровительный
sağlık	медицинское
genel	общие
genel	генерал
mart	март
mart	марта
mart	марш
adı	название
adı	имя
film	фильм
film	фильмов
film	фильмы
film	кино
haziran	июнь
haziran	июня
haziran	джун
mayıs	мая
mayıs	мэй
mayıs	май
mayıs	майские
dosya	файлы
dosya	файлов
dosya	файл
ocak	плита
ocak	января
ocak	яна
ocak	ян
ocak	январь
ocak	печь
ocak	джан
ocak	джен
yıl	год
kasım	ноября
kasım	касим
kasım	ноя
kasım	ноябрь
avrupa	европа
avrupa	европейского
avrupa	европейская
avrupa	европы
avrupa	европейское
avrupa	европейский
avrupa	европу
ama	но
karşı	счетчик
karşı	против
toplam	итого
toplam	сумма
toplam	всего
ikinci	второе
ikinci	второй
ikinci	вторая
ikinci	секунда
eylül	сентябрь
eylül	сентября
ağustos	августа
ağustos	август
içinde	внутри
içinde	изнутри
içinde	внутрь
temmuz	июль
önce	первый
önce	первая
önce	сначала
önce	прежде
önce	перед
önce	первое
önce	до
tüm	целые
tüm	целиком
tüm	целое
tüm	целая
nisan	апрель
nisan	эйприл
nisan	апреля
resim	рисование
resim	картина
resim	картинка
resim	изображения
resim	фотография
resim	фотка
resim	изображение
resim	рисунок
resim	имидж
resim	образ
resim	живопись
üniversitesi	университет
ye	ешь
ekim	октября
ekim	октябрь
şehir	город
şehir	городские
şehir	городок
şehir	городских
şehir	города
şehir	городское
zaman	тайм
zaman	время
zaman	времени
bazı	некоторые
bazı	некоторых
aralık	дек
aralık	промежуток
aralık	интервал
aralık	декабрь
köy	деревня
köy	деревне
köy	село
yüksek	выше
yüksek	высокая
yüksek	высокого
yüksek	высокий
yüksek	высоко
birçok	многим
birçok	многих
birçok	многие
birçok	много
şubat	февраля
şubat	февраль
sadece	только
sadece	просто
yol	дорога
yol	путь
yol	роуд
yol	дорожной
yol	способ
yol	трасса
yol	маршрут
fakat	но
grup	группы
grup	группа
takım	взвод
takım	отряд
takım	спасатели
takım	команда
kendi	собственный
kendi	собственное
kendi	собственная
kendi	собственные
kendi	собственных
şekilde	способ
şekilde	путь
tek	сингл
tek	разряд
bilgi	инфо
bilgi	информация
bilgi	знание
bilgi	знания
kez	времена
kez	таймс
hakkında	о
osmanlı	османов
osmanlı	османской
devlet	государство
devlet	правительство
devlet	штат
devlet	состояние
üç	трое
üç	три
tarihi	дата
tarihi	историческое
tarihi	исторический
tarihi	исторические
tarihi	свидание
tarihi	историческая
tarihi	история
tarihi	исторических
tarihi	истории
başladı	началось
başladı	начал
başladı	начато
başladı	начали
küçük	лил
küçük	мелкие
küçük	маленькие
küçük	мало
küçük	маленький
küçük	малых
küçük	маленькая
küçük	малые
müzik	музыку
müzik	музыка
gelen	входящие
gelen	входящий
resmi	картинка
resmi	официальных
resmi	фотография
resmi	официальная
resmi	формальный
resmi	фотка
resmi	официальные
resmi	официальный
resmi	формальные
resmi	официальное
kabul	согласны
kabul	примите
kabul	принятии
kabul	принимаем
kabul	принимаю
kabul	принята
kabul	согласна
kabul	согласился
kabul	принимает
kabul	согласиться
kabul	приняты
kabul	согласованные
kabul	принято
kabul	принят
kabul	принять
kabul	признание
kabul	принятие
kabul	согласен
kabul	согласовано
devam	продолжаем
devam	продолжить
devam	продолжать
kupası	чаша
kupası	чашка
kupası	кубок
fazla	излишки
fazla	превышение
fazla	избыток
okulu	школа
okulu	школе
okulu	школы
aldı	забрал
aldı	получены
aldı	полученные
aldı	получен
aldı	полученная
aldı	принятых
aldı	взял
aldı	забрала
aldı	получено
aldı	взяты
aldı	принято
em	отстой
sahip	сахиб
sahip	господин
farklı	разные
farklı	различных
futbol	футбол
ileti	послание
ileti	сообщение
doğru	исправить
doğru	правильно
doğru	точная
doğru	точный
doğru	правда
doğru	верно
doğru	правильное
doğru	вправо
doğru	правильный
doğru	точные
doğru	точной
tarım	сельскохозяйственных
tarım	сельскохозяйственная
tarım	земледелия
tarım	сельскохозяйственные
on	десять
on	десятка
özel	специальный
özel	специального
özel	обычай
özel	частный
özel	исключительной
özel	специальные
özel	специальная
özel	специальное
özel	эксклюзивный
özel	личное
özel	особая
özel	индивидуально
özel	частного
özel	частные
özel	частная
özel	частное
özel	эксклюзивные
biri	одна
biri	один
biri	одно
alanı	площадь
alanı	поле
alanı	область
alanı	поля
alanı	филд
alanı	район
vikipedi	википедии
vikipedi	википедия
uzun	расширенный
uzun	длинный
uzun	продлен
uzun	долго
uzun	выше
uzun	высокие
uzun	высокая
uzun	расширенное
uzun	расширенная
uzun	длинные
uzun	высокий
uzun	длинная
uzun	лонг
şarkı	поют
şarkı	песня
şarkı	пение
şarkı	поет
şarkı	пою
şarkı	петь
şarkı	песнь
şarkı	песни
lig	лига
lig	лиги
orta	средних
orta	ближнем
orta	среднее
orta	середине
orta	середина
orta	средняя
orta	средние
orta	средний
orta	центр
oyuncu	актер
oyuncu	проигрыватель
oyuncu	актриса
oyuncu	игрок
oyuncu	актёр
geri	обратно
geri	спина
geri	назад
mesaj	текст
mesaj	послание
mesaj	сообщение
mesaj	сообщений
mesaj	текста
mesaj	сообщения
mesaj	послания
elektrik	электрическая
elektrik	электричество
elektrik	электрические
elektrik	электрических
elektrik	электрический
elektrik	электрик
elektrik	электроэнергии
ardından	после
merkezi	центр
merkezi	центральной
merkezi	центральная
merkezi	центральный
merkezi	центральное
kısa	короче
kısa	короткая
kısa	краткая
kısa	коротко
kısa	краткое
kısa	короткие
kısa	короткое
kısa	короткий
kısa	кратко
güney	южные
güney	южное
güney	южной
güney	южный
güney	южная
güney	юг
almanya	германии
almanya	германию
almanya	германия
kişi	человек
değil	не
kuzey	север
kuzey	северный
