年	año
月	luna
月	mes
月	meses
日	dia
日	día
和	y
村	aldea
村	poblado
村	villa
村	pueblo
人	hombre
人	personas
人	gente
人	pueblo
小行星	asteroides
小行星	asteroide
大	grandes
大	grande
大	gran
重	pesado
重	pesados
重	pesadas
重	pesada
一	una
一	uno
定向	orientación
定向	direccional
但	sino
但	pero
也	tambien
也	igualmente
也	también
也	además
拉	tira
拉	tire
拉	tirar
拉	jala
拉	tiren
後	después
後	tras
後	despues
留言	mensajes
留言	mensaje
市	ciudad
市	municipio
市	municipalidad
克	gramos
新	nuevas
新	nueva
新	nuevo
新	novedades
新	novedad
新	nuevos
站	estacion
站	estación
州	estado
研究	investigacion
研究	estudiar
研究	investigaciones
研究	estudios
研究	estudio
研究	investigación
研究	estudia
日本	japon
日本	japón
三	tres
前	antes
家	inicio
家	hogar
家	casa
近	cerca
米	arroz
米	metros
多	mas
多	más
使用	utilizar
使用	utilizados
使用	utilizada
使用	usados
使用	usar
使用	utilizando
使用	usada
使用	usado
使用	uso
使用	utilizado
使用	utilización
使用	usando
王	rey
公司	empresarial
公司	corporativa
公司	corporativas
公司	companía
公司	compañias
公司	empresa
公司	empresas
公司	corporativo
公司	compañías
公司	compañía
公司	compañia
一個	una
一個	uno
西	occidental
西	oeste
西	occidente
省	provincia
省	gobernación
省	voivodato
度	titulaciones
度	grado
度	títulos
度	grados
度	licenciatura
卡	naipes
卡	tarjetas
卡	tarjeta
卡	cartas
卡	baraja
二	dos
小	poco
小	pequeñas
小	pequeño
小	pequeña
小	pequeños
小	poquito
小	peque
相似	semejanza
相似	similares
相似	parecidos
相似	parecido
相似	similitud
區	superficie
區	zona
區	distrito
區	área
人口	demográfico
人口	demográfica
人口	población
人口	demografía
人口	demográficas
人口	demográficos
四	cuatro
政府	gobiernos
政府	gobierno
將	voluntad
將	testamento
高	elevada
高	alto
高	alta
美國	américa
集	conjunto
集	fijado
集	plató
集	episodio
台灣	taiwán
布	paño
布	tela
布	telas
世界	mundial
世界	mundo
南	sur
路	carretera
路	camino
五	cinco
金	oro
金	dorada
金	dorado
人民	personas
人民	gente
人民	pueblo
包括	incluida
包括	incluyendo
包括	incluya
包括	incluído
包括	incluyen
包括	incluidas
包括	incluido
包括	incluir
包括	incluye
包括	incluyan
包括	incluidos
峰	pico
峰	picos
位於	ubicado
位於	situado
位於	localizada
位於	localizado
其他	otros
其他	otro
其他	otras
塔	torre
縣	condado
縣	cantón
第一	primeros
第一	primeras
第一	primero
第一	primera
第一	primer
時間	hora
時間	tiempo
比	coeficiente
比	proporción
比	cociente
元	gano
元	dólar
元	dolar
元	ganó
元	gané
元	ganados
元	ganado
中國	vajilla
中國	porcelana
六	seis
主要	comandante
主要	mayor
主要	principales
主要	principal
城	ciudad
城	castillo
法	método
中心	centrar
中心	centros
中心	centro
中心	centra
線	lineas
線	línea
線	linea
線	líneas
線	hilos
線	hilo
第二	segundos
第二	segunda
第二	segundas
第二	segundo
山	montura
山	montaña
山	montañas
山	colina
山	cerro
山	montes
山	montar
山	monte
加	agrega
加	añade
加	además
加	añadir
加	agregar
太空	espaciales
太空	espacio
太空	espacial
內	interior
主	señor
雷	rayos
雷	rayo
管理	gestionar
管理	administra
管理	gestione
管理	administrar
管理	dirección
管理	administración
管理	gestión
管理	gerencia
成為	convertirse
建	construir
建	construidos
建	construida
建	construido
建	construye
建	construya
性	sexualidad
性	sexuales
性	sexos
性	sexo
成	cantado
成	cantada
代表	representatividad
代表	representantes
代表	representativos
代表	delegados
代表	representativa
代表	delegada
代表	representante
代表	representativas
代表	representativo
代表	delegado
代表	delegar
那	luego
那	entonces
公里	kilómetro
公里	kilometros
公里	kilómetros
海	oceano
海	mar
海	océano
這	esto
這	este
這	esta
大學	universitario
大學	colegio
大學	universidad
大學	universitarios
大學	universidades
版	edición
版	versión
從	de
從	desde
原	originales
工作	empleos
工作	obra
工作	empleo
工作	trabajo
工作	trabajar
