年	イヤー
月	月間
月	ヶ月
月	ムーン
日	一日
和	そして
村	村落
村	ヴィレッジ
人	ピープル
人	男性
小行星	小惑星
大	ビッグ
大	大きい
大	大きな
重	重い
重	ヘビー
一	ワン
一	一人
一	一つ
定向	方向
定向	向き
定向	オリエンテーション
但	しかし
但	でも
也	また
拉	プル
拉	引っ張る
後	アフター
留言	伝言
留言	メッセージ
市	市町村
市	シティ
市	都市
克	グラム
新	新規
新	新しい
站	スタンド
站	ステーション
州	状態
州	都道府県
研究	リサーチ
研究	勉強
研究	研究
日本	日本
三	スリー
三	三人
前	以前
家	帰宅
家	ホーム
家	自宅
近	近く
近	付近
米	メーター
米	ライス
米	メートル
米	ご飯
多	もっと
使用	使い方
使用	使用
基	ケイ
王	国王
王	キング
林	ラム
公司	会社
李	リー
一個	ワン
一個	一人
一個	一つ
西	ウェスト
西	ウエスト
西	西部
度	学位
卡	カード
二	二人
二	二つ
小	ちっちゃい
小	スモール
小	ちび
小	小さい
小	小さな
小	タイニー
小	リトル
區	ゾーン
區	領域
區	ディストリクト
區	地区
區	エリア
區	面積
人口	人口
四	フォー
政府	政府
將	遺言
將	ウィル
高	高い
高	ハイ
高	ガオ
美國	アメリカ
集	エピソード
集	セット
集	集合
台灣	台湾
台灣	中華民国
世界	ワールド
世界	世界
南	サウス
南	ナン
路	道路
五	ファイブ
五	五つ
本	ベン
金	キム
金	ジン
金	ゴールド
林肯	リンカーン
人民	ピープル
包括	含む
包括	含める
峰	山頂
峰	ピーク
其他	他の
其他	その他
塔	仏塔
塔	タワー
縣	カントン
縣	カウンティ
縣	広東
第一	ファースト
第一	最初
時間	タイム
時間	時間
比	比率
元	メタ
元	yen
元	ウォン
元	ドル
中國	中国
中國	チャイナ
六	シックス
主要	少佐
主要	メイン
主要	メジャー
主要	専攻
城	キャッスル
城	シティ
城	都市
法	方法
法	メソッド
中心	中央
中心	センター
中心	中心
線	スレッド
線	直線
線	ライン
第二	番目
第二	セカンド
山	ヒル
山	マウント
山	山脈
山	山地
山	マウンテン
加	加算
加	プラス
加	追加
太空	空間
太空	スペース
自己	自分
張	チャン
內	内側
內	インナー
內	内面
雷	レイ
管理	経営
管理	管理
管理	マネージメント
管理	マネジメント
建	構築
性	性別
性	セックス
性	性的
代表	代理人
那	それから
公里	キロ
公里	キロメートル
海	大洋
這	これ
這	この
大學	カレッジ
大學	大学
版	エディション
版	バージョン
從	から
原	オリジナル
工作	ジョブ
工作	仕事
工作	作業
工作	ワーク
工作	働く
工作	求人
工作	職業
北	キタ
北	ノース
政治	政治
星	スターズ
星	恒星
星	スター
她	彼女
陳	チャン
面	ヌードル
面	麺類
作品	ワークス
作品	作品
河	河川
文化	文化
文化	カルチャー
條目	項目
條目	エントリ
條目	エントリー
馬	ウマ
氏	氏族
更	もっと
曼	マン
電影	映画
電影	シネマ
電影	ムービー
電影	フィルム
季	シーズン
季	季節
龍	ドラゴンズ
龍	ドラゴン
女	女性
正式	フォーマル
美	美しい
美	美容
美	ビューティフル
字	単語
字	言葉
字	ワード
因為	だって
因為	なぜなら
北京	北京市
北京	北京
不同	異なる
足球	サッカー
足球	フットボール
目前	現在
所有	すべて
部分	一部
中央	中央
中央	セントラル
森	セン
郡	カウンティ
國家	状態
國家	ナショナル
國家	国名
國家	カントリー
國家	国民
國家	都道府県
國家	国々
球	ボール
但是	しかし
但是	でも
街	ストリート
街	通り
城市	シティ
城市	都市
一些	いくつか
一些	いくらか
一些	一部
長	ロング
長	長い
水	ウォーター
人物	文字
人物	キャラクター
人物	性格
軍	軍隊
軍	アーミー
軍	陸軍
加入	参加
上海	上海市
上海	上海
第三	番目
第三	サード
魚	魚類
魚	フィッシュ
波	ウェーブ
波	波動
回	戻る
回	背中
回	後ろ
回	裏側
無	なし
你	あなた
話	方言
東	イースト
東	東部
英國	イギリス
周	チャウ
周	週間
周	チャウチャウ
石	ストーン
事件	イベント
事件	行事
建立	構築
建立	設立
建立	創造
建立	作成
生活	生活
生活	ライフ
生活	人生
生活	生命
生活	リビング
派	パイ
教育	学歴
教育	教育
車站	ステーション
之後	アフター
國際	インターナショナル
國際	国際
獎	受賞
獎	表彰
完成	完備
完成	終了
完成	フィニッシュ
完成	コンプリート
白	白い
白	ホワイト
音樂	ミュージック
音樂	ミュージカル
音樂	音楽
沙	シャー
沙	シャア
沙	砂塵
可能	可能性
分布	配当
分布	分散
分布	分布
分布	流通
地區	領域
地區	ディストリクト
地區	地区
地區	エリア
地區	面積
車	カーズ
車	自動車
車	クルマ
官	役員
官	巡査
梅	メイ
梅	五月
中文	中国人
中文	中国語
自由	無料
自由	自由
自由	リバティ
自由	フリー
黃	イエロー
黃	黄色
黃	ウォン
獲得	ゲット
光	明るい
光	軽い
光	ひかり
光	ライト
重要	重要
工程	工学
工程	エンジニアリング
工程	ワークス
工程	作品
港	港湾
港	ポート
港	ハーバー
列	カラム
最後	ラスト
最後	最後
最後	最終
提交	送信
提交	提出
經	経典
需要	ニーズ
江	河川
臺灣	台湾
臺灣	中華民国
最佳	最適
這個	これ
這個	この
泰	タイ
地方	場所
地方	スポット
系列	シリーズ
電視	テレビ
登	トウ
黑	ブラック
黑	ダーク
黑	暗い
黑	黒い
花	ハナ
花	フラワー
花	お花
神	ゴッド
遊戲	ゲーム
清	清国
最高	トップ
最高	上部
要求	請求
要求	要件
要求	催告
要求	需要
要求	要求
要求	リクエスト
讓	ジーン
讓	レット
讓	ジャン
版本	エディション
版本	バージョン
發現	発見
發現	ディスカバリー
語	言語
只有	のみ
內容	内容
內容	コンテンツ
最大	マックス
華	ワウ
製作	製作
製作	プロダクション
製作	生産
出生	誕生
航空	空気
航空	エア
航空	航空
航空	エアロ
數	ナンバー
數	カウント
數	番号
數	数値
出版	出版
出版	パブリッシング
出版	出版物
出版	公表
發展	開発
發展	発達
成功	サクセス
成功	成功
面積	面積
面積	領域
面積	エリア
堡	要塞
堡	フォート
系統	システムズ
系統	システム
劉	ラウ
班	分隊
冠軍	チャンピオン
冠軍	チャンプ
冠軍	チャンピオンズ
問題	疑問
問題	質問
問題	問題
康	カン
福	福岡空港
海拔	高度
島	アイル
方式	方法
方式	メソッド
率	レート
率	評価
名稱	名称
名稱	氏名
名稱	名前
愛	ラブ
愛	ラヴ
得到	ゲット
平	フラット
印度	インド
街道	ストリート
街道	通り
存在	存在
刪除	削除
刪除	取り除く
設計	デザイン
設計	設計
設計	意匠
發行	発行
發行	発令
發行	交付
卡特	カーター
群	グループ
群	集団
命名	命名
命名	呼称
服務	サービス
服務	サーブ
機	マシーン
機	機械
機	マシン
列表	リスト
唐	ドン
西班牙	スペイン
頁	ページ
兩	二人
兩	二つ
當	とき
當	いつ
超	ウルトラ
超	スーパー
以上	上記
以上	上の
聖	セイント
聖	聖人
已經	既に
已經	すでに
梁	リャン
梁	ビーム
專輯	アルバム
角色	文字
角色	役割
角色	キャラクター
角色	性格
武	たけし
半	半分
半	ハーフ
成員	会員
成員	メンバー
成員	メンバ
東京	東京
新聞	ニュース
現在	ナウ
劇	ドラマ
後來	後で
女性	女性
高度	高度
高度	身長
說	セイ
男	男性
男	オス
之前	以前
合作	協力
合作	コラボレーション
合作	コラボ
門	ゲート
門	ドア
位置	ロケーション
位置	位置
位置	ポジション
位置	所在地
位置	役職
位置	場所
活動	アクティビティ
活動	活動
活動	イベント
活動	行事
只	のみ
歷史	沿革
歷史	由緒
歷史	歴史
歷史	履歴
歌曲	歌曲
歌曲	ソング
點	ポイント
點	ドット
一次	一度
植物	植物
植物	プラント
封	シール
封	封印
封	アザラシ
封	押印
封	印章
皮	皮革
皮	レザー
而且	そして
通常	通常
形成	フォーメーション
比賽	コンテスト
比賽	人種
比賽	レース
比賽	ゲーム
比賽	競走
聯賽	リーグ
學校	スクール
學校	学校
學校	流派
信	手紙
信	レター
期間	ピリオド
期間	期間
接受	受付
接受	受け入れる
接受	承諾
接受	受入れ
接受	承認
接受	受け入れ
書	書籍
書	帳簿
書	ブック
書	書物
交通	輸送
交通	交通
交通	トラフィック
木	木造
木	木製
木	ウッド
木	木材
討論	話し合う
討論	ディスカッション
故事	ストーリー
故事	記事
故事	物語
直接	ダイレクト
直接	直接
參與	関与
參與	婚約
參與	参加
朗	ラング
根	ルート
根	ルーツ
保留	留保
保留	予約
希望	ホープ
希望	希望
手	両手
手	ハンド
心	ハーツ
心	心臓
心	ハート
巴士	バス
播放	遊ぶ
播放	ブロードキャスト
播放	放送
播放	再生
播放	プレイ
播放	遊び
播放	配信
音	子音
音	トーン
增加	増やす
增加	増額
增加	増加
角	ケープ
角	角度
角	アングル
角	コーナー
角	ポイント
天文台	天文台
耶	わーい
這些	これら
這些	これらの
丹	ダン
徐	ツイ
永	ウイング
歌	歌曲
歌	ソング
美元	yen
美元	ドル
圖	フィギュア
圖	ダイアグラム
圖	グラフ
圖	チャート
投票	投票
投票	アンケート
灣	コーブ
灣	入り江
民主	民主主義
寺	神殿
寺	テンプル
寺	寺院
雖然	だけれども
參加	出席
特別	スペシャル
控制	コントロール
戰	戦い
戰	戦闘
戰	戦争
戰	バトル
電視台	テレビ
以下	以下
然而	しかしながら
七	セブン
仁	ジン
仁	ジェン
委員會	コミッション
委員會	委嘱
委員會	手数料
編輯	編集
編輯	エディター
編輯	エディタ
資料	データ
隆	たかし
隆	リュウ
隆	タカシ
青	清国
播出	放送
播出	ブロードキャスト
播出	配信
路線	ルート
路線	路線
路線	経路
年度	イヤー
宋	歌曲
宋	ソング
附近	近く
附近	付近
歌手	シンガー
店	ストア
店	店舗
店	ショップ
組織	ディビジョン
組織	師団
組織	団体
組織	ティッシュ
組織	組織
分類	分類
教授	教授
盃	コップ
盃	カップ
源	出典
源	ソース
八	エイト
法國	フランス
文字	テキスト
民族	国籍
主席	大統領
主席	議長
主席	社長
主席	会長
主席	プレジデント
不過	しかし
不過	でも
文物	アーティファクト
文物	遺物
老	オールド
老	古い
女子	女性
選	ピック
世紀	センチュリー
世紀	世紀
鐵	アイロン
德國	ドイツ
票	チケット
票	切符
動畫	アニメ
打	ファイト
關係	交際
關係	リレーション
關係	リレーションシップ
關係	関係
能力	能力
能力	定員
能力	容量
佛	ブッダ
佛	仏陀
少	少ない
網站	敷地
網站	サイト
網站	ウェブサイト
模板	テンプレート
頭	ヘッド
頭	頭部
個人	個別
個人	パーソナル
個人	個人
擁有	占有
擁有	所有
擁有	所持
學生	生徒
學生	学生
鎮	タウン
南部	サウス
南部	南部
南部	サザン
語言	言語
模式	モード
模式	パターン
相關	関連
決定	決める
決定	決断
決定	決定
楊	ヤン
方向	方向
方向	向き
方向	オリエンテーション
方向	道順
方法	方法
方法	メソッド
影響	インパクト
影響	影響力
影響	効果
影響	影響
影響	エフェクト
影響	衝撃
許多	多数
秀	スー
死	デッド
自治	自治
蘇	スー
甚至	偶数
開	オープン
開	開館
開	開く
見	見る
只是	ジャスト
只是	ちょうど
只是	ただ
結束	終了
結束	エンド
巴西	ブラジル
共同	共通
出版社	出版
出版社	出版社
出版社	パブリッシャー
提名	指名
提名	ノミネート
保護	保護
保護	プロテクト
加上	加算
加上	プラス
加上	追加
食	食べる
獨立	独立
獨立	インディー
獨立	インディペンデント
包含	含む
距離	距離
社會	社会
社會	ソーシャル
加拿大	カナダ
兩個	二人
兩個	二つ
公尺	メーター
公尺	メートル
還	また
哥	ブラザー
哥	兄弟
歐洲	欧州
歐洲	ヨーロッパ
鐵路	鉄道
居民	住民
功能	関数
功能	フィーチャー
功能	機能
功能	特徴
聯盟	リーグ
聯盟	ユニオン
聯盟	アライアンス
洪	ハング
洪	ホン
利用	使用
平均	平均
侵	アサルト
侵	暴行
雙	ダブル
雙	二重
再次	再び
再次	アゲイン
網	ネット
網	ネットワーク
網	ウェブ
量	数量
演員	ギプス
演員	キャスト
演員	出演
演員	女優
演員	俳優
亞洲	アジア
全球	グローブ
全球	グローバル
全部	すべて
北部	北部
北部	北方
北部	ノーザン
北部	ノース
運動	楽章
運動	運動
運動	ムーブメント
運動	モーション
運動	スポーツ
毛	グロス
直到	まで
名字	名称
名字	氏名
名字	名前
地球	アース
地球	地球
死亡	デス
戰爭	ウォーズ
戰爭	戦争
溪	クリーク
紅	赤い
紅	赤色
紅	レッド
唱片	記録
唱片	レコード
安全	安全
安全	セーフ
安全	金庫
安全	セキュア
玉	ヒスイ
學院	カレッジ
學院	大学
學院	アカデミー
勝	シェン
豪	ハウ
原因	理性
原因	原因
原因	理由
通過	スルー
通過	パス
管	パイプ
管	チューブ
強	濃い
強	強い
選舉	選挙
選舉	選任
辛	シン
漢	ハン
法律	法律
法律	法学
革命	レボリューション
革命	革命
計劃	計画
計劃	プラン
時代	タイムズ
男性	メン
男性	男性
男性	オス
目的	目的
形式	フォーム
形式	書式
形式	形式
形式	フォーマット
鄭	ユング
基本	基本
基本	ベーシック
葉	葉っぱ
葉	イップ
單位	ユニット
單位	単位
惠	めぐみ
修	フィックス
修	修正
科技	技術
科技	テック
科技	テクノロジー
青年	ユース
青年	青春
青年	若者
青年	青年
流	フロー
流	渓流
流	流れ
流	ストリーム
蒙古	モンゴル
結果	結果
解放	解放
祖	ジョー
體	ボディ
