年	jaar
月	maandje
月	maand
月	maanden
月	maan
月	maandenlang
日	dag
日	dagje
和	en
村	dorp
村	dorpje
人	mensen
人	personen
小行星	asteroïde
小行星	asteroïden
大	groot
大	grote
重	zwaarder
重	zwaar
重	zware
重	heftig
重	zwaardere
一	één
一	eén
一	een
定向	oriëntering
定向	oriëntatie
定向	gerichte
但	maar
也	ook
拉	trek
拉	trekken
後	na
留言	bericht
留言	berichtje
留言	boodschap
市	stad
克	gram
新	nieuw
新	nieuwe
州	staat
研究	bestuderen
研究	studeren
研究	studeer
研究	onderzoek
研究	studie
三	drie
前	voordat
前	vóór
家	huis
家	thuis
家	startpagina
米	meter
米	meters
米	rijst
多	meer
使用	gebruikte
使用	gebruik
使用	gebruiken
使用	gebruikt
王	konings
王	koning
公司	onderneming
公司	gezelschap
公司	bedrijf
公司	bedrijven
一個	één
一個	eén
一個	een
西	westelijk
西	westen
省	gouvernement
省	provincie
省	woiwodschap
度	graden
度	graad
二	twee
小	klein
小	weinig
小	piepklein
小	kleine
小	smal
相似	vergelijkbare
相似	soortgelijk
相似	vergelijkbaar
相似	gelijkenissen
相似	soortgelijke
相似	gelijkenis
相似	gelijkaardig
區	oppervlakte
區	gebied
人口	demografisch
人口	demografische
人口	demografie
人口	bevolking
人口	populatie
四	vier
政府	regering
政府	overheid
政府	overheden
政府	regeringen
將	zal
將	zullen
高	hoog
高	hoge
美國	amerika
集	instellen
集	aflevering
集	ingesteld
台灣	taiwanese
布	doek
世界	wereld
南	zuid
南	zuiden
路	weg
五	vijf
金	goud
人民	mensen
人民	personen
包括	inbegrepen
包括	inclusief
包括	omvat
峰	piek
峰	pieken
峰	hoogtepunt
位於	gelokaliseerd
其他	ander
其他	overige
其他	overig
其他	overigen
其他	andere
其他	anderen
塔	pagode
塔	toren
縣	kanton
縣	graafschap
第一	eerst
第一	eerste
時間	tijd
比	verhouding
元	gewonnen
中國	porselein
六	zes
主要	majoor
主要	voornaamste
主要	belangrijkste
主要	hoofdvak
城	stad
城	kasteel
法	methode
中心	centra
中心	centreren
中心	centrum
線	draad
線	lijn
線	lijnen
第二	tweede
山	heuvel
山	berg
山	aankoppelen
山	bergen
加	voeg
加	toevoegen
太空	ruimte
太空	spatie
自己	mijzelf
自己	ikzelf
自己	mezelf
自己	zelf
內	innerlijke
內	innerlijk
內	binnenste
主	heer
主	heere
管理	beheren
管理	managen
管理	beheer
成為	wordt
成為	word
成為	worden
建	gebouwd
建	gebouwde
建	bouwen
建	opbouwen
性	seksualiteit
性	geslacht
性	seksueel
性	seksuele
性	seks
成	gezongen
代表	gedelegeerde
代表	representatieve
代表	vertegenwoordiger
代表	delegeren
代表	vertegenwoordigers
代表	representatief
代表	gemachtigde
代表	afgevaardigde
那	daarna
那	dan
公里	kilometers
公里	kilometer
海	oceaan
海	zee
這	deze
這	dit
大學	universiteiten
大學	universiteit
大學	hogeschool
版	versie
版	editie
版	uitgave
從	van
