年	год
月	месяца
月	луну
月	месяцев
月	месяц
月	месяцы
月	луна
月	мун
日	день
日	дэй
和	и
村	деревня
村	деревне
村	село
人	люди
人	чел
人	мужчина
人	мужик
人	народ
人	людей
人	человек
小行星	астероид
小行星	астероидов
大	большие
大	большая
大	биг
大	большой
重	тяжелые
重	тяжелее
重	тяжелая
重	тяжелых
重	тяжелый
重	тяжёлый
重	тяжёлая
一	одна
一	один
一	одно
定向	ориентация
定向	направленный
定向	направленность
定向	направленное
定向	ориентации
定向	направленная
但	но
也	также
後	после
留言	послание
留言	сообщение
市	город
市	города
市	муниципалитет
克	грамм
新	новые
新	новинка
新	новая
新	новое
新	новый
新	новых
站	стоять
站	стенд
站	станции
站	станция
站	вокзал
州	государство
州	штат
州	состояние
研究	исследования
研究	исследований
研究	исследование
研究	изучение
日本	япония
日本	японии
三	трое
三	три
前	прежде
前	перед
前	до
家	дом
家	домой
家	дома
家	домашний
近	близко
近	рядом
近	вблизи
米	метров
米	рис
多	больше
多	более
多	еще
使用	использовано
使用	используя
使用	использовать
使用	использование
使用	использован
使用	употребление
使用	использования
使用	используйте
使用	используется
使用	используемые
使用	используемый
基	кэй
基	кей
王	кинг
王	ван
王	король
王	царь
林	лам
林	лин
公司	компаний
公司	корпоративный
公司	компания
公司	корпоративной
公司	компаниям
公司	рота
公司	компании
公司	корпоративное
公司	корпоративные
李	ли
一個	одна
一個	один
一個	одно
西	запад
西	вест
西	западная
西	западный
西	уэст
省	провинция
省	воеводство
省	область
省	мухафазе
度	степень
度	градусов
度	степени
卡	открытки
卡	карточки
卡	карточка
卡	карты
卡	карту
卡	карта
二	двое
二	две
二	два
小	мелкие
小	крошечные
小	крошечный
小	маленькие
小	мало
小	маленький
小	малых
小	маленькая
小	малые
相似	аналогичные
相似	схожие
相似	сходство
相似	аналогичное
相似	сходства
相似	похожие
相似	аналогичная
區	площадь
區	область
區	район
區	зоны
區	округ
區	зона
人口	демографические
人口	населения
人口	население
人口	демографических
人口	демографии
四	четверо
四	четыре
政府	правительств
政府	правительство
政府	правительствам
政府	правительства
道	дао
將	будет
將	уилл
將	воля
高	высокие
高	высокая
高	высокого
高	высокий
高	гао
高	высоко
美國	америка
集	комплект
集	набор
集	серия
集	установить
集	эпизод
集	сет
台灣	тайвань
布	ткани
布	ткань
世界	мир
南	южной
南	южный
南	дн
南	южная
南	нэн
南	юг
路	дорожной
路	роуд
路	дорога
五	пять
五	пятеро
本	бэн
本	бен
金	ким
金	золотой
金	золото
金	джин
金	золотая
金	золотые
曾	цзэн
文	вен
林肯	линкольн
人民	народ
人民	люди
人民	людей
包括	включенные
包括	включая
包括	включить
包括	включает
包括	включать
包括	включено
峰	вершины
峰	пик
峰	пикс
位於	расположенный
位於	расположенных
其他	другие
其他	другой
其他	другая
其他	другое
其他	прочие
塔	пагода
塔	тауэр
塔	башня
縣	кантон
縣	округ
縣	графство
縣	округе
第一	первый
第一	первое
第一	первая
第一	сначала
任	рен
時間	тайм
時間	время
時間	времени
比	соотношение
元	юаней
元	выиграл
元	победил
元	мета
元	победила
元	доллар
元	выиграла
中國	китай
六	шестеро
六	шесть
六	шестой
主要	основных
主要	основная
主要	майор
主要	основные
主要	главная
城	город
城	касл
城	замок
城	города
法	способ
法	метод
中心	центры
中心	центр
中心	центров
線	нити
線	нить
線	линия
線	линий
線	строк
線	линии
線	строка
線	нитки
線	строки
第二	второе
第二	второй
第二	вторая
第二	секунда
山	горных
山	маунт
山	холм
山	гора
山	горный
山	горы
山	хилл
加	плюс
加	добавить
加	добавьте
太空	пространство
太空	космической
太空	космос
自己	себя
自己	сам
張	чжан
張	чан
張	ченг
張	чанг
內	внутренней
內	внутренняя
內	внутреннее
內	внутренний
主	лорд
主	господь
雷	рэй
雷	рей
管理	менеджмент
管理	руководство
管理	управление
管理	управлять
成為	стать
成為	стань
建	построена
建	строить
建	построили
建	построить
建	построенные
建	построенный
建	построен
建	построено
性	сексуальные
性	секс
性	сексуальность
性	сексуальное
性	сексуальная
性	сексуальный
性	сексуального
代表	представители
代表	представителям
代表	представителей
代表	представителю
代表	представителя
代表	делегат
代表	представитель
那	затем
那	тогда
那	потом
公里	км
公里	километров
公里	километр
海	океана
海	океан
海	море
海	моря
這	это
這	этот
這	эта
大學	колледж
大學	университет
大學	университеты
大學	коллегия
版	издание
版	версия
版	версии
從	из
從	от
羅	ло
原	оригинал
原	оригинальная
原	оригинальные
原	оригинально
原	первоначального
原	оригинальный
原	хара
工作	работы
工作	вакансии
工作	работа
工作	работаем
工作	рабочий
工作	рабочей
工作	труд
北	кита
北	север
北	северный
北	северной
北	северная
北	норт
政治	политических
政治	политика
政治	политический
政治	политики
